Seed Address,Seed Name,Depth Max,Length,Root Address,Root Name,Root Symbol,Path
0022f270,FUN_0022f270,5,3,0023dcc0,FUN_0023dcc0,,FUN_0022f270 -> FUN_00245740 -> FUN_0023e370 -> FUN_0023dcc0
0022a620,FUN_0022a620,5,1,0025ebf0,FUN_0025ebf0,,FUN_0022a620 -> FUN_0025ebf0
0022a620,FUN_0022a620,5,1,0028c110,FUN_0028c110,,FUN_0022a620 -> FUN_0028c110
0022a620,FUN_0022a620,5,2,002595d0,FUN_002595d0,,FUN_0022a620 -> FUN_002596f0 -> FUN_002595d0
0022a620,FUN_0022a620,5,4,000d6eb0,FUN_000d6eb0,,FUN_0022a620 -> FUN_0024d330 -> FUN_0024ac30 -> FUN_0024e0f0 -> FUN_000d6eb0
0022a620,FUN_0022a620,5,4,000ed8a0,FUN_000ed8a0,,FUN_0022a620 -> FUN_002596f0 -> FUN_00258900 -> FUN_000c37e0 -> FUN_000ed8a0
0022a620,FUN_0022a620,5,5,037050d0,FUN_037050d0,,FUN_0022a620 -> FUN_0024d330 -> FUN_0024ac30 -> FUN_0024e0f0 -> FUN_000c3640 -> FUN_037050d0
00231c50,FUN_00231c50,5,4,00242b90,FUN_00242b90,,FUN_00231c50 -> FUN_002354e0 -> FUN_0023cda0 -> FUN_002394d0 -> FUN_00242b90
00231c50,FUN_00231c50,5,4,00242c30,FUN_00242c30,,FUN_00231c50 -> FUN_002354e0 -> FUN_0023cda0 -> FUN_002394d0 -> FUN_00242c30
0022d700,FUN_0022d700,5,4,002af570,FUN_002af570,,FUN_0022d700 -> FUN_002426c0 -> FUN_002384f0 -> FUN_002350b0 -> FUN_002af570
0022d700,FUN_0022d700,5,5,0023e370,FUN_0023e370,,FUN_0022d700 -> FUN_002426c0 -> FUN_002384f0 -> FUN_002350b0 -> FUN_00245740 -> FUN_0023e370
0022d700,FUN_0022d700,5,5,0024e0f0,FUN_0024e0f0,,FUN_0022d700 -> FUN_002426c0 -> FUN_002384f0 -> FUN_002350b0 -> FUN_0024ac30 -> FUN_0024e0f0
0022d700,FUN_0022d700,5,5,000c37e0,FUN_000c37e0,,FUN_0022d700 -> FUN_002426c0 -> FUN_002384f0 -> FUN_002350b0 -> FUN_00258a50 -> FUN_000c37e0
00230760,FUN_00230760,5,1,002595d0,FUN_002595d0,,FUN_00230760 -> FUN_002595d0
00230760,FUN_00230760,5,3,000ed8a0,FUN_000ed8a0,,FUN_00230760 -> FUN_00258900 -> FUN_000c37e0 -> FUN_000ed8a0
