Categories,Function Address,Function Offset,Function Name,Function Symbol,Function Demangled,Function Namespace,Function Signature,Function Size,Function Basic Blocks,Function Incoming Refs,Function Decompile Path,Function CFG Path,Function Disasm Path,Function Clone Hash,Function Fingerprint,Function Referenced By,External Names,Suggested Name,Hit Count,Match Values,Strings In Body,Struct Accesses,Constants,Globals Accessed,Comments,Hash40 Loads,Callers,Callees
connect;nex,00274490,0x274490,FUN_00274490,,,Global,"undefined __cdecl FUN_00274490(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8, long * param_9, undefined1 * param_10, undefined1 * param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",1348,17,0,decompiled/FUN_00274490__00274490.c,decompiled/FUN_00274490__00274490.mmd,decompiled/FUN_00274490__00274490.asm,26614ac78673ad4c,fc6fbaa9fa6701a9f85f02a9f65703a9f44f04a9fd7b05a9fd430191ffc306d1,,,nex,10,Connect;nex,ConnectStationJob::ConnectionSucceeded,,0xfffffe00;0xfffffe08;0xfffffe28;0xfffffe40;0xfffffe48;0xfffffe50;0xfffffe70;0x10d;0x15c;0x176;0x18d;0x19e;0x1a7;0x1aa;0x1b1;0x1b4;0x1b7;0x1c1;0x1c4;0x1c7;0x1ca;0x1cd;0x1e5;0x1f5;0x1fc;0x209;0x20d;0x218;0x221;0x22c;0x247;0x275;...,DAT_052a3000@052a3000(rw);DAT_052a3da8@052a3da8(r);DAT_052a3db0@052a3db0(r);DAT_052a3db8@052a3db8(r);DAT_052a3d80@052a3d80(r);s_lename_0449f000@0449f000(rw);s_lationFactor7_04420000@04420000(rw);DAT_044205f0@044205f0(rw);s_nex24JobDataStoreUpdateObjectE_0449f4a5@0449f4a5(rw);s_et_parts_super_042b1000@042b1000(rw);s_was_generated_by_libcurl!_Edit_a_042b1f95@042b1f95(rw);s_p_debris_04316000@04316000(rw);s_ortion_04316d17@04316d17(rw);s_ide_042a1000@042a1000(rw);s_ionStatus_042a153e@042a153e(rw);s_eckButton_042c3000@042c3000(rw);...,,,,Wait;FUN_001b2cf0;FUN_001b0bb0;FUN_00220ab0;FUN_001b61c0;FUN_00292250;FUN_001b1400;FUN_001b4a10;FUN_001cd8d0;FUN_001b6180;libc_strlen;FUN_01717c00;FUN_001b48e0;FUN_001b5e60
scene,01d5efa4,0x1d5efa4,FUN_01d5efa4,,,Global,"undefined __cdecl FUN_01d5efa4(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7)",8448,608,2,decompiled/FUN_01d5efa4__01d5efa4.c,decompiled/FUN_01d5efa4__01d5efa4.mmd,decompiled/FUN_01d5efa4__01d5efa4.asm,d28d57d6f020f28d,2a00381eec4204910b00381ef64207911f090071600700541f050071410e0054,,,Scene,9,Scene,copy_link_cap,,0xffffff00;0x100;0x108;0x10a;0x110;0x114;0x118;0x120;0x128;0x140;0x147;0x154;0x19d;0x1aa;0x1b1;0x1c4;0x1c8;0x1cc;0x1d0;0x1e0;0x1e7;0x1f0;0x1fc;0x1fe;0x200;0x208;0x20c;0x210;0x218;0x228;0x236;0x243;...,DAT_04741000@04741000(rw);SUB_04741dbb@04741dbb(r);DAT_00003f4a@00003f4a(rw);DAT_04f73000@04f73000(rw);DAT_04f73d50@04f73d50(rw);s_ghter_av_01_04280000@04280000(rw);s_EAPON_KIND_TRAIL_HOLE_04280da4@04280da4(rw);s__itemset_assist_043df000@043df000(rw);s_arter_00_043df426@043df426(rw);s_tMatchmakeSession_0427f000@0427f000(rw);s__SMASH_0427fda4@0427fda4(rw);s_SceneParameter_043bd000@043bd000(rw);s_pic_banner_bg_043bd955@043bd955(rw);DAT_00000410@00000410(rw);DAT_00000424+4@00000428(rw);DAT_00000510@00000510(rw);...,,0x153b5acbbf:rbkind_ui_next_battle,switchD_01d6b828::caseD_0;FUN_01d5efa4,FUN_01465b30;f;FUN_03777e50;FUN_015436c0;FUN_037ad490;FUN_037a1dc0;FUN_03393140;FUN_0149e670;FUN_01d5ab30;FUN_01d5efa4;FUN_0179f6f0;FUN_03776460;FUN_02407380;FUN_01d5b7c0
session,0307ffcc,0x307ffcc,FUN_0307ffcc,,,Global,"undefined __cdecl FUN_0307ffcc(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, undefined8 param_8, undefined8 param_9, size_t param_10, uint * param_11, uint * param_12, undefined1 * param_13, undefined1 * param_14, undefined1 * param_15)",3460,228,1,decompiled/FUN_0307ffcc__0307ffcc.c,decompiled/FUN_0307ffcc__0307ffcc.mmd,decompiled/FUN_0307ffcc__0307ffcc.asm,d7e01c51c9da8e5b,eb5280b88a3242a9f0031baae9031f2a8b010b8b0c01090b9f0100718ca58c1a,,,session,8,session,session_simple key,,0x100;0x108;0x110;0x118;0x152;0x1b1;0x2a1;0x2c2;0x2cb;0x2d9;0x2db;0x2df;0x2ea;0x300;0x302;0x310;0x31b;0x321;0x323;0x326;0x331;0x479;0x523;0x5cd;0x677;0x721;0x7de;0x8dc;0xa10;0xae2;0xc05;0xd28;...,DAT_04741dc0@04741dc0(r);SUB_04741dbb@04741dbb(r);DAT_04526000@04526000(rw);DAT_04526524@04526524(r);DAT_045263dc@045263dc(rw);DAT_04526474@04526474(r);UINT_045258a8@045258a8(rw);SUB_00000025+2@00000027(r);DAT_04741e87+1@04741e88(r);SUB_04741dbb@04741dbb(rw);SUB_04741dbc@04741dbc(r);SUB_04742dbb@04742dbb(r);DAT_04742dbc@04742dbc(r);DAT_04741dc0+3@04741dc3(r);DAT_0000cc5b@0000cc5b(rw);DAT_04741000@04741000(rw);...,,0xa737452e1:model_name;0x1e8b7be43:a;0x171beeff9:b;0x16c09ff9d:r;0x101d41b76:g;0xbc0ad263c:start_frame;0x16510da628:material_resource_name;0xa94e60370:animations,,FUN_03082270;FUN_0392dde0;f;FUN_03081d30;PIA_OnPacketReceived
session,02efeda0,0x2efeda0,FUN_02efeda0,,,Global,undefined FUN_02efeda0(void),295284,19272,0,,decompiled/FUN_02efeda0__02efeda0.mmd,decompiled/FUN_02efeda0__02efeda0.asm,,ffc301d1fc6f01a9fa6702a9f85f03a9f65704a9f44f05a9fd7b06a9fd830191,,,session,7,session,session_simple key,,,DAT_04741000@04741000(rw);SUB_04741dbb@04741dbb(r);DAT_0451f000@0451f000(rw);DAT_0451fae4@0451fae4(r);DAT_0451fa4c@0451fa4c(rw);DAT_00000704+4@00000708(rw);DAT_00006def@00006def(rw);DAT_0451fb00@0451fb00(r);DAT_0451fa68@0451fa68(rw);DAT_00000bb8@00000bb8(rw);DAT_00007fc9@00007fc9(rw);DAT_04741ffb+5@04742000(rw);SUB_04742dbb@04742dbb(r);DAT_0451fffc+4@04520000(rw);DAT_04520b1c@04520b1c(r);DAT_04520a84@04520a84(rw);...,,0x5b5f83ccd:frame;0x5c1e2a98c:type1;0x558ebf836:type2;0x52fecc8a0:type3;0x5b1885d03:type4;0x5c68f6d95:type5;0xaf48c1960:key_frame2;0xaf3e1dd79:key_frame6;0xa838b29f6:key_frame3;0xa6d8548da:key_frame1;0xa6ae88cc3:key_frame5;0xa1defbc55:key_frame4;0x12d0b7b415:turntable_outline1;0x1249bee5af:turntable_outline2;0x123eb9d539:turntable_outline3;0x17dd7e5f4f:platform_start_wait_min;0x17e1736016:platform_start_wait_max;0x148ae55ceb:disappear_play_frame;0x11bb176354:appear_play_frame;0x109749f2d4:start_wait_frame;0xf99bbf5b9:keep_wait_frame,,FUN_03006040;FUN_00813760;FUN_02f90890;FUN_0392dde0;FUN_0302e980;FUN_02febd74;FUN_02f060c0;FUN_02f3e728;FUN_0302ed10;FUN_02f064a0;FUN_02f3f3c0;f;FUN_0302e95c;PIA_OnPacketReceived;FUN_02f06670
connect,001ea310,0x1ea310,FUN_001ea310,,,Global,"undefined __cdecl FUN_001ea310(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8, undefined8 param_9, ulong * * * * * * * param_10, ulong * * * * * * * param_11, long * * * * * * * param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",6984,213,1,decompiled/FUN_001ea310__001ea310.c,decompiled/FUN_001ea310__001ea310.mmd,decompiled/FUN_001ea310__001ea310.asm,8ccabb4b90551db1,fc6fbaa9fa6701a9f85f02a9f65703a9f44f04a9fd7b05a9fd430191ff030dd1,,,Connect,7,Connect,ConnectStationJob::ConnectionSucceeded,,0xfffffd98;0xfffffda0;0xfffffda8;0xfffffdb0;0xfffffdb8;0xfffffdc0;0xfffffdc8;0xfffffdd0;0xfffffdd8;0xfffffde0;0xfffffde8;0xfffffdf0;0xfffffe28;0xfffffe40;0xfffffe48;0xfffffe68;0xfffffe70;0xfffffe80;0xfffffe88;0xfffffe98;0xfffffea0;0xfffffeb0;0xfffffeb8;0xfffffed8;0xfffffef0;0xfffffef8;0xffffff00;0x150;0x168;0x178;0x179;0x192;...,DAT_052a3000@052a3000(rw);DAT_052a3da8@052a3da8(r);DAT_052a3db0@052a3db0(r);DAT_052a3db8@052a3db8(r);s_eckButton_042c3000@042c3000(rw);s_ConnectStationJob::ConnectionSuc_042c335f@042c335f(rw);DAT_052a5000@052a5000(rw);DAT_052a5fb0@052a5fb0(r);DAT_052a3d80@052a3d80(r);DAT_052a5e70@052a5e70(r);s_tES3_NS0_19SocketDriverDeleterEE_0449b000@0449b000(rw);s_iEE_0449be5b@0449be5b(rw);s_S0_13WorkerThreadsEiEE_0449be48@0449be48(rw);s_n3nex12ObjectThreadINS0_13Worker_0449be33@0449be33(rw);DAT_0449be68@0449be68(rw);DAT_0449be7b@0449be7b(rw);...,,,FUN_001ec890,FUN_001b1920;FUN_0021c210;FUN_001e9f10;FUN_001f2280;FUN_001bec40;FUN_001af950;GetAddress;FUN_01717c00;FUN_01711910;FUN_001e9c80;FUN_001bf020;FUN_001ec320;FUN_001bedd0;FUN_001bf030;FUN_001b4f00;FUN_001bf000;...
connect,001e6ce0,0x1e6ce0,FUN_001e6ce0,,,Global,"undefined __cdecl FUN_001e6ce0(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8, long param_9, size_t param_10, size_t param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",2688,103,1,decompiled/FUN_001e6ce0__001e6ce0.c,decompiled/FUN_001e6ce0__001e6ce0.mmd,decompiled/FUN_001e6ce0__001e6ce0.asm,1e5e9008408edaed,ff8307d1fc6f18a9fa6719a9f85f1aa9f6571ba9f44f1ca9fd7b1da9fd430791,,,Connect,6,Connect,ConnectStationJob::ConnectionSucceeded,,0xfffffe38;0xfffffe40;0xfffffe48;0xfffffe50;0xfffffe78;0xfffffe80;0xfffffeb8;0xfffffec0;0xfffffec8;0xfffffee0;0xfffffee8;0xfffffef8;0xffffff00;0x115;0x150;0x168;0x178;0x180;0x197;0x198;0x19d;0x1a8;0x1a9;0x1b0;0x1b1;0x1b8;0x1c2;0x1d2;0x1e5;0x1ea;0x1ec;0x1ef;...,DAT_052a3000@052a3000(rw);DAT_052a3da8@052a3da8(r);DAT_052a3db0@052a3db0(r);DAT_052a3db8@052a3db8(r);s_eckButton_042c3000@042c3000(rw);s_ConnectStationJob::ConnectionSuc_042c335f@042c335f(rw);DAT_052a5000@052a5000(rw);DAT_052a5970@052a5970(r);DAT_052a5b80@052a5b80(r);DAT_052a5e70@052a5e70(r);s_tES3_NS0_19SocketDriverDeleterEE_0449b000@0449b000(rw);s_n3nex12ObjectThreadINS0_13Worker_0449be33@0449be33(rw);PTR_DAT_0449c000@0449c000(rw);s_n3nex6qChainIPNS0_6PacketENS0_24_0449ce33@0449ce33(rw);DAT_052a6000@052a6000(rw);DAT_052a6e70@052a6e70(r);...,,,FUN_001ee920,FUN_001bec40;FUN_001cf850;FUN_001af950;FUN_01717c00;FUN_001b1500;FUN_01711910;FUN_001d06a0;FUN_001e8490;FUN_001b3230;FUN_001d0350;FUN_001cfbd0;HMACChecksum;FUN_001cf860;GetHour;FUN_001e8550;FUN_001b1400;...
connect,0023dcc0,0x23dcc0,FUN_0023dcc0,,,Global,"undefined __cdecl FUN_0023dcc0(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8, undefined8 param_9, long * param_10, ulong param_11, ulong param_12, long * param_13, undefined8 param_14, undefined8 param_15)",1544,70,0,decompiled/FUN_0023dcc0__0023dcc0.c,decompiled/FUN_0023dcc0__0023dcc0.mmd,decompiled/FUN_0023dcc0__0023dcc0.asm,0963d43db5b9f147,fc67bba9f85f01a9f65702a9f44f03a9fd7b04a9fd030191ff0308d1378302d0,,,Connect,5,Connect,ConnectStationJob::ConnectionSucceeded;dys_yoga04_04_set;purge;mnu_insert_popup_get,,0xfffffdb0;0xfffffdc8;0xfffffdd0;0xfffffdd8;0xfffffdfc;0xfffffe00;0xfffffe18;0xfffffe88;0x100;0x104;0x108;0x114;0x11e;0x120;0x121;0x12b;0x12e;0x138;0x13b;0x148;0x165;0x168;0x173;0x177;0x190;0x1b1;0x1be;0x1c4;0x1cc;0x1ff;0x20f;0x21a;...,DAT_052a3000@052a3000(rw);DAT_052a3da8@052a3da8(r);DAT_052a3db0@052a3db0(r);DAT_052a3db8@052a3db8(r);DAT_052a6000@052a6000(rw);DAT_052a6870@052a6870(r);s_eckButton_042c3000@042c3000(rw);s_ConnectStationJob::ConnectionSuc_042c335f@042c335f(rw);DAT_052a5000@052a5000(rw);DAT_052a5e20@052a5e20(r);DAT_0437a000@0437a000(rw);s_cel_0437acc7@0437acc7(rw);s_olor_%dp_04410000@04410000(rw);s_eaveWithHostMigrationJob::SendSt_04410e5c@04410e5c(rw);s_DAG._043ff000@043ff000(rw);s_oyNetworkJob::TryPrepareDestroyN_043ff92c@043ff92c(rw);...,,,,FUN_001f1ec0;operator=;FUN_001b0bb0;FUN_001b4f00;FUN_001d4300;FUN_0023e730;FUN_001b61c0;FUN_0023e370;FUN_001b1400;FUN_001b4a10;FUN_001b7690;FUN_0023dac0;FUN_001b3070;FUN_001af950;FUN_001d1690;FUN_001b6180;...
relay;wait,002ade70,0x2ade70,FUN_002ade70,,,Global,"uint __cdecl FUN_002ade70(undefined1[16] param_1, undefined1[16] param_2, undefined1[16] param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8, undefined8 * param_9, undefined8 param_10, undefined8 param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",1148,62,1,decompiled/FUN_002ade70__002ade70.c,decompiled/FUN_002ade70__002ade70.mmd,decompiled/FUN_002ade70__002ade70.asm,4cba37d2589a3da4,fc0f1af8fa6701a9f85f02a9f65703a9f44f04a9fd7b05a9fd430191ffc312d1,,,Relay,4,Relay;Wait,,,0xfffffaf8;0xfffffb60;0xfffffb88;0x104;0x1b1;0x1ca;0x1f9;0x283;0x31b;0x341;0x3e8;0x400;0x1000;0x10000;0x424db22;0x44104cb;0x4420831;0x4441bfd,"s_olor_%dp_04410000@04410000(rw);s_string_""_044104cc@044104cc(rw);DAT_00010000@00010000(rw);DAT_000003fd+3@00000400(rw);s_ateEv_0424d000@0424d000(rw);s_hProtocolReliable_receive_buffer_0424db25@0424db25(rw);DAT_00000405@00000405(rw);DAT_00001000@00001000(rw);s_lationFactor7_04420000@04420000(rw);s_RelayConnection_0442084c@0442084c(rw);s_t_04441000@04441000(rw);s_WaitCloseParticipation_04441c14@04441c14(rw)",,,,FUN_001b3db0;f;FUN_002aca40;GetHour;FUN_0353bf20;FUN_001ba480
scene,01a5e9a0,0x1a5e9a0,FUN_01a5e9a0,,,Global,undefined FUN_01a5e9a0(void),11548,585,1,,decompiled/FUN_01a5e9a0__01a5e9a0.mmd,decompiled/FUN_01a5e9a0__01a5e9a0.asm,,ff0303d1e82b00fdfc6f06a9fa6707a9f85f08a9f65709a9f44f0aa9fd7b0ba9,,,Scene,4,Scene,CPU_ITEM;hdr_dot_disp_8,,,DAT_000004d8+4@000004dc(rw);DAT_052a7000@052a7000(rw);DAT_052a7a80@052a7a80(r);DAT_000004d4@000004d4(rw);LAB_04472000@04472000(rw);DAT_04472b30@04472b30(r);DAT_000004e8@000004e8(rw);DAT_000004d8@000004d8(rw);s_river::BerkeleySocket_0438b000@0438b000(rw);s_center_0438bbd1@0438bbd1(rw);DAT_04471000@04471000(rw);DAT_044718b8@044718b8(r);DAT_044714c4@044714c4(r);DAT_000003fd+3@00000400(rw);DAT_00000405+3@00000408(rw);UINT_044f6000@044f6000(rw);...,,0x155f9548cb:ui_goods_spirit_point;0xd61d998cb:ui_goods_gold;0x1f3ee3d814:ui_prize_mode_sp_adventure_shop;0x12f8a058c5:ui_prize_dlc_stage;0x10310db94a:ui_prize_dlc_bgm;0xf91e07ad5:timmy_and_tommy;0x1cd6be4c9b:ui_prize_mode_sp_board_frame;0x22eae490b8:ui_prize_mode_challenge_board_coop;0x18cd5a705b:ui_prize_mode_sound_test;0x18295f2988:ui_prize_mode_shop_lv_up;0x182fe2e3bf:ui_prize_mode_challenger;0xdaaec3d9f:support_board;0x106cb91611:support_roulette;0xe32ae387d:support_ingame,switchD_01a5f8b8::caseD_1,FUN_01b19ac0;FUN_0327c890;FUN_032a7350;FUN_03239470;FUN_01780bf0;FUN_03779dd0;FUN_037786d0;FUN_01b14a60;FUN_0376de80;FUN_032d2db0;FUN_032388b0;FUN_01b10f90;FUN_0325d890;FUN_0327cf00;FUN_037718b0;PIA_OnPacketReceived;...
connect,002394d0,0x2394d0,FUN_002394d0,,,Global,"undefined4 __cdecl FUN_002394d0(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, char * param_8, long * param_9, char * param_10, char * param_11, long * param_12, long * param_13, long * param_14, char * param_15, long param_16, long param_17, long param_18)",1804,118,2,decompiled/FUN_002394d0__002394d0.c,decompiled/FUN_002394d0__002394d0.mmd,decompiled/FUN_002394d0__002394d0.asm,e47acb76013ba5da,ffc303d1fc6f09a9fa670aa9f85f0ba9f6570ca9f44f0da9fd7b0ea9fd830391,,LoginImpl@ssbu-decomp:functions(-0x100),LoginImpl,4,Connect,ConnectStationJob::ConnectionSucceeded,,0x100;0x101;0x102;0x103;0x104;0x105;0x106;0x107;0x108;0x109;0x10a;0x10b;0x10c;0x10d;0x10e;0x10f;0x110;0x112;0x119;0x11c;0x14c;0x162;0x169;0x16c;0x19c;0x1b1;0x1b2;0x1b9;0x1bc;0x1bf;0x1e6;0x1f1;...,"DAT_052a3000@052a3000(rw);DAT_052a3da8@052a3da8(r);DAT_052a3db0@052a3db0(r);DAT_052a3db8@052a3db8(r);s_eckButton_042c3000@042c3000(rw);s_ConnectStationJob::ConnectionSuc_042c335f@042c335f(rw);DAT_052a5000@052a5000(rw);DAT_052a5970@052a5970(r);DAT_052a6000@052a6000(rw);DAT_052a6800@052a6800(r);DAT_052a3d80@052a3d80(r);s_olor_%dp_04410000@04410000(rw);s_string_""_044104cc@044104cc(rw);DAT_00000520@00000520(rw)",,,FUN_00242b90;FUN_00242c30,FUN_001af950;FUN_001d5ed0;FUN_0023cda0;FUN_01717c00;FUN_001b48e0;FUN_001b1400;FUN_001ccef0;FUN_001b4a10;FUN_001cce00
