Function Address,Function Offset,Function Name,Function Symbol,Function Demangled,Function Namespace,Function Signature,Function Size,Function Basic Blocks,Function Incoming Refs,Function Decompile Path,Function CFG Path,Function Disasm Path,Function Clone Hash,Function Fingerprint,Function Referenced By,External Names,Suggested Name,Hit Count,Match Values,Strings In Body,Struct Accesses,Constants,Globals Accessed,Comments,Hash40 Loads,Callers,Callees
01d5efa4,0x1d5efa4,FUN_01d5efa4,,,Global,"undefined __cdecl FUN_01d5efa4(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7)",8448,608,2,decompiled/FUN_01d5efa4__01d5efa4.c,decompiled/FUN_01d5efa4__01d5efa4.mmd,decompiled/FUN_01d5efa4__01d5efa4.asm,d28d57d6f020f28d,2a00381eec4204910b00381ef64207911f090071600700541f050071410e0054,,,Scene,9,Scene,copy_link_cap,,0xffffff00;0x100;0x108;0x10a;0x110;0x114;0x118;0x120;0x128;0x140;0x147;0x154;0x19d;0x1aa;0x1b1;0x1c4;0x1c8;0x1cc;0x1d0;0x1e0;0x1e7;0x1f0;0x1fc;0x1fe;0x200;0x208;0x20c;0x210;0x218;0x228;0x236;0x243;...,DAT_04741000@04741000(rw);SUB_04741dbb@04741dbb(r);DAT_00003f4a@00003f4a(rw);DAT_04f73000@04f73000(rw);DAT_04f73d50@04f73d50(rw);s_ghter_av_01_04280000@04280000(rw);s_EAPON_KIND_TRAIL_HOLE_04280da4@04280da4(rw);s__itemset_assist_043df000@043df000(rw);s_arter_00_043df426@043df426(rw);s_tMatchmakeSession_0427f000@0427f000(rw);s__SMASH_0427fda4@0427fda4(rw);s_SceneParameter_043bd000@043bd000(rw);s_pic_banner_bg_043bd955@043bd955(rw);DAT_00000410@00000410(rw);DAT_00000424+4@00000428(rw);DAT_00000510@00000510(rw);...,,0x153b5acbbf:rbkind_ui_next_battle,switchD_01d6b828::caseD_0;FUN_01d5efa4,FUN_01465b30;f;FUN_03777e50;FUN_015436c0;FUN_037ad490;FUN_037a1dc0;FUN_03393140;FUN_0149e670;FUN_01d5ab30;FUN_01d5efa4;FUN_0179f6f0;FUN_03776460;FUN_02407380;FUN_01d5b7c0
01a5e9a0,0x1a5e9a0,FUN_01a5e9a0,,,Global,undefined FUN_01a5e9a0(void),11548,585,1,,decompiled/FUN_01a5e9a0__01a5e9a0.mmd,decompiled/FUN_01a5e9a0__01a5e9a0.asm,,ff0303d1e82b00fdfc6f06a9fa6707a9f85f08a9f65709a9f44f0aa9fd7b0ba9,,,Scene,4,Scene,CPU_ITEM;hdr_dot_disp_8,,,DAT_000004d8+4@000004dc(rw);DAT_052a7000@052a7000(rw);DAT_052a7a80@052a7a80(r);DAT_000004d4@000004d4(rw);LAB_04472000@04472000(rw);DAT_04472b30@04472b30(r);DAT_000004e8@000004e8(rw);DAT_000004d8@000004d8(rw);s_river::BerkeleySocket_0438b000@0438b000(rw);s_center_0438bbd1@0438bbd1(rw);DAT_04471000@04471000(rw);DAT_044718b8@044718b8(r);DAT_044714c4@044714c4(r);DAT_000003fd+3@00000400(rw);DAT_00000405+3@00000408(rw);UINT_044f6000@044f6000(rw);...,,0x155f9548cb:ui_goods_spirit_point;0xd61d998cb:ui_goods_gold;0x1f3ee3d814:ui_prize_mode_sp_adventure_shop;0x12f8a058c5:ui_prize_dlc_stage;0x10310db94a:ui_prize_dlc_bgm;0xf91e07ad5:timmy_and_tommy;0x1cd6be4c9b:ui_prize_mode_sp_board_frame;0x22eae490b8:ui_prize_mode_challenge_board_coop;0x18cd5a705b:ui_prize_mode_sound_test;0x18295f2988:ui_prize_mode_shop_lv_up;0x182fe2e3bf:ui_prize_mode_challenger;0xdaaec3d9f:support_board;0x106cb91611:support_roulette;0xe32ae387d:support_ingame,switchD_01a5f8b8::caseD_1,FUN_01b19ac0;FUN_0327c890;FUN_032a7350;FUN_03239470;FUN_01780bf0;FUN_03779dd0;FUN_037786d0;FUN_01b14a60;FUN_0376de80;FUN_032d2db0;FUN_032388b0;FUN_01b10f90;FUN_0325d890;FUN_0327cf00;FUN_037718b0;PIA_OnPacketReceived;...
01bbc080,0x1bbc080,FUN_01bbc080,,,Global,"undefined __cdecl FUN_01bbc080(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, undefined8 param_8, undefined8 param_9, undefined * UNRECOVERED_JUMPTABLE, undefined8 param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15, undefined8 param_16, undefined8 param_17, long param_18, undefined8 param_19, byte param_20)",3988,233,1,decompiled/FUN_01bbc080__01bbc080.c,decompiled/FUN_01bbc080__01bbc080.mmd,decompiled/FUN_01bbc080__01bbc080.asm,e9f1daeec3387207,29080051e80302aa3f190071a8010054ea4901904ae128914979a9b829010a8b,,,Scene,3,Scene,balloonScore_7650_base;initial position out of string,,0x102;0x118;0x119;0x11a;0x142;0x158;0x160;0x168;0x191;0x1a4;0x1b0;0x1b1;0x1b8;0x1ce;0x1f8;0x200;0x208;0x210;0x223;0x24d;0x254;0x2a1;0x2cc;0x2f7;0x30d;0x32d;0x35f;0x369;0x388;0x396;0x39e;0x3ab;...,UINT_044f8000@044f8000(rw);switchdataD_044f8a38@044f8a38(rw);s_et_txt_honbun_%02d_04443000@04443000(rw);s__SP_LW_04443480@04443480(rw);DAT_044f8984@044f8984(r);DAT_044f898c@044f898c(r);DAT_00000418@00000418(rw);DAT_044f8a58@044f8a58(rw);s_SceneParameter_043bd000@043bd000(rw);s_ialog_none_043bddce@043bddce(rw);DAT_000038e0+3@000038e3(rw);DAT_0000e38e@0000e38e(rw);DAT_00009dc5@00009dc5(rw);switchdataD_044f89a0@044f89a0(rw);s_num_2_04339000@04339000(rw);s_tem_on_off_04339225@04339225(rw);...,,,switchD_01bcbf60::caseD_2,FUN_037782b0;f;FUN_03777e50;FUN_03776190;get_root_view;FUN_01c83d40;FUN_01af54d0;FUN_01c91830;FUN_03777f80;FUN_03779c70;PIA_OnPacketReceived
01f0dc98,0x1f0dc98,switchD_01f1baac::caseD_0,,,switchD_01f1baac,"ulong __cdecl caseD_0(long param_1, undefined1[16] param_2, undefined1[16] param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, undefined1[16] param_8, ulong param_9, uint * param_10, undefined * param_11, undefined8 * param_12, undefined * param_13, undefined1 * param_14, ulong param_15, long param_16, undefined8 param_17, undefined8 param_18, uint * param_19, long * param_20, uint * param_21, ulong param_22, undefined8 param_23, ulong * param_24, undefined * param_25, undefined8 param_26, undefined * param_27, ulong param_28, undefined8 param_29, undefined8 param_30, undefined8 param_31, long param_32, long param_33, ulong param_34, undefined8 param_35, ulong param_36, long * param_37, long param_38, long param_39, ulong param_40, long param_41, undefined8 param_42, long * param_43, undefined4 param_44, long * param_45, long param_46, undefined1 * param_47, undefined8 param_48, long * param_49, undefined8 param_50, undefined8 param_51, undefined4 param_52, long * param_53, long param_54, long * param_55, undefined1 param_56, long param_57)",10116,545,2,decompiled/caseD_0__01f0dc98.c,decompiled/caseD_0__01f0dc98.mmd,decompiled/caseD_0__01f0dc98.asm,083321b404534873,0805c0390200001408114078a84601b9696b41f9280140391f31007161040054,,,,2,Scene,copy_link_cap;set_parts_spirits_2d,,0xffffff00;0x118;0x120;0x14e;0x14f;0x150;0x151;0x154;0x182;0x183;0x184;0x185;0x188;0x191;0x1a8;0x1ac;0x1b1;0x1b6;0x1b7;0x1b8;0x1b9;0x1bc;0x1ea;0x1eb;0x1ec;0x1ed;0x1f0;0x21e;0x21f;0x220;0x221;0x224;...,DAT_0000d9ff@0000d9ff(rw);s_copy_link_cap_04442000@04442000(rw);s_bullet_04442e9b@04442e9b(rw);s_ghter_av_01_04280000@04280000(rw);s_t_num_in_out_04280275@04280275(rw);DAT_0000fb28+3@0000fb2b(rw);DAT_0000fdfd@0000fdfd(rw);DAT_0000d706@0000d706(rw);DAT_04742263+2@04742265(r);DAT_04741f67@04741f67(r);DAT_0523ce28@0523ce28(r);DAT_0523cef8@0523cef8(r);DAT_0523cfc8@0523cfc8(r);DAT_0523d098@0523d098(r);DAT_0523d168@0523d168(r);DAT_0523d238@0523d238(r);...,,0x1257ab1d87:ui_chara_miigunner;0x13fdfdfb2b:ui_chara_miifighter;0x15d7061f77:ui_chara_miiswordsman;0xdf1f263d6:ui_chara_pitb;0x86558c304:border_b;0x81532378b:border_g;0x67f24bc4f:font_r;0x66293ac2b:font_b;0x612f958a4:font_g;0x102fb1a8ff:transition_times,,FUN_01ee6160;FUN_01ec1cd0;FUN_01edc928;FUN_0392dde0;FUN_03775ee0;FUN_03771320;FUN_01ec13f0;FUN_03776460;FUN_01f42390;FUN_02407380;FUN_01f3e5e0;FUN_03775c40;FUN_01ee63e0;FUN_01f308c0;FUN_03313a70;f;...
01a42270,0x1a42270,FUN_01a42270,,,Global,"undefined __cdecl FUN_01a42270(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8, short * param_9)",232,4,1,decompiled/FUN_01a42270__01a42270.c,decompiled/FUN_01a42270__01a42270.mmd,decompiled/FUN_01a42270__01a42270.asm,383b2f785cd1eba0,ff4304d1e86300fdfc6700f9f85f0da9f6570ea9f44f0fa9fd7b10a9fd030491,,,Scene,2,Scene,,,0x1b1;0xffff;0x43bd6a5;0x43df1a5;0x3f800000,s_EFAULT_POSITION_Z_0435a000@0435a000(rw);s_ercent_0435a7fe@0435a7fe(rw);s_river::BerkeleySocket_0438b000@0438b000(rw);s_item_sdw_0438ba75@0438ba75(rw);s_SceneParameter_043bd000@043bd000(rw);s_it_suddendeath_bomb_with_043bd697@043bd697(rw);s_k_042a2000@042a2000(rw);s_tegory_042a20f1@042a20f1(rw);s_D=_043ef000@043ef000(rw);s_rink_with_043ef9fc@043ef9fc(rw);s__itemset_assist_043df000@043df000(rw);s_et_txt_item_category_043df1a5@043df1a5(rw);s__bomb_with_043bd6a5@043bd6a5(rw),,,,FUN_03777e50;FUN_03776190;FUN_03776460
01a2af50,0x1a2af50,FUN_01a2af50,,,Global,"undefined __cdecl FUN_01a2af50(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8, int param_9)",264,10,1,decompiled/FUN_01a2af50__01a2af50.c,decompiled/FUN_01a2af50__01a2af50.mmd,decompiled/FUN_01a2af50__01a2af50.asm,ca40dd593b251fda,ff0301d1f50b00f9f44f02a9fd7b03a9fdc30091f30300aa81040034482c4092,,,Scene,2,Scene,,,0x1b1;0x426ea24;0x438c358;0x523c9a8;0x523d9a8;0x3f800000,DAT_00004240@00004240(rw);s_SceneParameter_043bd000@043bd000(rw);s_me_n_043bd822@043bd822(rw);DAT_0523c000@0523c000(rw);DAT_0523c9a8@0523c9a8(rw);s_#%ld)_with_%s_%s_0426e000@0426e000(rw);s_iibo_journey_stop_nfc_touch_0426ea2a@0426ea2a(rw);DAT_0523d000@0523d000(rw);DAT_0523d9a8@0523d9a8(rw);s_how_icon_check_0438c000@0438c000(rw);s_off_0438c35e@0438c35e(rw),,,FUN_01a608c0,FUN_03779e60;FUN_03777e50;FUN_037a1dc0;PIA_OnPacketReceived;FUN_03776460
01cf2320,0x1cf2320,FUN_01cf2320,,,Global,"undefined __cdecl FUN_01cf2320(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8)",432,19,4,decompiled/FUN_01cf2320__01cf2320.c,decompiled/FUN_01cf2320__01cf2320.mmd,decompiled/FUN_01cf2320__01cf2320.asm,d4c5b0fa4e5ff3dc,ff8302d1f65707a9f44f08a9fd7b09a9fd430291413601f021fc3a91e8a30091,,,Scene,2,Scene,,,0x109;0x116;0x12e;0x148;0x1b1;0x746f;0x432987b;0x43bdebf;0x3f800000;0x68736762,s_SceneParameter_043bd000@043bd000(rw);s_eout_043bdebf@043bdebf(rw);DAT_0523c000@0523c000(rw);DAT_0523c9e8@0523c9e8(rw);DAT_00006873@00006873(rw);DAT_00009dc5@00009dc5(rw);s_rule_01_042e6000@042e6000(rw);s_off_042e63e2@042e63e2(rw);DAT_030aee6b@030aee6b(rw);DAT_0523c9a8@0523c9a8(rw);s_02_04329000@04329000(rw);s_edit_chg_layer_0432987b@0432987b(rw),,,FUN_01ce1150;switchD_01cd46ec::caseD_0;FUN_01cf0970,FUN_03777e50;FUN_03777c30;PIA_OnPacketReceived;FUN_03776460;FUN_037791a0
01c12680,0x1c12680,FUN_01c12680,,,Global,"undefined __cdecl FUN_01c12680(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, undefined8 param_8, long param_9, long param_10, char * param_11)",2896,101,1,decompiled/FUN_01c12680__01c12680.c,decompiled/FUN_01c12680__01c12680.mmd,decompiled/FUN_01c12680__01c12680.asm,f90200858936a756,fc6fbaa9fa6701a9f85f02a9f65703a9f44f04a9fd7b05a9fd430191ff830bd1,,,Scene,2,Scene,,,0xfffffcd0;0xfffffd18;0xfffffd58;0xfffffd60;0xfffffda8;0xfffffdf0;0xfffffe38;0xfffffe80;0xfffffec8;0xffffff00;0x14a;0x160;0x164;0x1b1;0x1f4;0x1f8;0x290;0x2c6;0x3bd;0x3d9;0x3ea;0x4d5;0x508;0x567;0x57d;0x596;0x5ac;0x5d7;0x5e5;0x74b;0x80a;0x80f;...,DAT_000006a8@000006a8(rw);s_SceneParameter_043bd000@043bd000(rw);s_ng_043bd5b0@043bd5b0(rw);s_#%ld)_with_%s_%s_0426e000@0426e000(rw);s_ining_shift2_0426ef56@0426ef56(rw);s_ide_042a1000@042a1000(rw);s_iend_lock_042a1ff8@042a1ff8(rw);s_n_042b3000@042b3000(rw);s_itle_main_042b3351@042b3351(rw);DAT_0523c000@0523c000(rw);DAT_0523c9a8@0523c9a8(rw);DAT_0523c988@0523c988(rw);DAT_00009dc5@00009dc5(rw);DAT_00006f66@00006f66(rw);DAT_00006d72@00006d72(rw);DAT_00006d65@00006d65(rw);...,,,FUN_01c11560,FUN_03776190;FUN_037a1dc0;FUN_03779dd0;FUN_03779c70;PIA_OnPacketReceived;FUN_03776460
01ab95a8,0x1ab95a8,FUN_01ab95a8,,,Global,"undefined __cdecl FUN_01ab95a8(undefined8 param_1, undefined1[16] param_2, undefined1[16] param_3, float param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, undefined1[16] param_8, undefined8 param_9, undefined8 param_10, long * param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15, undefined8 param_16, undefined8 param_17, undefined8 param_18, undefined8 param_19)",3396,152,4,decompiled/FUN_01ab95a8__01ab95a8.c,decompiled/FUN_01ab95a8__01ab95a8.mmd,decompiled/FUN_01ab95a8__01ab95a8.asm,7b6c4f27775c6c68,e80700f9e90f1a3253c301d0d972099b687647f9000540f9210340b9ffdd0094,,,Scene,2,Scene,mel_chara_select_smaknowledge;copy_link_cap,,0x10b;0x11b;0x130;0x131;0x138;0x145;0x146;0x148;0x15a;0x160;0x167;0x168;0x170;0x17d;0x190;0x195;0x1a7;0x1a9;0x1b1;0x1ba;0x1bc;0x1c0;0x1c5;0x21b;0x22f;0x23c;0x250;0x25d;0x266;0x273;0x279;0x27e;...,s_mel_chara_select_smaknowledge_043fff54@043fff54(rw);UINT_044f7220@044f7220(rw);s_copy_link_cap_04442000@04442000(rw);s_ression_%02d_0444293d@0444293d(rw);DAT_0523c9a8@0523c9a8(rw);DAT_0523c9b0@0523c9b0(r);s_rule_01_042e6000@042e6000(rw);s_ivate_info_042e63fa@042e63fa(rw);DAT_00000ee8@00000ee8(rw);s_nn::nsd::ResolveEx()._04328000@04328000(rw);s__CAMERA_DEFAULT_POSITION_Z_04328ac1@04328ac1(rw);s_num_2_04339000@04339000(rw);s_ff_04339322@04339322(rw);DAT_000006c0@000006c0(rw);DAT_0523c000@0523c000(rw);s_SceneParameter_043bd000@043bd000(rw);...,,0x11b1ccb807:ui_chara_ptrainer;0x143829f67e:ui_chara_flame_first,FUN_01ad9f90,FUN_01af0dc0;FUN_037782b0;FUN_03777e50;FUN_03776190;FUN_0392dde0;FUN_03778bf0;FUN_0323ee80;FUN_03775ee0;FUN_03264430;FUN_03776460;FUN_01aba810;FUN_037786d0;nnsocketResolverSetOption;f;FUN_03777c30;FUN_003a4da0;...
01bd7b40,0x1bd7b40,FUN_01bd7b40,,,Global,"undefined __cdecl FUN_01bd7b40(undefined1[16] param_1, undefined1[16] param_2, undefined1[16] param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8, ulong param_9, undefined8 * * param_10, ulong param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",8540,497,1,decompiled/FUN_01bd7b40__01bd7b40.c,decompiled/FUN_01bd7b40__01bd7b40.mmd,decompiled/FUN_01bd7b40__01bd7b40.asm,69645f81037a75db,e80f19fcfc6f01a9fa6702a9f85f03a9f65704a9f44f05a9fd7b06a9fd830191,,,Scene,2,Scene,all_in;mnu_insert_popup_get;set_txt_extratxtb_%02d;list_navi_left_hide;copy_link_cap,,0x118;0x153;0x165;0x168;0x178;0x180;0x188;0x190;0x195;0x198;0x19e;0x1a0;0x1a4;0x1b0;0x1b1;0x1b4;0x1b8;0x1bc;0x1c0;0x1cc;0x1df;0x1f1;0x204;0x223;0x235;0x247;0x254;0x25a;0x28d;0x28f;0x293;0x298;...,DAT_0523c000@0523c000(rw);DAT_0523c988@0523c988(rw);DAT_0523c9a8@0523c9a8(rw);s_SceneParameter_043bd000@043bd000(rw);s_ck_mask_on_043bd4cd@043bd4cd(rw);DAT_0523c9e8@0523c9e8(rw);s_river::BerkeleySocket_0438b000@0438b000(rw);s_yer_fp_r_0438b87c@0438b87c(rw);s__itemset_assist_043df000@043df000(rw);s_just_wall_043dffb6@043dffb6(rw);DAT_0523d000@0523d000(rw);DAT_0523d9e8@0523d9e8(rw);s__txt_tellop_%02d_043be000@043be000(rw);s_tack_data_043be4cd@043be4cd(rw);s__KUMITE_CRUEL_04432000@04432000(rw);s_pos_offset__04432f0e@04432f0e(rw);...,,,FUN_01bd44a0,FUN_03776190;FUN_0062dd20;FUN_0392dde0;get_root_view;FUN_037a1dc0;FUN_03775ee0;FUN_01bda1e0;FUN_03779dd0;FUN_03776460;FUN_02407380;FUN_03313a70;FUN_03777c30;FUN_03771480;FUN_037718b0;FUN_037715d0;PIA_OnPacketReceived;...
