Location,Match Bytes,Match Value,Label,Code Unit
0449deba,41 63 63 6f 75 6e 74,Account,,?? 41h    A
0449e5df,41 63 63 6f 75 6e 74,Account,,"ds ""N2nn3nex18SigloAccountFacadeE"""
0449e67a,41 63 63 6f 75 6e 74,Account,s_N2nn3nex20JobAcquireNsaIdTokenIN_0449e650,"ds ""N2nn3nex20JobAcquireNsaIdTokenINS0_18SigloAccountFacadeEEE"""
0449e2d5,41 63 63 6f 75 6e 74,Account,s_N2nn3nex20PseudoGlobalVariableIN_0449e2b0,"ds ""N2nn3nex20PseudoGlobalVariableINS0_39AccountManagementServiceDDLDeclarationsEEE"""
041cff68,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn2ec19ShopServiceAccessor7RequestEPNS1_13AsyncResponseERKNS_7account3UidENS0_11ShopService6MethodEPKcRKNS1_8PostDataENS_8TimeSpanE"""
042044f9,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn2ec19ShowShopProductListEPKNS0_5NsUidEiPKcRKNS_7account10UserHandleE"""
042044ae,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn2ec22ShowShopProductDetailsENS0_5NsUidERKNS_7account10UserHandleE"""
0420454b,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn2ec24ShowShopAddOnContentListENS_13ApplicationIdERKNS_7account10UserHandleE"""
04245b17,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn2fs13MountSaveDataEPKcRKNS_7account3UidE"""
04245ad2,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn2fs14EnsureSaveDataERKNS_7account3UidE"""
04245b4a,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn2fs15GetSaveDataSizeEPlS1_RKNS_7account3UidE"""
04245b7b,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn2fs18IsSaveDataExistingERKNS_7account3UidE"""
0424784d,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn3web14ShowWebPageArg6SetUidERKNS_7account3UidE"""
0424c4e2,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn3web16ShowLobbyPageArg6SetUidERKNS_7account3UidE"""
04244330,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn5album22SaveAndShareScreenshotEPKvmNS0_9ImageSizeENS0_17AlbumReportOptionERKNS_7account3UidEPKc"""
04248b58,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn5prepo10PlayReport4SaveERKNS_7account3UidE"""
04247a9a,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account10InitializeEv"""
04247ae2,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account11GetNicknameEPNS0_8NicknameERKNS0_3UidE"""
0424c3d2,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account12AsyncContext14GetSystemEventEPNS_2os11SystemEventE"""
0424c415,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account12AsyncContext6CancelEv"""
04247c02,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account12AsyncContext7HasDoneEPb"""
04247d19,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account12AsyncContext9GetResultEv"""
04247cf5,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account12AsyncContextC1EOS1_"""
04247c2a,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account12AsyncContextC1Ev"""
04247c4b,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account12AsyncContextD1Ev"""
04247cd1,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account12AsyncContextaSEOS1_"""
04247ab7,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account12ListAllUsersEPiPNS0_3UidEi"""
0424bc70,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account16GetUserExistenceEPbRKNS0_3UidE"""
04247bb8,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account16ShowUserSelectorEPNS0_3UidERKNS0_21UserSelectionSettingsE"""
04247b47,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account22TryOpenPreselectedUserEPNS0_10UserHandleE"""
04247b19,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account25CachedNintendoAccountInfoC1Ev"""
04247b30,41 63 63 6f 75 6e 74,Account,,"ds ""_ZN2nn7account25CachedNintendoAccountInfoC1Ev"""
04247e21,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account26GetNetworkServiceAccountIdEPNS0_23NetworkServiceAccountIdERKNS0_10UserHandleE"""
04247e3b,41 63 63 6f 75 6e 74,Account,,"ds ""_ZN2nn7account26GetNetworkServiceAccountIdEPNS0_23NetworkServiceAccountIdERKNS0_10UserHandleE"""
04247e5a,41 63 63 6f 75 6e 74,Account,,"ds ""_ZN2nn7account26GetNetworkServiceAccountIdEPNS0_23NetworkServiceAccountIdERKNS0_10UserHandleE"""
04247e7f,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account29LoadCachedNintendoAccountInfoEPNS0_25CachedNintendoAccountInfoERKNS0_10UserHandleEPvm"""
04247e9a,41 63 63 6f 75 6e 74,Account,,"ds ""_ZN2nn7account29LoadCachedNintendoAccountInfoEPNS0_25CachedNintendoAccountInfoERKNS0_10UserHandleEPvm"""
04247ebb,41 63 63 6f 75 6e 74,Account,,"ds ""_ZN2nn7account29LoadCachedNintendoAccountInfoEPNS0_25CachedNintendoAccountInfoERKNS0_10UserHandleEPvm"""
