Location,Match Bytes,Match Value,Label,Code Unit
04359989,61 64 64 72 65 73 73,address,,"ds ""  end_address: 0x%016llX\n"""
04306991,61 64 64 72 65 73 73,address,,"ds ""  start_address: 0x%016llX\n"""
043ee6bd,41 64 64 72 65 73 73,Address,,"ds ""Address in '%s' found illegal!\n"""
04270e9b,41 44 44 52 45 53 53,ADDRESS,,"ds ""FIGHTER_INSTANCE_WORK_ID_INT_SPIRITS_BATTLE_EVENT_ADDRESS"""
042d73c2,41 44 44 52 45 53 53,ADDRESS,,"ds ""FIGHTER_INSTANCE_WORK_ID_INT_SPIRITS_STAGE_ATTRIBUTE_ADDRESS"""
043f1665,41 44 44 52 45 53 53,ADDRESS,,"ds ""FIGHTER_INSTANCE_WORK_ID_INT_SPIRITS_SUPPORT_SKILL_ADDRESS"""
0432d63a,41 44 44 52 45 53 53,ADDRESS,,"ds ""FIGHTER_KIRBY_INSTANCE_WORK_ID_INT_COPY_MODULE_ADDRESS"""
042ce85c,41 44 44 52 45 53 53,ADDRESS,,"ds ""FIGHTER_MASTER_INSTANCE_WORK_ID_INT_SPECIAL_HI_DATA_ADDRESS"""
04295603,41 44 44 52 45 53 53,ADDRESS,,"ds ""FIGHTER_PIKACHU_INSTANCE_WORK_ID_INT_KAMINARI_CLOUD_ADDRESS"""
0431e0c0,41 44 44 52 45 53 53,ADDRESS,,"ds ""FIGHTER_PIKMIN_INSTANCE_WORK_INT_TROOPS_MANAGER_ADDRESS"""
043ee7ac,61 64 64 72 65 73 73,address,,"ds ""Invalid IPv6 address format\n"""
043bc99f,41 64 64 72 65 73 73,Address,,"ds ""LanConnectStationJob::TryCurrentAddress"""
043ee6aa,61 64 64 72 65 73 73,address,,"ds ""Local Interface %s is ip %s using address family %i\n"""
0449adae,41 64 64 72 65 73 73,Address,,"ds ""N2nn3nex11InetAddressE"""
0449417a,41 64 64 72 65 73 73,Address,s_N2nn3pia3nex29NexNatServerAddres_04494160,"ds ""N2nn3pia3nex29NexNatServerAddressResolveJobE"""
04498895,41 64 64 72 65 73 73,Address,,"ds ""N2nn3pia5local12LocalAddressE"""
04492b05,41 64 64 72 65 73 73,Address,,"ds ""N2nn3pia6common11InetAddressE"""
04493998,41 64 64 72 65 73 73,Address,,"ds ""N2nn3pia6common14StationAddressE"""
04493ceb,41 64 64 72 65 73 73,Address,,"ds ""N2nn3pia6common15SimpleContainerINS1_11InetAddressELi4EEE"""
04492cb1,41 64 64 72 65 73 73,Address,,"ds ""N2nn3pia6common33MonitoringServerAddressResolveJobE"""
0475b969,41 64 64 72 65 73 73,Address,,"ds ""N2nu11TrackerBaseIKNS_23ResourceAdapterContractINS_17ByteAddressBufferEEEEE"""
0475b8c3,41 64 64 72 65 73 73,Address,,"ds ""N2nu11TrackerBaseINS_18ShaderResourcePlugINS_17ByteAddressBufferEEEEE"""
0475af64,41 64 64 72 65 73 73,Address,,"ds ""N2nu11TrackerBaseINS_19UnorderedAccessPlugINS_17ByteAddressBufferEEEEE"""
0475b008,41 64 64 72 65 73 73,Address,,"ds ""N2nu11TrackerBaseINS_23ResourceAdapterContractINS_17ByteAddressBufferEEEEE"""
0475b91c,41 64 64 72 65 73 73,Address,,"ds ""N2nu14InstanceHandleIKNS_23ResourceAdapterContractINS_17ByteAddressBufferEEEEE"""
0475b876,41 64 64 72 65 73 73,Address,,"ds ""N2nu14InstanceHandleINS_18ShaderResourcePlugINS_17ByteAddressBufferEEEEE"""
0475af17,41 64 64 72 65 73 73,Address,,"ds ""N2nu14InstanceHandleINS_19UnorderedAccessPlugINS_17ByteAddressBufferEEEEE"""
0475afbb,41 64 64 72 65 73 73,Address,,"ds ""N2nu14InstanceHandleINS_23ResourceAdapterContractINS_17ByteAddressBufferEEEEE"""
0485cfac,41 64 64 72 65 73 73,Address,,"ds ""N2nu15InstancePointerINS_23ResourceAdapterContractINS_17ByteAddressBufferEEENSt3__114default_deleteIS3_EEEE"""
0485d4c2,41 64 64 72 65 73 73,Address,,"ds ""N2nu18ShaderResourcePlugINS_17ByteAddressBufferEEE"""
0485d573,41 64 64 72 65 73 73,Address,,"ds ""N2nu19UnorderedAccessPlugINS_17ByteAddressBufferEEE"""
043bc7a8,41 64 64 72 65 73 73,Address,,"ds ""NexConnectStationJob::ResolveCurrentAddress"""
0431721c,41 64 64 72 65 73 73,Address,,"ds ""NexConnectStationJob::TestCurrentAddress"""
042d45be,41 64 64 72 65 73 73,Address,,"ds ""NexConnectStationJob::TryCurrentAddress"""
0442061a,41 64 64 72 65 73 73,Address,s_NexCreateMeshJob::StartMonitorin_044205f3,"ds ""NexCreateMeshJob::StartMonitoringServerAddressResolution"""
043eeb39,41 64 64 72 65 73 73,Address,,"ds ""NexJoinMeshJob::StartMonitoringServerAddressResolution"""
042b24d6,41 64 64 72 65 73 73,Address,,"ds ""NexNatServerAddressResolveJob::StepComplete"""
043de282,41 64 64 72 65 73 73,Address,,"ds ""NexNatServerAddressResolveJob::StepRequestRelayServerSetting"""
0428fdba,41 64 64 72 65 73 73,Address,,"ds ""NexNatServerAddressResolveJob::StepResolveNatServerAddress"""
0428fde1,41 64 64 72 65 73 73,Address,,"ds ""NexNatServerAddressResolveJob::StepResolveNatServerAddress"""
0435961d,41 64 64 72 65 73 73,Address,,"ds ""NexNatServerAddressResolveJob::StepResolveRelayServerSetting"""
043eeadf,41 64 64 72 65 73 73,Address,s_NexNatServerAddressResolveJob::S_043eead3,"ds ""NexNatServerAddressResolveJob::StepWaitRequestRelayServerSetting"""
043e3f61,41 44 44 52 45 53 53,ADDRESS,,"ds ""WEAPON_PIKACHU_CLOUD_INSTANCE_WORK_ID_INT_KAMINARI_ADDRESS"""
0432de88,41 44 44 52 45 53 53,ADDRESS,,"ds ""WEAPON_PIKACHU_CLOUD_INSTANCE_WORK_ID_INT_WEAPON_ADDRESS"""
042fc2f8,41 44 44 52 45 53 53,ADDRESS,,"ds ""WEAPON_PIKACHU_DENGEKIDAMA_INSTANCE_WORK_ID_INT_ARTICLE_DATA_ADDRESS"""
0428495a,41 44 44 52 45 53 53,ADDRESS,,"ds ""WEAPON_PIKACHU_KAMINARI_INSTANCE_WORK_ID_INT_CLOUD_ADDRESS"""
044367c8,41 44 44 52 45 53 53,ADDRESS,,"ds ""WEAPON_PIKACHU_KAMINARI_INSTANCE_WORK_ID_INT_NEXT_KAMINARI_ADDRESS"""
042eb053,41 44 44 52 45 53 53,ADDRESS,,"ds ""WEAPON_PIKACHU_KAMINARI_INSTANCE_WORK_ID_INT_PREV_KAMINARI_ADDRESS"""
0434f8a9,41 44 44 52 45 53 53,ADDRESS,,"ds ""WEAPON_PIKMIN_PIKMIN_INSTANCE_WORK_ID_INT_TROOPS_MANAGER_ADDRESS"""
0424920f,41 64 64 72 65 73 73,Address,,"ds ""_ZN2nn2os21AllocateAddressRegionEPmm"""
04248c59,41 64 64 72 65 73 73,Address,,"ds ""_ZN2nn2pl20GetSharedFontAddressENS0_14SharedFontTypeE"""
0424b7fd,41 64 64 72 65 73 73,Address,,"ds ""_ZN2nn3ldn14GetIpv4AddressEPNS0_11Ipv4AddressEPNS0_10SubnetMaskE"""
0424b810,41 64 64 72 65 73 73,Address,,"ds ""_ZN2nn3ldn14GetIpv4AddressEPNS0_11Ipv4AddressEPNS0_10SubnetMaskE"""
04204071,41 64 64 72 65 73 73,Address,,"ds ""_ZN2nn3ldn15MakeIpv4AddressEhhhh"""
0424bbb9,41 64 64 72 65 73 73,Address,,"ds ""_ZN2nn3ldn20CreateNetworkPrivateERKNS0_13NetworkConfigERKNS0_14SecurityConfigERKNS0_17SecurityParameterERKNS0_10UserConfigEiPKNS0_12AddressEntryE"""
0424b8de,41 64 64 72 65 73 73,Address,,"ds ""_ZN2nn3ldn20MakeBroadcastAddressENS0_11Ipv4AddressENS0_10SubnetMaskE"""
0424b8f0,41 64 64 72 65 73 73,Address,,"ds ""_ZN2nn3ldn20MakeBroadcastAddressENS0_11Ipv4AddressENS0_10SubnetMaskE"""
0424b99a,41 64 64 72 65 73 73,Address,,"ds ""_ZN2nn3ldn6RejectENS0_11Ipv4AddressE"""
0424c279,41 64 64 72 65 73 73,Address,,"ds ""_ZN2nn4nifm26GetCurrentPrimaryIpAddressEP7in_addr"""
0449bf10,61 64 64 72 65 73 73,address,s_address_0449bf10,"ds ""address"""
0426e180,41 64 64 72 65 73 73,Address,,"ds ""nvnBufferGetAddress"""
0426e133,41 64 64 72 65 73 73,Address,,"ds ""nvnDeviceGetProcAddress"""
0437a862,41 64 64 72 65 73 73,Address,,"ds ""nvnMemoryPoolGetBufferAddress"""
042d442e,41 64 64 72 65 73 73,Address,,"ds ""nvnTextureGetTextureAddress"""
0437adce,61 64 64 72 65 73 73,address,s_prudp:/address=_0437adc7,"ds ""prudp:/address="""
