Category,Section,Location,Match Bytes,Match Value,Label,Code Unit
Identity,nintendo,04338194,4e 49 4e 54 45 4e 44 4f,NINTENDO,,"ds ""1.2.11.f-NINTENDO-SDK-v1"""
Identity,nintendo,043e0afb,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""Battle_Nintendogs"""
Identity,nintendo,0437a1e0,6e 69 6e 74 65 6e 64 6f,nintendo,s_C:/c2/nintendo/NintendoSDK-NXAdd_0437a1da,"ds ""C:/c2/nintendo/NintendoSDK-NXAddon/NintendoSDK/../NintendoSDK-NEX/include\\OnlineCore/src/Core/InstanceTable.h"""
Identity,nintendo,0437a1e9,4e 69 6e 74 65 6e 64 6f,Nintendo,s_C:/c2/nintendo/NintendoSDK-NXAdd_0437a1da,"ds ""C:/c2/nintendo/NintendoSDK-NXAddon/NintendoSDK/../NintendoSDK-NEX/include\\OnlineCore/src/Core/InstanceTable.h"""
Identity,nintendo,0437a1fd,4e 69 6e 74 65 6e 64 6f,Nintendo,s_C:/c2/nintendo/NintendoSDK-NXAdd_0437a1da,"ds ""C:/c2/nintendo/NintendoSDK-NXAddon/NintendoSDK/../NintendoSDK-NEX/include\\OnlineCore/src/Core/InstanceTable.h"""
Identity,nintendo,0437a20c,4e 69 6e 74 65 6e 64 6f,Nintendo,s_C:/c2/nintendo/NintendoSDK-NXAdd_0437a1da,"ds ""C:/c2/nintendo/NintendoSDK-NXAddon/NintendoSDK/../NintendoSDK-NEX/include\\OnlineCore/src/Core/InstanceTable.h"""
Identity,nintendo,041c39a7,6e 69 6e 74 65 6e 64 6f,nintendo,,"ds ""C:/c2/nintendo/NintendoSDK-NXAddon/NintendoSDK/Libraries/NX-NXFP2-a64/Release//multimedia.nss"""
Identity,nintendo,041c39b0,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""C:/c2/nintendo/NintendoSDK-NXAddon/NintendoSDK/Libraries/NX-NXFP2-a64/Release//multimedia.nss"""
Identity,nintendo,041c39c4,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""C:/c2/nintendo/NintendoSDK-NXAddon/NintendoSDK/Libraries/NX-NXFP2-a64/Release//multimedia.nss"""
Identity,nintendo,04410a2f,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""D:\\home\\ead-p2p\\Env\\Lib\\NintendoSDK\\NintendoSDK-NEX\\NintendoSDK-NEX-for_NX-4_6_3-S820-20190417-ja\\NintendoSDK-NEX\\Include\\OnlineCore/src/Core/InstanceTable.h"""
Identity,nintendo,04410a3b,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""D:\\home\\ead-p2p\\Env\\Lib\\NintendoSDK\\NintendoSDK-NEX\\NintendoSDK-NEX-for_NX-4_6_3-S820-20190417-ja\\NintendoSDK-NEX\\Include\\OnlineCore/src/Core/InstanceTable.h"""
Identity,nintendo,04410a4b,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""D:\\home\\ead-p2p\\Env\\Lib\\NintendoSDK\\NintendoSDK-NEX\\NintendoSDK-NEX-for_NX-4_6_3-S820-20190417-ja\\NintendoSDK-NEX\\Include\\OnlineCore/src/Core/InstanceTable.h"""
