Location,Match Bytes,Match Value,Label,Code Unit
04430ead,41 75 74 68 65 6e 74 69 63 61 74 69 6f 6e,Authentication,,"ds ""Authentication problem. Ignoring this.\n"""
0437ade0,41 75 74 68 65 6e 74 69 63 61 74 69 6f 6e,Authentication,,"ds ""AuthenticationInfo"""
0449e40e,41 75 74 68 65 6e 74 69 63 61 74 69 6f 6e,Authentication,s_N2nn3nex13SharedCounterINS0_20Au_0449e3f0,"ds ""N2nn3nex13SharedCounterINS0_20AuthenticationClientES2_NS0_23SharedPtrDefaultDeleterIS2_EEEE"""
0449e631,41 75 74 68 65 6e 74 69 63 61 74 69 6f 6e,Authentication,,"ds ""N2nn3nex16CustomDataHolderINS0_18AuthenticationInfoEEE"""
0449e5fa,41 75 74 68 65 6e 74 69 63 61 74 69 6f 6e,Authentication,,"ds ""N2nn3nex18AuthenticationInfoE"""
0449defa,41 75 74 68 65 6e 74 69 63 61 74 69 6f 6e,Authentication,,"ds ""N2nn3nex20AuthenticationClientE"""
0449e72d,41 75 74 68 65 6e 74 69 63 61 74 69 6f 6e,Authentication,s_N2nn3nex20PseudoGlobalVariableIN_0449e700,"ds ""N2nn3nex20PseudoGlobalVariableINS0_37NintendoAuthenticationDDLDeclarationsEEE"""
0449dcf5,41 75 74 68 65 6e 74 69 63 61 74 69 6f 6e,Authentication,s_N2nn3nex20PseudoGlobalVariableIN_0449dcd0,"ds ""N2nn3nex20PseudoGlobalVariableINS0_39AuthenticationFoundationDDLDeclarationsEEE"""
0449e477,41 75 74 68 65 6e 74 69 63 61 74 69 6f 6e,Authentication,s_N2nn3nex22SharedCounterInterface_0449e450,"ds ""N2nn3nex22SharedCounterInterfaceINS0_20AuthenticationClientEEE"""
0449e69f,41 75 74 68 65 6e 74 69 63 61 74 69 6f 6e,Authentication,s_N2nn3nex23_DDL_AuthenticationInf_0449e690,"ds ""N2nn3nex23_DDL_AuthenticationInfoE"""
0449e6d2,41 75 74 68 65 6e 74 69 63 61 74 69 6f 6e,Authentication,,"ds ""N2nn3nex37NintendoAuthenticationDDLDeclarationsE"""
0449d62a,41 75 74 68 65 6e 74 69 63 61 74 69 6f 6e,Authentication,s_N2nn3nex39AuthenticationFoundati_0449d620,"ds ""N2nn3nex39AuthenticationFoundationDDLDeclarationsE"""
0449e3c9,41 75 74 68 65 6e 74 69 63 61 74 69 6f 6e,Authentication,s_N2nn3nex9SharedPtrINS0_20Authent_0449e3b0,"ds ""N2nn3nex9SharedPtrINS0_20AuthenticationClientEEE"""
0425d2f3,61 75 74 68 65 6e 74 69 63 61 74 69 6f 6e,authentication,,"ds ""No authentication method was acceptable. (It is quite likely that the SOCKS5 server wanted a username/password, since none was supplied to the server on this connection.)"""
0428fa0b,61 75 74 68 65 6e 74 69 63 61 74 69 6f 6e,authentication,,"ds ""No authentication method was acceptable."""
0426e0e6,61 75 74 68 65 6e 74 69 63 61 74 69 6f 6e,authentication,,"ds ""SOCKS5 GSSAPI per-message authentication is not supported."""
