Location,Match Bytes,Match Value,Label,Code Unit
0438a7f8,42 61 6e,Ban,,?? 42h    B
04463933,42 41 4e,BAN,,?? 42h    B
042e5910,62 61 6e,ban,,?? 62h    b
0436b328,42 41 4e,BAN,,"ds ""BANNER_CONVENTION"""
042f72e1,42 41 4e,BAN,,"ds ""BANNER_SPIRITS"""
0435a78b,42 41 4e,BAN,,"ds ""BANNER_TOURNAMENT"""
0424da4d,42 61 6e,Ban,,"ds ""BandwidthCheck"""
043beecd,42 41 4e,BAN,,"ds ""COLLISION_SOUND_ATTR_SHULK_FINAL_DANBAN"""
04339ec8,42 41 4e,BAN,,"ds ""DIDDY_ST_NO_BANANA"""
04391ecf,42 41 4e,BAN,,"ds ""FIGHTER_DIDDY_GENERATE_ARTICLE_ITEM_BANANA"""
04360dd3,42 41 4e,BAN,,"ds ""FIGHTER_DIDDY_STATUS_SPECIAL_LW_WORK_INT_BANANA_ID"""
042d16e9,42 41 4e,BAN,,"ds ""FIGHTER_LUCAS_STATUS_SPECIAL_N_WORK_INT_NOBANG_TIME"""
042d1ee1,42 41 4e,BAN,,"ds ""FIGHTER_MIIENEMYG_STATUS_SPECIAL_S3_WORK_INT_NO_BANG"""
042adbc8,42 41 4e,BAN,,"ds ""FIGHTER_MIIGUNNER_STATUS_STEALTH_BOMB_WORK_INT_NO_BANG"""
042fc5e2,42 41 4e,BAN,,"ds ""FIGHTER_NESS_STATUS_SPECIAL_N_WORK_INT_NOBANG_TIME"""
043b9940,42 41 4e,BAN,,"ds ""FIGHTER_SHULK_GENERATE_ARTICLE_DUNBAN"""
04302d88,42 41 4e,BAN,,"ds ""FIGHTER_ZELDA_STATUS_SPECIAL_S_WORK_INT_NO_BANG"""
04433c24,42 41 4e,BAN,,"ds ""FLAG_IMMEDIATE_RELANDING_BAN"""
0439eb51,42 41 4e,BAN,,"ds ""ITEM_BANANA_ACTION_BANANAGUN_THROW"""
0439eb5f,42 41 4e,BAN,,"ds ""ITEM_BANANA_ACTION_BANANAGUN_THROW"""
04309de3,42 41 4e,BAN,,"ds ""ITEM_BANANA_ACTION_SPECIAL_THROW"""
0435d1bb,42 41 4e,BAN,,"ds ""ITEM_BANANA_ACTION_TERM"""
0439958d,42 41 4e,BAN,,"ds ""ITEM_BANANA_INSTANCE_WORK_FLAG_DIDDY_SPECIAL_THROW"""
04461d3b,42 41 4e,BAN,,"ds ""ITEM_BANANA_INSTANCE_WORK_FLAG_HAVED"""
042f409c,42 41 4e,BAN,,"ds ""ITEM_BANANA_INSTANCE_WORK_FLAG_SLIP"""
0435caa5,42 41 4e,BAN,,"ds ""ITEM_KIND_BANANA"""
0440294d,42 41 4e,BAN,,"ds ""ITEM_KIND_BANANAGUN"""
043097b1,42 41 4e,BAN,,"ds ""ITEM_KIND_BANANAGUNSHOT"""
044029e9,42 41 4e,BAN,,"ds ""ITEM_KIND_BANANAGUN_EMPTY"""
0432b61b,42 41 4e,BAN,,"ds ""ITEM_KIND_FOR_DUET_BANANA"""
042e8abb,42 41 4e,BAN,,"ds ""ITEM_KIND_FOR_DUET_BANANAGUN"""
0437d9e0,42 41 4e,BAN,,"ds ""ITEM_KIND_FOR_DUET_BANANAGUNSHOT"""
042b0180,42 41 4e,BAN,,"ds ""ITEM_VARIATION_ST_FRUIT_BANANA"""
04499b9a,42 61 6e,Ban,,"ds ""N2nn3nex16BandwidthCounterE"""
04499bba,42 61 6e,Ban,,"ds ""N2nn3nex19BandwidthCounterMapE"""
04499e97,42 61 6e,Ban,,"ds ""N2nn3nex6qChainIPNS0_16BandwidthCounterENS0_18DefaultChainPolicyIS3_EEEE"""
04497424,42 61 6e,Ban,,"ds ""N2nn3pia9transport22BandwidthCheckProtocol6HeaderE"""
04497464,42 61 6e,Ban,,"ds ""N2nn3pia9transport22BandwidthCheckProtocolE"""
042d458f,42 61 6e,Ban,,"ds ""NexJoinMeshJob::StartBandwidthCheck"""
0426e387,42 61 6e,Ban,,"ds ""NexJoinMeshJob::WaitBandwidthCheck"""
042d6c8e,42 41 4e,BAN,,"ds ""PH2NDARY_WEAPON_TYPE_BAND"""
0434774d,62 61 6e,ban,,"ds ""Pokemon_Fushigibana"""
0432a59a,42 41 4e,BAN,,"ds ""WEAPON_KIND_SHULK_DUNBAN"""
0427bdb4,42 41 4e,BAN,,"ds ""WEAPON_LUCAS_PK_FREEZE_STATUS_KIND_BANG"""
043a8edb,42 41 4e,BAN,,"ds ""WEAPON_LUCAS_PK_FREEZE_STATUS_KIND_NO_BANG"""
0437652f,42 41 4e,BAN,,"ds ""WEAPON_MIIGUNNER_STEALTHBOMB_S_STATUS_KIND_BANG"""
0435f9b3,42 41 4e,BAN,,"ds ""WEAPON_NESS_PK_FLASH_STATUS_KIND_BANG"""
044585ca,42 41 4e,BAN,,"ds ""WEAPON_NESS_PK_FLASH_STATUS_KIND_NO_BANG"""
042dd6e1,42 41 4e,BAN,,"ds ""WEAPON_ROCKMAN_BLACKHOLE_STATUS_WORK_INT_NO_BANG"""
0425a584,42 41 4e,BAN,,"ds ""WEAPON_SHULK_DUNBAN_INSTANCE_WORK_ID_FLAG_START"""
042af1b1,42 41 4e,BAN,,"ds ""WEAPON_SHULK_DUNBAN_INSTANCE_WORK_ID_FLAG_TERM"""
0440d7fa,42 41 4e,BAN,,"ds ""WEAPON_SHULK_DUNBAN_INSTANCE_WORK_ID_FLOAT_START"""
043ebe06,42 41 4e,BAN,,"ds ""WEAPON_SHULK_DUNBAN_INSTANCE_WORK_ID_FLOAT_TERM"""
043987a6,42 41 4e,BAN,,"ds ""WEAPON_SHULK_DUNBAN_INSTANCE_WORK_ID_INT_START"""
042f2ef6,42 41 4e,BAN,,"ds ""WEAPON_SHULK_DUNBAN_INSTANCE_WORK_ID_INT_TERM"""
0440d82b,42 41 4e,BAN,,"ds ""WEAPON_SHULK_DUNBAN_STATUS_KIND_ATTACK"""
0427bb90,42 41 4e,BAN,,"ds ""WEAPON_SHULK_DUNBAN_STATUS_KIND_ENTRY"""
042e23a0,42 41 4e,BAN,,"ds ""WEAPON_SHULK_DUNBAN_STATUS_KIND_NONE"""
0444f7e2,42 41 4e,BAN,,"ds ""WEAPON_SHULK_DUNBAN_STATUS_KIND_NUM"""
04366709,42 41 4e,BAN,,"ds ""WEAPON_ZELDA_DEIN_S_STATUS_KIND_BANG"""
0441f352,62 61 6e,ban,,"ds ""_Monban_wait"""
041ed98f,62 61 6e,ban,,"ds ""_ZN3app11FighterUtil36set_parent_external_stat_bank_handleERNS_26BattleObjectModuleAccessorE"""
04316c73,62 61 6e,ban,,"ds ""__band"""
04348a1f,62 61 6e,ban,,"ds ""banana"""
044531d5,62 61 6e,ban,,"ds ""bananagun"""
043176bc,62 61 6e,ban,,"ds ""bananagunshot"""
04440cdb,62 61 6e,ban,,"ds ""bandman_b"""
042b14c5,62 61 6e,ban,,"ds ""bandman_d"""
0427dd43,62 61 6e,ban,,"ds ""bandman_g"""
043cc7cf,62 61 6e,ban,,"ds ""bandman_t"""
0426f020,62 61 6e,ban,,"ds ""bg_banner_allbattle_unreversal"""
042a20d6,62 61 6e,ban,,"ds ""bg_banner_battle_max_num"""
043ac7ed,62 61 6e,ban,s_bg_banner_charge_final_043ac7ea,"ds ""bg_banner_charge_final"""
0436b3eb,62 61 6e,ban,,"ds ""bg_banner_cp_level"""
04317ef4,62 61 6e,ban,,"ds ""bg_banner_damage_disp"""
0425e41d,62 61 6e,ban,,"ds ""bg_banner_def_reaction"""
042c3e47,62 61 6e,ban,,"ds ""bg_banner_drop_bomb"""
0435a81e,62 61 6e,ban,,"ds ""bg_banner_handicap_boost"""
042c3e2d,62 61 6e,ban,,"ds ""bg_banner_handicap_damage"""
043ce4c2,62 61 6e,ban,,"ds ""bg_banner_hp_mode"""
04432101,62 61 6e,ban,,"ds ""bg_banner_item_switch"""
0432901b,62 61 6e,ban,,"ds ""bg_banner_pause"""
042a20bd,62 61 6e,ban,,"ds ""bg_banner_recovery_value"""
04453ae0,62 61 6e,ban,,"ds ""bg_banner_rule_detail"""
04442738,62 61 6e,ban,,"ds ""bg_banner_rule_hp"""
042f73a7,62 61 6e,ban,,"ds ""bg_banner_rule_stock"""
04317ee0,62 61 6e,ban,,"ds ""bg_banner_rule_time"""
0426f03f,62 61 6e,ban,,"ds ""bg_banner_scaledown_stage"""
0439c48f,62 61 6e,ban,,"ds ""bg_banner_score_disp"""
