Location,Match Bytes,Match Value,Label,Code Unit
0438a7f8,42 61 6e 64,Band,,?? 42h    B
0424da4d,42 61 6e 64,Band,,"ds ""BandwidthCheck"""
04499b9a,42 61 6e 64,Band,,"ds ""N2nn3nex16BandwidthCounterE"""
04499bba,42 61 6e 64,Band,,"ds ""N2nn3nex19BandwidthCounterMapE"""
04499e97,42 61 6e 64,Band,,"ds ""N2nn3nex6qChainIPNS0_16BandwidthCounterENS0_18DefaultChainPolicyIS3_EEEE"""
04497424,42 61 6e 64,Band,,"ds ""N2nn3pia9transport22BandwidthCheckProtocol6HeaderE"""
04497464,42 61 6e 64,Band,,"ds ""N2nn3pia9transport22BandwidthCheckProtocolE"""
042d458f,42 61 6e 64,Band,,"ds ""NexJoinMeshJob::StartBandwidthCheck"""
0426e387,42 61 6e 64,Band,,"ds ""NexJoinMeshJob::WaitBandwidthCheck"""
042d6c8e,42 41 4e 44,BAND,,"ds ""PH2NDARY_WEAPON_TYPE_BAND"""
04316c73,62 61 6e 64,band,,"ds ""__band"""
04440cdb,62 61 6e 64,band,,"ds ""bandman_b"""
042b14c5,62 61 6e 64,band,,"ds ""bandman_d"""
0427dd43,62 61 6e 64,band,,"ds ""bandman_g"""
043cc7cf,62 61 6e 64,band,,"ds ""bandman_t"""
04307bdb,62 61 6e 64,band,,"ds ""header_band"""
0424e817,62 61 6e 64,band,,"ds ""set_band_color_00"""
0443244f,62 61 6e 64,band,,"ds ""set_band_color_01"""
042e6517,62 61 6e 64,band,,"ds ""set_pic_band_champion_00"""
04339433,62 61 6e 64,band,,"ds ""set_pic_band_champion_01"""
042f75bc,62 61 6e 64,band,,"ds ""set_pic_band_champion_02"""
043bd911,62 61 6e 64,band,,"ds ""set_pic_band_champion_03"""
04432421,62 61 6e 64,band,,"ds ""set_pic_band_champion_04"""
0443243a,62 61 6e 64,band,,"ds ""set_pic_band_champion_05"""
042f7594,62 61 6e 64,band,,"ds ""set_pic_band_champion_06"""
042c40ce,62 61 6e 64,band,,"ds ""set_pic_band_champion_07"""
042e6530,62 61 6e 64,band,,"ds ""set_pic_band_champion_08"""
042f75d5,62 61 6e 64,band,,"ds ""set_pic_band_champion_09"""
04454450,62 61 6e 64,band,,"ds ""set_pos_limit_band"""
0428044d,62 61 6e 64,band,,"ds ""set_size_limitband_00"""
0437bec9,62 61 6e 64,band,,"ds ""set_size_limitband_01"""
