Location,Match Bytes,Match Value,Label,Code Unit
0425c566,42 6c 6f 63 6b,Block,,?? 42h    B
0428e964,42 6c 6f 63 6b,Block,,?? 42h    B
042a0327,42 6c 6f 63 6b,Block,,?? 42h    B
042a0330,42 6c 6f 63 6b,Block,,?? 42h    B
042b1303,42 6c 6f 63 6b,Block,,?? 42h    B
042b130b,42 6c 6f 63 6b,Block,,?? 42h    B
042e4346,42 6c 6f 63 6b,Block,,?? 42h    B
042f4f6c,42 6c 6f 63 6b,Block,,?? 42h    B
04316161,42 6c 6f 63 6b,Block,,?? 42h    B
04316169,42 6c 6f 63 6b,Block,,?? 42h    B
043271fe,42 6c 6f 63 6b,Block,,?? 42h    B
04327207,42 6c 6f 63 6b,Block,,?? 42h    B
04337408,42 6c 6f 63 6b,Block,,?? 42h    B
04358625,42 6c 6f 63 6b,Block,,?? 42h    B
043696d5,42 6c 6f 63 6b,Block,,?? 42h    B
04389dd4,42 6c 6f 63 6b,Block,,?? 42h    B
043edc69,42 6c 6f 63 6b,Block,,?? 42h    B
04430282,42 6c 6f 63 6b,Block,,?? 42h    B
04440c5a,42 6c 6f 63 6b,Block,,?? 42h    B
04451a9b,42 6c 6f 63 6b,Block,,?? 42h    B
042f4fc8,42 6c 6f 63 6b,Block,,"ds ""00_Ground03_ColorBlockMixR"""
0428ea42,42 6c 6f 63 6b,Block,,"ds ""Block"""
043fe53c,42 6c 6f 63 6b,Block,,"ds ""BlockN10"""
0437988c,42 6c 6f 63 6b,Block,,"ds ""BlockN12"""
043bb7e8,42 6c 6f 63 6b,Block,,"ds ""BlockN13"""
04462d36,42 6c 6f 63 6b,Block,,"ds ""BlockN14"""
04389ddd,42 6c 6f 63 6b,Block,,"ds ""BlockN16"""
0426d0a9,42 6c 6f 63 6b,Block,,"ds ""BlockN18"""
042f4f74,42 6c 6f 63 6b,Block,s_BlockN20_042f4f74,"ds ""BlockN20"""
042c1eec,42 6c 6f 63 6b,Block,,"ds ""BlockN24"""
0441f59f,42 6c 6f 63 6b,Block,,"ds ""BlockN28"""
042c1ee4,42 6c 6f 63 6b,Block,s_BlockN6_042c1ee4,"ds ""BlockN6"""
04270686,42 4c 4f 43 4b,BLOCK,,"ds ""CAMERA_QUAKE_KIND_POW_BLOCK"""
042a042b,42 6c 6f 63 6b,Block,,"ds ""ChikuwaBlock%dN"""
0441397d,42 4c 4f 43 4b,BLOCK,,"ds ""FIGHTER_INSTANCE_WORK_ID_FLAG_POWBLOCK_QUAKE"""
044232fa,42 4c 4f 43 4b,BLOCK,,"ds ""FIGHTER_INSTANCE_WORK_ID_FLAG_POWBLOCK_QUAKE_JUMP"""
043dac14,42 4c 4f 43 4b,BLOCK,,"ds ""FIGHTER_MARIOD_GENERATE_ARTICLE_CAPSULEBLOCK"""
0428a44a,42 4c 4f 43 4b,BLOCK,,"ds ""FIGHTER_PICKEL_INSTANCE_WORK_ID_FLOAT_GENERATE_BLOCK_POS_X"""
043960ba,42 4c 4f 43 4b,BLOCK,,"ds ""FIGHTER_PICKEL_INSTANCE_WORK_ID_FLOAT_GENERATE_BLOCK_POS_Y"""
042b7029,42 4c 4f 43 4b,BLOCK,,"ds ""FIGHTER_STATUS_JUMP_FLAG_POWBLOCK_QUAKE_JUMP"""
042df855,42 4c 4f 43 4b,BLOCK,,"ds ""FIGHTER_TANTAN_INSTANCE_WORK_ID_FLAG_ATTACK_BLOCKED_PUNCH_L"""
0443bd55,42 4c 4f 43 4b,BLOCK,,"ds ""FIGHTER_TANTAN_INSTANCE_WORK_ID_FLAG_ATTACK_BLOCKED_PUNCH_R"""
04395d26,42 4c 4f 43 4b,BLOCK,,"ds ""FIGHTER_TANTAN_KIRBY_STATUS_SPECIAL_N_FLAG_ATTACK_BLOCKED"""
0432288a,42 4c 4f 43 4b,BLOCK,,"ds ""FIGHTER_TANTAN_STATUS_SPECIAL_HI_FLAG_IS_BLOCKED"""
042d70af,42 4c 4f 43 4b,BLOCK,,"ds ""FLAG_PICKEL_BLOCK"""
04455258,42 4c 4f 43 4b,BLOCK,,"ds ""GIMMICK_AREA_KIND_BLOCK"""
0425faf3,42 4c 4f 43 4b,BLOCK,,"ds ""GIMMICK_AREA_KIND_TRIGGER_BLOCK"""
0435a3a8,42 4c 4f 43 4b,BLOCK,,"ds ""INPUT_MY_MUSIC_INCIDENCE_BLOCK_DOWN"""
0439c1e1,42 4c 4f 43 4b,BLOCK,,"ds ""INPUT_MY_MUSIC_INCIDENCE_BLOCK_UP"""
042e8a87,42 4c 4f 43 4b,BLOCK,,"ds ""ITEM_KIND_FOR_DUET_METALBLOCK"""
042d7ab6,42 4c 4f 43 4b,BLOCK,,"ds ""ITEM_KIND_FOR_DUET_POWBLOCK"""
0435ca86,42 4c 4f 43 4b,BLOCK,,"ds ""ITEM_KIND_METALBLOCK"""
0437d7f8,42 4c 4f 43 4b,BLOCK,,"ds ""ITEM_KIND_POWBLOCK"""
04315130,42 4c 4f 43 4b,BLOCK,,"ds ""ITEM_POWBLOCK_INSTANCE_WORK_INT_ATTACK_OBJECT_ID"""
043ece2e,42 4c 4f 43 4b,BLOCK,,"ds ""ITEM_POWBLOCK_STATUS_KIND_BOUNCE"""
04450a4a,42 4c 4f 43 4b,BLOCK,,"ds ""ITEM_POWBLOCK_STATUS_KIND_EFFECT_MOTION"""
04349f8d,42 4c 4f 43 4b,BLOCK,,"ds ""KIRBY_PICKEL_ST_SP_N_BLOCK"""
042c203b,42 6c 6f 63 6b,Block,,"ds ""Misc_PinkBlock"""
04494df3,42 6c 6f 63 6b,Block,s_N2nn3nex23MatchmakeBlockListPara_04494de0,"ds ""N2nn3nex23MatchmakeBlockListParamE"""
04494e28,42 6c 6f 63 6b,Block,s_N2nn3nex28_DDL_MatchmakeBlockLis_04494e10,"ds ""N2nn3nex28_DDL_MatchmakeBlockListParamE"""
04493b34,42 6c 6f 63 6b,Block,,"ds ""N2nn3pia6common21ShaBlock512BitContextE"""
0439d180,42 4c 4f 43 4b,BLOCK,,"ds ""PICKEL_ST_ON_SP_N_BLOCK"""
043cf100,42 4c 4f 43 4b,BLOCK,,"ds ""PICKEL_ST_SP_N_BLOCK"""
