Location,Match Bytes,Match Value,Label,Code Unit
04307604,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""chara_select_btn3_05_ready_00"""
04411b28,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""g_is_chara_select_back"""
0426eb07,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_allbattle_match_final"""
042d4d60,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_allbattle_remaining"""
04338d00,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_anyone_double"""
0427f59d,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_anyone_single"""
04328b1e,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_campaign"""
043479a0,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_campaign_medal_n"""
0438b425,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_challengeboard"""
0426eb4b,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_challenger"""
043fff3c,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_convention"""
04317a5b,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_fp_lv_n"""
043187fe,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_hc_percent"""
0444307f,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_help_press_any_btn"""
0435b135,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_help_press_any_side_btn"""
0438b407,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_high_score_n"""
044113f8,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_high_score_none"""
042e5c3b,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_homerun_coop"""
042c38e5,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_homerun_everyone"""
042e5bf1,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_homerun_high_score_n"""
04431b41,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_homerun_single"""
04421c8e,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_hp"""
042d4ceb,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_key_%s_%02d"""
0436ad6e,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_key_input"""
04431ae4,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_key_ok"""
04348de8,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_key_random_nam"""
04431aba,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_key_shift_%s"""
0436ad53,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_key_space"""
04453553,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_key_switching_%s"""
0439a939,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_kumite_allstar"""
04411419,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_kumite_clear_time"""
042b18cd,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_kumite_cruel_brawl"""
0445358d,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_kumite_defeated_score"""
04337a0b,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_kumite_hundred"""
04348e2a,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_local_check_rule"""
043deb82,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_local_sele_fighter"""
04338c6e,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_local_sele_stage"""
0427f53c,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_local_setting"""
042b2e8b,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_lv_n"""
04338cb5,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_melee_normal"""
043cdffb,63 68 61 72 61 5f 73 65 6c 65 63 74,chara_select,,"ds ""mel_chara_select_melee_team"""
