Location,Match Bytes,Match Value,Label,Code Unit
04496021,43 6f 6e 6e 65 63 74,Connect,,?? 43h    C
044988e5,43 6f 6e 6e 65 63 74,Connect,,?? 43h    C
044991cf,43 6f 6e 6e 65 63 74,Connect,,?? 43h    C
0449bfea,43 6f 6e 6e 65 63 74,Connect,,?? 43h    C
0449e1f0,43 6f 6e 6e 65 63 74,Connect,,?? 43h    C
0449e21d,43 6f 6e 6e 65 63 74,Connect,,?? 43h    C
04442ae9,63 6f 6e 6e 65 63 74,connect,,"ds ""%s_is_connected"""
043488ed,43 6f 6e 6e 65 63 74,Connect,,"ds ""(IsConnecting() && !Core::GetInstance()->GetTerminateImmediately())"""
043eef82,63 6f 6e 6e 65 63 74,connect,,"ds ""(IsDisconnecting() && !Core::GetInstance()->GetTerminateImmediately())"""
042d4155,63 6f 6e 6e 65 63 74,connect,,"ds ""After %ldms connect time, move on!\n"""
043de6d1,43 6f 6e 6e 65 63 74,Connect,,"ds ""BerkeleySocketDriver Connect Thread"""
042d416d,43 4f 4e 4e 45 43 54,CONNECT,,"ds ""CONNECT %s HTTP/%s\r\n%s%s%s%s"""
0426df60,43 4f 4e 4e 45 43 54,CONNECT,,"ds ""CONNECT phase completed!\n"""
04327e2c,43 4f 4e 4e 45 43 54,CONNECT,,"ds ""CONNECT responded chunked\n"""
044528c6,43 4f 4e 4e 45 43 54,CONNECT,,"ds ""CONNECT response too large!"""
04348171,43 4f 4e 4e 45 43 54,CONNECT,,"ds ""CONNECT"""
0434812b,43 4f 4e 4e 45 43 54,CONNECT,,"ds ""CONNECT_ONLY is required!"""
0428f9db,63 6f 6e 6e 65 63 74,connect,,"ds ""Can't complete SOCKS4 connection to %d.%d.%d.%d:%d. (%d), Unknown."""
042f5b80,63 6f 6e 6e 65 63 74,connect,,"ds ""Can't complete SOCKS4 connection to %d.%d.%d.%d:%d. (%d), request rejected because SOCKS server cannot connect to identd on the client."""
042f5bd1,63 6f 6e 6e 65 63 74,connect,,"ds ""Can't complete SOCKS4 connection to %d.%d.%d.%d:%d. (%d), request rejected because SOCKS server cannot connect to identd on the client."""
042e50b6,63 6f 6e 6e 65 63 74,connect,,"ds ""Can't complete SOCKS4 connection to %d.%d.%d.%d:%d. (%d), request rejected because the client program and identd report different user-ids."""
043ee80a,63 6f 6e 6e 65 63 74,connect,,"ds ""Can't complete SOCKS4 connection to %d.%d.%d.%d:%d. (%d), request rejected or failed."""
043ab76d,63 6f 6e 6e 65 63 74,connect,,"ds ""Can't complete SOCKS5 connection to %02x%02x:%02x%02x:%02x%02x:%02x%02x:%02x%02x:%02x%02x:%02x%02x:%02x%02x:%d. (%d)"""
04452ab7,63 6f 6e 6e 65 63 74,connect,,"ds ""Can't complete SOCKS5 connection to %d.%d.%d.%d:%d. (%d)"""
0438aa73,63 6f 6e 6e 65 63 74,connect,,"ds ""Can't complete SOCKS5 connection to %s:%d. (%d)"""
042f5b50,63 6f 6e 6e 65 63 74,connect,,"ds ""Closing connection %ld\n"""
042d41bc,43 6f 6e 6e 65 63 74,Connect,,"ds ""Connect me again please\n"""
0436a66b,43 6f 6e 6e 65 63 74,Connect,,"ds ""ConnectStationJob::ConnectionFailed"""
0436a67e,43 6f 6e 6e 65 63 74,Connect,,"ds ""ConnectStationJob::ConnectionFailed"""
042c335f,43 6f 6e 6e 65 63 74,Connect,s_ConnectStationJob::ConnectionSuc_042c335f,"ds ""ConnectStationJob::ConnectionSucceeded"""
042c3372,43 6f 6e 6e 65 63 74,Connect,s_ConnectStationJob::ConnectionSuc_042c335f,"ds ""ConnectStationJob::ConnectionSucceeded"""
043de2b3,43 6f 6e 6e 65 63 74,Connect,,"ds ""ConnectStationJob::SendConnectionRequest"""
043de2ca,43 6f 6e 6e 65 63 74,Connect,,"ds ""ConnectStationJob::SendConnectionRequest"""
042b284b,43 6f 6e 6e 65 63 74,Connect,,"ds ""ConnectStationJob::SendRelayConnectionRequest"""
042b2867,43 6f 6e 6e 65 63 74,Connect,,"ds ""ConnectStationJob::SendRelayConnectionRequest"""
043bcb1f,43 6f 6e 6e 65 63 74,Connect,,"ds ""ConnectStationJob::WaitForConnection"""
043bcb39,43 6f 6e 6e 65 63 74,Connect,,"ds ""ConnectStationJob::WaitForConnection"""
043abcc4,43 6f 6e 6e 65 63 74,Connect,,"ds ""ConnectStationJob::WaitRequestAck"""
0428f92a,43 6f 6e 6e 65 63 74,Connect,,"ds ""Connected to %s (%s) port %ld (#%ld)\n"""
043ee7d8,43 6f 6e 6e 65 63 74,Connect,,"ds ""Connecting to hostname: %s\n"""
043de07a,43 6f 6e 6e 65 63 74,Connect,,"ds ""Connecting to port: %d\n"""
043482a9,43 6f 6e 6e 65 63 74,Connect,,"ds ""Connection #%ld is still name resolving, can't reuse\n"""
0427e950,43 6f 6e 6e 65 63 74,Connect,,"ds ""Connection #%ld isn't open enough, can't reuse\n"""
04452884,43 6f 6e 6e 65 63 74,Connect,,"ds ""Connection #%ld to host %s left intact\n"""
043bc4a8,43 6f 6e 6e 65 63 74,Connect,,"ds ""Connection %ld seems to be dead!\n"""
0438a842,43 6f 6e 6e 65 63 74,Connect,,"ds ""Connection cache is full, closing the oldest one.\n"""
0424d535,43 6f 6e 6e 65 63 74,Connect,,"ds ""Connection died, retrying a fresh connect\n"""
0424d557,63 6f 6e 6e 65 63 74,connect,,"ds ""Connection died, retrying a fresh connect\n"""
0436a1cc,43 6f 6e 6e 65 63 74,Connect,,"ds ""Connection failed\n"""
043cd324,43 6f 6e 6e 65 63 74,Connect,,"ds ""Connection time-out"""
0424d494,43 6f 6e 6e 65 63 74,Connect,,"ds ""Connection timed out after %ld milliseconds"""
043bc439,43 6f 6e 6e 65 63 74,Connect,,"ds ""Connection"""
04316d82,43 6f 6e 6e 65 63 74,Connect,,"ds ""Connection: TE\r\nTE: gzip\r\n"""
04441cf3,43 6f 6e 6e 65 63 74,Connect,,"ds ""Connection: Upgrade"""
04316d76,43 6f 6e 6e 65 63 74,Connect,s_Connection:_04316d76,"ds ""Connection:"""
04410f1e,43 6f 6e 6e 65 63 74,Connect,,"ds ""ConnectionEncoding"""
042a1621,43 6f 6e 6e 65 63 74,Connect,,"ds ""ConnectionManager"""
0425d620,43 6f 6e 6e 65 63 74,Connect,,"ds ""ConnectionStripeSystem is already initialized.\n"""
042c3499,43 6f 6e 6e 65 63 74,Connect,,"ds ""CurlHttpConnection Thread"""
0429013a,63 6f 6e 6e 65 63 74,connect,,"ds ""DisconnectStationJob::CutRouteOfRelayConnection"""
0429015c,43 6f 6e 6e 65 63 74,Connect,,"ds ""DisconnectStationJob::CutRouteOfRelayConnection"""
0436a946,63 6f 6e 6e 65 63 74,connect,,"ds ""DisconnectStationJob::DisconnectionSucceeded"""
0436a95c,63 6f 6e 6e 65 63 74,connect,,"ds ""DisconnectStationJob::DisconnectionSucceeded"""
0436a917,63 6f 6e 6e 65 63 74,connect,,"ds ""DisconnectStationJob::SendDisconnectionRequest"""
0436a931,63 6f 6e 6e 65 63 74,connect,,"ds ""DisconnectStationJob::SendDisconnectionRequest"""
043ff956,63 6f 6e 6e 65 63 74,connect,,"ds ""DisconnectStationJob::WaitForDisconnection"""
043ff973,63 6f 6e 6e 65 63 74,connect,,"ds ""DisconnectStationJob::WaitForDisconnection"""
0443a67e,43 4f 4e 4e 45 43 54,CONNECT,,"ds ""FIGHTER_BAYONETTA_STATUS_ATTACK_AIR_F_FLAG_CONNECT_COMBO"""
04447645,43 4f 4e 4e 45 43 54,CONNECT,,"ds ""FIGHTER_LUIGI_INSTANCE_WORK_ID_INT_OBAKYUMU_CONNECTOR_OBJECT_ID"""
042a54de,43 4f 4e 4e 45 43 54,CONNECT,,"ds ""FIGHTER_STATUS_ATTACK_FLAG_CONNECT_COMBO"""
0430ac80,43 4f 4e 4e 45 43 54,CONNECT,,"ds ""FIGHTER_STATUS_HAMMER_INT_DISCONNECT_FRAME"""
042f11a8,43 4f 4e 4e 45 43 54,CONNECT,,"ds ""FIGHTER_TRAIL_STATUS_ATTACK_AIR_F_FLAG_CONNECT_COMBO"""
043d939b,43 4f 4e 4e 45 43 54,CONNECT,,"ds ""FIGHTER_TRAIL_STATUS_ATTACK_AIR_N_FLAG_CONNECT_COMBO"""
04348188,43 4f 4e 4e 45 43 54,CONNECT,,"ds ""Failed sending CONNECT to proxy"""
0434814f,63 6f 6e 6e 65 63 74,connect,,"ds ""Failed to connect to %s port %ld: %s"""
0428f995,63 6f 6e 6e 65 63 74,connect,,"ds ""Failed to receive SOCKS4 connect request ack."""
042c2d2c,63 6f 6e 6e 65 63 74,connect,,"ds ""Failed to receive SOCKS5 connect request ack."""
0426e0c3,63 6f 6e 6e 65 63 74,connect,,"ds ""Failed to resolve \""%s\"" for SOCKS4 connect."""
04452a71,63 6f 6e 6e 65 63 74,connect,,"ds ""Failed to resolve \""%s\"" for SOCKS5 connect."""
043cd448,63 6f 6e 6e 65 63 74,connect,,"ds ""Failed to send SOCKS4 connect request."""
04452a90,63 6f 6e 6e 65 63 74,connect,,"ds ""Failed to send SOCKS5 connect request."""
043381d2,63 6f 6e 6e 65 63 74,connect,,"ds ""Found connection %ld, with requests in the pipe (%zu)\n"""
0424db8a,43 6f 6e 6e 65 63 74,Connect,,"ds ""GET %s HTTP/1.1\r\nHost: %s\r\nUpgrade: websocket\r\nConnection: upgrade\r\nSec-WebSocket-Key: %s\r\nSec-WebSocket-Version: 13\r\nSec-WebSocket-Protocol: %s\r\n\r\n"""
04452923,63 6f 6e 6e 65 63 74,connect,,"ds ""HTTP/1.0 connection set to keep alive!\n"""
043cd3b4,63 6f 6e 6e 65 63 74,connect,,"ds ""HTTP/1.0 proxy connection set to keep alive!\n"""
043481b7,63 6f 6e 6e 65 63 74,connect,,"ds ""HTTP/1.1 proxy connection set close!\n"""
042d41a5,43 4f 4e 4e 45 43 54,CONNECT,,"ds ""Ignoring Content-Length in CONNECT %03d response\n"""
043ee6fb,43 4f 4e 4e 45 43 54,CONNECT,,"ds ""Ignoring Transfer-Encoding in CONNECT %03d response\n"""
0438a829,63 6f 6e 6e 65 63 74,connect,,"ds ""Immediate connect fail for %s: %s\n"""
043abd4b,43 6f 6e 6e 65 63 74,Connect,,"ds ""IsConnecting()"""
043ffa18,63 6f 6e 6e 65 63 74,connect,,"ds ""IsDisconnecting()"""
04410f4c,43 6f 6e 6e 65 63 74,Connect,,"ds ""JobConnectEndPoint"""
044315d2,43 6f 6e 6e 65 63 74,Connect,,"ds ""JoinMeshJob::StartConnectingToHost"""
042a155d,63 6f 6e 6e 65 63 74,connect,,"ds ""JoinMeshJob::StartDisconnectStations"""
042c339a,43 6f 6e 6e 65 63 74,Connect,,"ds ""JoinMeshJob::WaitAllConnection"""
0429017b,63 6f 6e 6e 65 63 74,connect,,"ds ""JoinMeshJob::WaitDisconnectStations"""
0439b8d2,43 6f 6e 6e 65 63 74,Connect,,"ds ""JoinMeshJob::WaitUntilConnectToHost"""
043bc982,43 6f 6e 6e 65 63 74,Connect,,"ds ""LanConnectStationJob::TryCurrentAddress"""
0426e52c,63 6f 6e 6e 65 63 74,connect,,"ds ""LanProcessHostMigrationJob::LanCheckOldHostDisconnection"""
04441b8e,63 6f 6e 6e 65 63 74,connect,,"ds ""LanProcessHostMigrationJob::LanWaitCheckOldHostDisconnection"""
043de5c9,43 6f 6e 6e 65 63 74,Connect,,"ds ""LdnBackgroundProcessJob::ConnectNetworkPrivate"""
04410e1e,43 6f 6e 6e 65 63 74,Connect,,"ds ""LdnBackgroundProcessJob::WaitConnectNetworkEvent"""
04410df7,63 6f 6e 6e 65 63 74,connect,,"ds ""LdnBackgroundProcessJob::WaitDisconnected"""
043ff8e6,43 6f 6e 6e 65 63 74,Connect,,"ds ""LdnHostMigrationJob::ConnectNetwork"""
042a1496,43 6f 6e 6e 65 63 74,Connect,,"ds ""LdnHostMigrationJob::WaitConnectNetwork"""
042901a1,63 6f 6e 6e 65 63 74,connect,,"ds ""LeaveMeshJob::StartDisconnectStations"""
043285c5,63 6f 6e 6e 65 63 74,connect,,"ds ""LeaveWithHostMigrationJob::StartDisconnectStations"""
042d4824,63 6f 6e 6e 65 63 74,connect,,"ds ""LeaveWithHostMigrationJob::WaitDisconnectStations"""
04441c80,43 6f 6e 6e 65 63 74,Connect,,"ds ""LocalBackgroundProcessJob::ConnectNetwork"""
0425d8a2,63 6f 6e 6e 65 63 74,connect,,"ds ""LocalBackgroundProcessJob::DisconnectNetwork"""
04410e37,43 6f 6e 6e 65 63 74,Connect,,"ds ""LocalConnectNetworkJob::ProcessSucceeded"""
043cd975,43 6f 6e 6e 65 63 74,Connect,,"ds ""LocalConnectNetworkJob::WaitConnectNetwork"""
043cd98c,43 6f 6e 6e 65 63 74,Connect,,"ds ""LocalConnectNetworkJob::WaitConnectNetwork"""
0424dae0,43 6f 6e 6e 65 63 74,Connect,,"ds ""LocalConnectNetworkJob::WaitForCancel"""
0429012c,63 6f 6e 6e 65 63 74,connect,,"ds ""LocalDestroyNetworkJob::WaitUntilAllClientsDisconnection"""
04452fb3,63 6f 6e 6e 65 63 74,connect,,"ds ""LocalDisconnectNetworkJob::TryPrepareDisconnectNetwork"""
