Location,Match Bytes,Match Value,Label,Code Unit
041f8045,64 65 66 65 61 74,defeat,,"ds ""_ZN3app12boss_private25send_event_on_boss_defeatEP9lua_State"""
0423b97a,64 65 66 65 61 74,defeat,,"ds ""_ZN3app8lua_bind39BossManager__notify_on_boss_defeat_implEPNS_11BossManagerENS_11FighterKindE"""
0439bc0c,64 65 66 65 61 74,defeat,,"ds ""boss_defeat_crazyhand"""
04338a54,64 65 66 65 61 74,defeat,,"ds ""boss_defeat_darz"""
04359d55,64 65 66 65 61 74,defeat,,"ds ""boss_defeat_dracula"""
0425dbed,64 65 66 65 61 74,defeat,,"ds ""boss_defeat_galleom"""
043ef241,64 65 66 65 61 74,defeat,,"ds ""boss_defeat_ganon"""
044532ff,64 65 66 65 61 74,defeat,,"ds ""boss_defeat_kiila"""
043ef253,64 65 66 65 61 74,defeat,,"ds ""boss_defeat_kiila_darz"""
04431800,64 65 66 65 61 74,defeat,,"ds ""boss_defeat_koopag"""
04420b50,64 65 66 65 61 74,defeat,,"ds ""boss_defeat_lioleus"""
044532ee,64 65 66 65 61 74,defeat,,"ds ""boss_defeat_marx"""
042c3642,64 65 66 65 61 74,defeat,,"ds ""boss_defeat_masterhand"""
044535a1,64 65 66 65 61 74,defeat,,"ds ""mel_chara_select_kumite_defeated_score"""
0439c233,64 65 66 65 61 74,defeat,,"ds ""mel_info_stage_poke_stadium_defeated"""
0442116e,64 65 66 65 61 74,defeat,,"ds ""mel_kumite_defeated_score"""
04435d79,64 65 66 65 61 74,defeat,,"ds ""notify_on_boss_defeat"""
0442ef66,64 65 66 65 61 74,defeat,,"ds ""send_event_on_boss_defeat"""
