Location,Match Bytes,Match Value,Label,Code Unit
043eef7f,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""(IsDisconnecting() && !Core::GetInstance()->GetTerminateImmediately())"""
04290137,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""DisconnectStationJob::CutRouteOfRelayConnection"""
0436a943,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""DisconnectStationJob::DisconnectionSucceeded"""
0436a959,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""DisconnectStationJob::DisconnectionSucceeded"""
0436a914,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""DisconnectStationJob::SendDisconnectionRequest"""
0436a92e,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""DisconnectStationJob::SendDisconnectionRequest"""
043ff953,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""DisconnectStationJob::WaitForDisconnection"""
043ff970,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""DisconnectStationJob::WaitForDisconnection"""
0430ac7d,44 49 53 43 4f 4e 4e 45 43 54,DISCONNECT,,"ds ""FIGHTER_STATUS_HAMMER_INT_DISCONNECT_FRAME"""
043ffa15,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""IsDisconnecting()"""
042a155a,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""JoinMeshJob::StartDisconnectStations"""
04290178,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""JoinMeshJob::WaitDisconnectStations"""
0426e529,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""LanProcessHostMigrationJob::LanCheckOldHostDisconnection"""
04441b8b,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""LanProcessHostMigrationJob::LanWaitCheckOldHostDisconnection"""
04410df4,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""LdnBackgroundProcessJob::WaitDisconnected"""
0429019e,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""LeaveMeshJob::StartDisconnectStations"""
043285c2,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""LeaveWithHostMigrationJob::StartDisconnectStations"""
042d4821,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""LeaveWithHostMigrationJob::WaitDisconnectStations"""
0425d89f,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""LocalBackgroundProcessJob::DisconnectNetwork"""
04290129,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""LocalDestroyNetworkJob::WaitUntilAllClientsDisconnection"""
04452fb0,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""LocalDisconnectNetworkJob::TryPrepareDisconnectNetwork"""
04452fd0,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""LocalDisconnectNetworkJob::TryPrepareDisconnectNetwork"""
0437ad06,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""LocalDisconnectNetworkJob::WaitDisconnectNetwork"""
0437ad20,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""LocalDisconnectNetworkJob::WaitDisconnectNetwork"""
04348895,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""LocalDisconnectNetworkJob::WaitForCancel"""
0436a892,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""LocalForceDisconnectNetworkJob::WaitDisconnected"""
0436a8ac,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""LocalForceDisconnectNetworkJob::WaitDisconnected"""
042e5520,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""LocalForceDisconnectNetworkJob::WaitHostMigrationEnd"""
043bca32,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""LocalHostMigrationJob::DisconnectNetwork"""
04420776,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""LocalHostMigrationJob::WaitDisconnectNetwork"""
044952c1,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""N2nn3pia3nex23NexDisconnectStationJobE"""
0449921f,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""N2nn3pia4mesh20DisconnectStationJobE"""
04498fc5,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""N2nn3pia5local25LocalDisconnectNetworkJobE"""
04498708,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,s_N2nn3pia5local28LdnForceDisconne_044986f0,"ds ""N2nn3pia5local28LdnForceDisconnectNetworkJobE"""
044989da,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""N2nn3pia5local30LocalForceDisconnectNetworkJobE"""
043de48b,44 69 73 63 6f 6e 6e 65 63 74,Disconnect,,"ds ""NexProcessHostMigrationJob::NexCheckOldHostDisconnection"""
