Location,Match Bytes,Match Value,Label,Code Unit
0436a1c5,65 72 72 6f 72,error,,"ds ""#\n# Fatal libcurl error\n"""
042c3454,45 72 72 6f 72,Error,,"ds ""(vResult = cbCallback(object, 0)) == bErrorValue"""
042e4f1e,45 72 72 6f 72,Error,,"ds ""<jemalloc>: Error allocating TSD\n"""
0436a0de,45 72 72 6f 72,Error,,"ds ""<jemalloc>: Error allocating aligned memory: invalid alignment\n"""
043591ca,45 72 72 6f 72,Error,,"ds ""<jemalloc>: Error allocating aligned memory: out of memory\n"""
042c2b44,45 72 72 6f 72,Error,,"ds ""<jemalloc>: Error in atexit()\n"""
042c2b63,45 72 72 6f 72,Error,,"ds ""<jemalloc>: Error in malloc(): out of memory\n"""
0426e286,45 72 72 6f 72,Error,,"ds ""Alignment Unmatched Error!!! Please check your binary file.\n"""
043282e0,45 72 72 6f 72,Error,,"ds ""Binary Tag Error.\n"""
0438ae07,45 72 72 6f 72,Error,,"ds ""Binary Version Error!!! Please check your binary file.\n"""
0432861d,45 72 72 6f 72,Error,,"ds ""ClientProtocolRequestBroker: Error processing message. pBuffer="""
0424db55,45 72 72 6f 72,Error,,"ds ""Encryption Error"""
04327d58,45 72 72 6f 72,Error,,"ds ""Error setting dss"""
0437a5bf,45 72 72 6f 72,Error,,"ds ""Error while processing content unencoding: %s"""
04327e61,45 72 72 6f 72,Error,,"ds ""Error while processing content unencoding: Unknown failure within decompression software."""
042f62c9,65 72 72 6f 72,error,,"ds ""Gen CTR error"""
044109d0,45 72 72 6f 72,Error,,"ds ""Graphic API Unmatched Error!!! Please check your binary file.\n"""
042b206d,65 72 72 6f 72,error,,"ds ""HTTP error before end of send, keep sending\n"""
042e4fe2,65 72 72 6f 72,error,,"ds ""HTTP error before end of send, stop sending\n"""
0431754b,65 72 72 6f 72,error,,"ds ""IO error"""
0441465b,45 52 52 4f 52,ERROR,,"ds ""ITEM_LOT_STATE_ERROR"""
04430f09,65 72 72 6f 72,error,,"ds ""Internal HTTP POST error!"""
04452864,65 72 72 6f 72,error,,"ds ""Internal error clearing splay node = %d\n"""
04306485,65 72 72 6f 72,error,,"ds ""Internal error removing splay node = %d\n"""
042f583b,45 72 72 6f 72,Error,,"ds ""Movie:Error(%08x)\n"""
04499d4a,45 72 72 6f 72,Error,s_N2nn3nex21ErrorDescriptionTableE_04499d40,"ds ""N2nn3nex21ErrorDescriptionTableE"""
0475bd3c,65 72 72 6f 72,error,,"ds ""N5boost16exception_detail10clone_implINS0_19error_info_injectorINS_16bad_lexical_castEEEEE"""
0475a5ec,65 72 72 6f 72,error,,"ds ""N5boost16exception_detail10clone_implINS0_19error_info_injectorINS_7bad_getEEEEE"""
0485d0dc,65 72 72 6f 72,error,,"ds ""N5boost16exception_detail10clone_implINS0_19error_info_injectorINS_9not_a_dagEEEEE"""
0475bd8b,65 72 72 6f 72,error,,"ds ""N5boost16exception_detail19error_info_injectorINS_16bad_lexical_castEEE"""
0475a66b,65 72 72 6f 72,error,,"ds ""N5boost16exception_detail19error_info_injectorINS_7bad_getEEE"""
0485d12b,65 72 72 6f 72,error,,"ds ""N5boost16exception_detail19error_info_injectorINS_9not_a_dagEEE"""
