Location,Match Bytes,Match Value,Label,Code Unit
042485fa,66 72 69 65 6e 64 73,friends,,"ds ""_ZN2nn7friends10InitializeEv"""
04248261,66 72 69 65 6e 64 73,friends,,"ds ""_ZN2nn7friends12AsyncContext14GetSystemEventEPNS_2os11SystemEventE"""
04248592,66 72 69 65 6e 64 73,friends,,"ds ""_ZN2nn7friends12AsyncContextC1Ev"""
0424863d,66 72 69 65 6e 64 73,friends,,"ds ""_ZN2nn7friends12AsyncContextD1Ev"""
042482cb,66 72 69 65 6e 64 73,friends,,"ds ""_ZN2nn7friends12UserPresence10InitializeERKNS_7account3UidE"""
042485b3,66 72 69 65 6e 64 73,friends,,"ds ""_ZN2nn7friends12UserPresenceC1Ev"""
04248321,66 72 69 65 6e 64 73,friends,,"ds ""_ZN2nn7friends13GetFriendListEPiPNS0_6FriendERKNS_7account3UidEiiRKNS0_12FriendFilterE"""
0424b6ee,66 72 69 65 6e 64 73,friends,,"ds ""_ZN2nn7friends14AddPlayHistoryERKNS_7account3UidERKNS0_26PlayHistoryRegistrationKeyERKNS0_15InAppScreenNameESA_"""
042481ec,66 72 69 65 6e 64 73,friends,,"ds ""_ZN2nn7friends14GetProfileListEPNS0_12AsyncContextEPNS0_7ProfileERKNS_7account3UidEPKNS5_23NetworkServiceAccountIdEi"""
04248515,66 72 69 65 6e 64 73,friends,,"ds ""_ZN2nn7friends16UpdateFriendInfoEPNS0_6FriendERKNS_7account3UidEPKNS3_23NetworkServiceAccountIdEi"""
042483ed,66 72 69 65 6e 64 73,friends,,"ds ""_ZN2nn7friends17NotificationQueue10InitializeERKNS_7account3UidE"""
0424842e,66 72 69 65 6e 64 73,friends,,"ds ""_ZN2nn7friends17NotificationQueue14GetSystemEventEv"""
04248462,66 72 69 65 6e 64 73,friends,,"ds ""_ZN2nn7friends17NotificationQueue3PopEPNS0_16NotificationInfoE"""
042483c0,66 72 69 65 6e 64 73,friends,,"ds ""_ZN2nn7friends17NotificationQueue8FinalizeEv"""
042485d4,66 72 69 65 6e 64 73,friends,,"ds ""_ZN2nn7friends17NotificationQueueC1Ev"""
04248617,66 72 69 65 6e 64 73,friends,,"ds ""_ZN2nn7friends17NotificationQueueD1Ev"""
04248193,66 72 69 65 6e 64 73,friends,,"ds ""_ZN2nn7friends18GetBlockedUserListEPiPNS_7account23NetworkServiceAccountIdERKNS2_3UidEii"""
042480d0,66 72 69 65 6e 64 73,friends,,"ds ""_ZN2nn7friends18ShowUserDetailInfoERKNS_7account3UidERKNS1_23NetworkServiceAccountIdERKNS0_15InAppScreenNameESA_"""
0424bcdb,66 72 69 65 6e 64 73,friends,,"ds ""_ZN2nn7friends29GetPlayHistoryRegistrationKeyEPNS0_26PlayHistoryRegistrationKeyERKNS_7account3UidEb"""
04248307,66 72 69 65 6e 64 73,friends,,"ds ""_ZN2nn7friends6FriendC1Ev"""
04248577,66 72 69 65 6e 64 73,friends,,"ds ""_ZN2nn7friends7ProfileC1Ev"""
042484a2,66 72 69 65 6e 64 73,friends,,"ds ""_ZNK2nn7friends12AsyncContext9GetResultEv"""
04248168,66 72 69 65 6e 64 73,friends,,"ds ""_ZNK2nn7friends14FriendPresence9GetStatusEv"""
04248142,66 72 69 65 6e 64 73,friends,,"ds ""_ZNK2nn7friends6Friend11GetPresenceEv"""
0424839a,66 72 69 65 6e 64 73,friends,,"ds ""_ZNK2nn7friends6Friend12GetAccountIdEv"""
04248379,66 72 69 65 6e 64 73,friends,,"ds ""_ZNK2nn7friends6Friend7IsValidEv"""
042482a5,66 72 69 65 6e 64 73,friends,,"ds ""_ZNK2nn7friends7Profile11GetNicknameEv"""
042484ee,66 72 69 65 6e 64 73,friends,,"ds ""_ZNK2nn7friends7Profile12GetAccountIdEv"""
042484cc,66 72 69 65 6e 64 73,friends,,"ds ""_ZNK2nn7friends7Profile7IsValidEv"""
