Location,Match Bytes,Match Value,Label,Code Unit
04498cde,48 6f 73 74,Host,,?? 48h    H
0436a202,68 6f 73 74,host,,?? 68h    h
043de00a,68 6f 73 74,host,,?? 68h    h
0439b135,48 4f 53 54,HOST,,"ds ""CURLOPT_SSL_VERIFYHOST no longer supports 1 as value!"""
043ee7e6,68 6f 73 74,host,,"ds ""Connecting to hostname: %s\n"""
04452897,68 6f 73 74,host,,"ds ""Connection #%ld to host %s left intact\n"""
0444179a,68 6f 73 74,host,,"ds ""Couldn't find host %s in the .netrc file; using defaults\n"""
0442038c,68 6f 73 74,host,,"ds ""Couldn't resolve host '%s'"""
04261d65,48 4f 53 54,HOST,,"ds ""FIGHTER_STATUS_ITEM_SPECIALFLAG_HOIST_WORK_INT_HOST_FRAME"""
042b215e,68 6f 73 74,host,,"ds ""Found bundle for host %s: %p [%s]\n"""
0424db6c,48 6f 73 74,Host,,"ds ""GET %s HTTP/1.1\r\nHost: %s\r\nUpgrade: websocket\r\nConnection: upgrade\r\nSec-WebSocket-Key: %s\r\nSec-WebSocket-Version: 13\r\nSec-WebSocket-Protocol: %s\r\n\r\n"""
0425d240,48 6f 73 74,Host,,"ds ""Host: %s%s%s:%hu\r\n"""
043de03d,48 6f 73 74,Host,,"ds ""Host: %s%s%s\r\n"""
044416d5,48 6f 73 74,Host,,"ds ""Host: %s\r\n"""
0436a256,48 6f 73 74,Host,,"ds ""Host:"""
042b1fd9,48 6f 73 74,Host,,"ds ""Hostname %s was found in DNS cache\n"""
0439b055,48 6f 73 74,Host,,"ds ""Hostname '%s' was found in DNS cache\n"""
04327db2,48 6f 73 74,Host,,"ds ""Hostname in DNS cache was stale, zapped\n"""
043efa80,48 4f 53 54,HOST,,"ds ""IS_HOST"""
0434b64e,48 4f 53 54,HOST,,"ds ""ITEM_KIND_FOR_DUET_KOZUKATAGHOST"""
0436d8b7,48 4f 53 54,HOST,,"ds ""ITEM_KIND_KOZUKATAGHOST"""
044401a8,48 4f 53 54,HOST,,"ds ""ITEM_KOZUKATAGHOST_KIND_MAX"""
0442f976,48 4f 53 54,HOST,,"ds ""ITEM_KOZUKATASIGHT_INSTANCE_WORK_FLAG_SPAWN_GHOST"""
04348270,68 6f 73 74,host,,"ds ""Invalid file://hostname/, expected localhost or 127.0.0.1 or none"""
04348289,68 6f 73 74,host,,"ds ""Invalid file://hostname/, expected localhost or 127.0.0.1 or none"""
044315de,48 6f 73 74,Host,,"ds ""JoinMeshJob::StartConnectingToHost"""
0439b8db,48 6f 73 74,Host,,"ds ""JoinMeshJob::WaitUntilConnectToHost"""
042a1405,48 6f 73 74,Host,,"ds ""JoinSessionJob::WaitLeaveMeshWithHostMigration"""
0426e4b2,48 6f 73 74,Host,,"ds ""LanMatchJointSessionJob::StartGetNextMeshHostStationLocation"""
042f60eb,48 6f 73 74,Host,,"ds ""LanMatchJointSessionJob::WaitGetNextMeshHostStationLocation"""
043cd81d,48 6f 73 74,Host,,"ds ""LanMatchJointSessionJob::WaitHostStationId"""
042f6109,48 6f 73 74,Host,,"ds ""LanProcessHostMigrationJob::HostMigrationFailure"""
042f611b,48 6f 73 74,Host,,"ds ""LanProcessHostMigrationJob::HostMigrationFailure"""
043abc33,48 6f 73 74,Host,,"ds ""LanProcessHostMigrationJob::LanCheckMatchMakingClientHost"""
043abc5e,48 6f 73 74,Host,,"ds ""LanProcessHostMigrationJob::LanCheckMatchMakingClientHost"""
0426e508,48 6f 73 74,Host,,"ds ""LanProcessHostMigrationJob::LanCheckOldHostDisconnection"""
