Location,Match Bytes,Match Value,Label,Code Unit
0433809b,69 6e 76 61 6c 69 64,invalid,,"ds ""<jemalloc>: Abort (abort_conf:true) on invalid conf value (see above).\n"""
0436a0ff,69 6e 76 61 6c 69 64,invalid,,"ds ""<jemalloc>: Error allocating aligned memory: invalid alignment\n"""
04359159,69 6e 76 61 6c 69 64,invalid,,"ds ""<jemalloc>: invalid configuration -- per physical CPU arena with odd number (%u) of CPUs (no hyper threading?).\n"""
0424f0c3,49 4e 56 41 4c 49 44,INVALID,,"ds ""ACTION_LINE_INVALID"""
0432a966,49 4e 56 41 4c 49 44,INVALID,,"ds ""ATTACK_ABSOLUTE_KIND_INVALID"""
042a384b,49 4e 56 41 4c 49 44,INVALID,,"ds ""BATTLE_OBJECT_CATEGORY_INVALID"""
0433ab5d,49 4e 56 41 4c 49 44,INVALID,,"ds ""BATTLE_OBJECT_ID_INVALID"""
0434c31a,49 4e 56 41 4c 49 44,INVALID,,"ds ""BODY_TYPE_MOTION_INVALID"""
042d6c56,49 4e 56 41 4c 49 44,INVALID,,"ds ""CAMERA_QUAKE_KIND_INVALID"""
042c58ab,49 4e 56 41 4c 49 44,INVALID,,"ds ""CONTROL_PAD_BUTTON_INVALID"""
042c4c99,49 4e 56 41 4c 49 44,INVALID,,"ds ""DANGER_INVALID_HANDLE"""
04319986,49 4e 56 41 4c 49 44,INVALID,,"ds ""FIGHTER_ATTACK_PART_INVALID"""
043651ab,49 4e 56 41 4c 49 44,INVALID,,"ds ""FIGHTER_DEMON_STATUS_FALL_WORK_INT_INVALID_ATTACK_FRAME"""
0425a0ae,49 4e 56 41 4c 49 44,INVALID,,"ds ""FIGHTER_DUCKHUNT_INSTANCE_WORK_ID_INT_3SHOTS_INVALID_FRAMES"""
0437f20b,49 4e 56 41 4c 49 44,INVALID,,"ds ""FIGHTER_ENTRY_NO_INVALID"""
04437092,49 4e 56 41 4c 49 44,INVALID,,"ds ""FIGHTER_GAMEWATCH_INSTANCE_WORK_ID_INT_SPECIAL_S_PANEL_7_INVALID_FRAME"""
042b00c4,49 4e 56 41 4c 49 44,INVALID,,"ds ""FIGHTER_GAOGAEN_INSTANCE_WORK_ID_FLAG_INVALID_SPECIAL_AIR_LW_SPPED_Y"""
043ecab3,49 4e 56 41 4c 49 44,INVALID,,"ds ""FIGHTER_GAOGAEN_INSTANCE_WORK_ID_FLAG_INVALID_SPECIAL_AIR_N_SPPED_Y"""
0435712c,49 4e 56 41 4c 49 44,INVALID,,"ds ""FIGHTER_GAOGAEN_INSTANCE_WORK_ID_FLAG_INVALID_SPECIAL_AIR_S"""
04413a2a,49 4e 56 41 4c 49 44,INVALID,,"ds ""FIGHTER_INSTANCE_WORK_ID_FLAG_INVALID_CAPTURE"""
0426029e,49 4e 56 41 4c 49 44,INVALID,,"ds ""FIGHTER_INSTANCE_WORK_ID_FLAG_INVALID_DROWNED"""
0438da1c,49 4e 56 41 4c 49 44,INVALID,,"ds ""FIGHTER_INSTANCE_WORK_ID_INT_GUARD_INVALID_CAPTURE_FRAME"""
04250415,49 4e 56 41 4c 49 44,INVALID,,"ds ""FIGHTER_INSTANCE_WORK_ID_INT_INVALID_BIND_FRAME"""
04319c0a,49 4e 56 41 4c 49 44,INVALID,,"ds ""FIGHTER_INSTANCE_WORK_ID_INT_INVALID_BURY_FRAME"""
04433d6a,49 4e 56 41 4c 49 44,INVALID,,"ds ""FIGHTER_INSTANCE_WORK_ID_INT_INVALID_CAPTURE_FRAME"""
043bf374,49 4e 56 41 4c 49 44,INVALID,,"ds ""FIGHTER_INSTANCE_WORK_ID_INT_INVALID_CATCH_FRAME"""
0438da8a,49 4e 56 41 4c 49 44,INVALID,,"ds ""FIGHTER_INSTANCE_WORK_ID_INT_INVALID_ICE_DAMAGE_FRAME"""
0441385a,49 4e 56 41 4c 49 44,INVALID,,"ds ""FIGHTER_INSTANCE_WORK_ID_INT_INVALID_PARALYZE_FRAME"""
0434ae5f,49 4e 56 41 4c 49 44,INVALID,,"ds ""FIGHTER_INSTANCE_WORK_ID_INT_INVALID_POISON_SMASH_FRAME"""
04258371,49 4e 56 41 4c 49 44,INVALID,,"ds ""FIGHTER_PICKEL_DIG_RESULT_INVALID"""
043407b0,49 4e 56 41 4c 49 44,INVALID,,"ds ""FIGHTER_REFLET_MAGIC_KIND_INVALID"""
04287f31,49 4e 56 41 4c 49 44,INVALID,,"ds ""FIGHTER_ROCKMAN_ARMFORM_INVALID"""
043e0f38,49 4e 56 41 4c 49 44,INVALID,,"ds ""FIGHTER_SEARCH_INVALID_ATTACK_FLAG_WITCH_TIME"""
042a55c4,49 4e 56 41 4c 49 44,INVALID,,"ds ""FIGHTER_STATUS_BURY_WORK_FLAG_INVALID_NO_REACTION"""
043afcbc,49 4e 56 41 4c 49 44,INVALID,,"ds ""FIGHTER_STATUS_DASH_WORK_INT_INVALID_ATTACK_ESCAPE_FRAME"""
0439fed6,49 4e 56 41 4c 49 44,INVALID,,"ds ""FIGHTER_STATUS_SWING_GAOGAEN_WORK_INT_INVALID_CAPTURE_FRAME"""
04453068,69 6e 76 61 6c 69 64,invalid,,"ds ""Gen invalid operation warning"""
04337eba,49 4e 56 41 4c 49 44,INVALID,,"ds ""INVALID"""
043e1f95,49 4e 56 41 4c 49 44,INVALID,,"ds ""ITEM_LIFETIME_TYPE_INVALID"""
0441351d,49 4e 56 41 4c 49 44,INVALID,,"ds ""ITEM_SIZE_INVALID"""
043571fe,49 4e 56 41 4c 49 44,INVALID,,"ds ""ITEM_VARIATION_INVALID"""
043ee79f,49 6e 76 61 6c 69 64,Invalid,,"ds ""Invalid IPv6 address format\n"""
04327e47,49 6e 76 61 6c 69 64,Invalid,,"ds ""Invalid TIMEVALUE"""
0437a44c,49 6e 76 61 6c 69 64,Invalid,,"ds ""Invalid conf pair"""
044638dd,49 6e 76 61 6c 69 64,Invalid,,"ds ""Invalid conf value"""
04348261,49 6e 76 61 6c 69 64,Invalid,,"ds ""Invalid file://hostname/, expected localhost or 127.0.0.1 or none"""
043cda26,49 6e 76 61 6c 69 64,Invalid,,"ds ""Invalid operation"""
043eef65,49 6e 76 61 6c 69 64,Invalid,,"ds ""Invalid parameter"""
044315f4,49 6e 76 61 6c 69 64,Invalid,,"ds ""Invalid wait"""
0434a1fe,49 6e 76 61 6c 69 64,Invalid,,"ds ""Invalid"""
04433ac7,49 4e 56 41 4c 49 44,INVALID,,"ds ""LUA_SCRIPT_LINE_INVALID"""
042cc585,49 4e 56 41 4c 49 44,INVALID,,"ds ""PACMAN_SPECIAL_S_EFFECT_INVALID"""
04443e99,49 4e 56 41 4c 49 44,INVALID,,"ds ""PH2NDARY_CHAIN_INVALID"""
043cfada,49 4e 56 41 4c 49 44,INVALID,,"ds ""PH2NDARY_CRAW_INVALID"""
0425fad1,49 4e 56 41 4c 49 44,INVALID,,"ds ""PHYSICS_SWING_SPECIAL_STATE_INVALID"""
04410ee5,69 6e 76 61 6c 69 64,invalid,,"ds ""Product key does not exist or is invalid"""
04327fa5,69 6e 76 61 6c 69 64,invalid,,"ds ""Received invalid version in initial SOCKS5 response."""
04319805,49 4e 56 41 4c 49 44,INVALID,,"ds ""SLOW_NO_INVALID"""
044546a8,49 4e 56 41 4c 49 44,INVALID,,"ds ""STAT_SKILL_CONTROLLER_INVALID"""
0426ed48,49 4e 56 41 4c 49 44,INVALID,s_UI_INVALID_INDEX_0426ed45,"ds ""UI_INVALID_INDEX"""
042bf815,49 4e 56 41 4c 49 44,INVALID,,"ds ""WEAPON_DUCKHUNT_CAN_INSTANCE_WORK_ID_INT_3PS_INVALID_FRAMES_AFTER_ATTACK_CHANGE"""
042aec5b,49 4e 56 41 4c 49 44,INVALID,,"ds ""WEAPON_DUCKHUNT_CAN_INSTANCE_WORK_ID_INT_INVALID_HOP_FRAMES"""
04303928,49 4e 56 41 4c 49 44,INVALID,,"ds ""WEAPON_DUCKHUNT_CLAY_INSTANCE_WORK_ID_INT_HIT_INVALID_FRAME"""
042dae18,49 4e 56 41 4c 49 44,INVALID,,"ds ""WEAPON_WARIO_WARIOBIKE_INSTANCE_WORK_ID_INT_INVALID_ATTACK_FRAME"""
042597ac,49 4e 56 41 4c 49 44,INVALID,,"ds ""WEAPON_ZELDA_PHANTOM_INSTANCE_WORK_ID_INT_INVALID_STOP_FRAME"""
041fced2,69 6e 76 61 6c 69 64,invalid,,"ds ""_ZN3app10shiokarazu18invalid_bgm_handleEv"""
0420b7aa,69 6e 76 61 6c 69 64,invalid,,"ds ""_ZN3app8lua_bind33AttackModule__is_invalid_xlu_implEPNS_26BattleObjectModuleAccessorEib"""
0420b752,69 6e 76 61 6c 69 64,invalid,,"ds ""_ZN3app8lua_bind34AttackModule__set_invalid_xlu_implEPNS_26BattleObjectModuleAccessorEib"""
0422654a,69 6e 76 61 6c 69 64,invalid,,"ds ""_ZN3app8lua_bind38SearchModule__invalid_attack_mask_implEPNS_26BattleObjectModuleAccessorE"""
