Location,Match Bytes,Match Value,Label,Code Unit
01cf4671,4b 45 79,KEy,,?? 4Bh    K
0449b6fa,4b 65 79,Key,,?? 4Bh    K
01cf46dd,6b 45 79,kEy,,?? 6Bh    k
0424e6db,6b 65 79,key,,?? 6Bh    k
0426f32b,6b 65 79,key,,?? 6Bh    k
0426f6b7,6b 65 79,key,,?? 6Bh    k
0429107c,6b 65 79,key,,?? 6Bh    k
04369b46,6b 65 79,key,,?? 6Bh    k
0438bc61,6b 65 79,key,,?? 6Bh    k
0441fc0b,6b 65 79,key,DAT_0441fc0b,?? 6Bh    k
0441fc11,6b 65 79,key,,?? 6Bh    k
04359112,6b 65 79,key,,"ds ""<jemalloc>: Conf string ends with key\n"""
04453ddd,4b 45 59,KEY,,"ds ""BUTTON_ID_FULL_KEY_CON"""
041c1806,6b 65 79,key,,"ds ""C:/c2/p4/patch-13.0.1/work/build/vs2015.built/cross2app+standalone/NX64/Release///lua2cpp_donkey.nrs"""
042d55f8,4b 45 59,KEY,,"ds ""CONTROLLER_FULL_KEY"""
0432865a,4b 45 59,KEY,,"ds ""DONKEY"""
04329d00,4b 45 59,KEY,,"ds ""DONKEY_ST_HEADATK"""
0435b3f2,4b 45 59,KEY,,"ds ""DONKEY_ST_LIFT_U"""
042a2bef,4b 45 59,KEY,,"ds ""DONKEY_ST_SP_D"""
042f6843,6b 65 79,key,,"ds ""Donkey"""
042a15ce,6b 65 79,key,,"ds ""Duplicated key within the collection"""
042a858e,4b 45 59,KEY,,"ds ""FIGHTER_DIDDY_STATUS_MONKEY_FLIP_FLAG_CLING_CUT"""
0434faf6,4b 45 59,KEY,,"ds ""FIGHTER_DIDDY_STATUS_MONKEY_FLIP_FLAG_CONTINUE_MOT"""
042b9aa9,4b 45 59,KEY,,"ds ""FIGHTER_DIDDY_STATUS_MONKEY_FLIP_FLAG_JUMP_START"""
044074fd,4b 45 59,KEY,,"ds ""FIGHTER_DIDDY_STATUS_MONKEY_FLIP_FLAG_SMASH"""
0430dc4c,4b 45 59,KEY,,"ds ""FIGHTER_DIDDY_STATUS_MONKEY_FLIP_FLAG_START"""
04448eda,4b 45 59,KEY,,"ds ""FIGHTER_DIDDY_STATUS_MONKEY_FLIP_WORK_FLOAT_START"""
04459b93,4b 45 59,KEY,,"ds ""FIGHTER_DIDDY_STATUS_MONKEY_FLIP_WORK_INT_CLING_TASK_ID"""
042fda83,4b 45 59,KEY,,"ds ""FIGHTER_DIDDY_STATUS_MONKEY_FLIP_WORK_INT_KICK_FRAME"""
042fda53,4b 45 59,KEY,,"ds ""FIGHTER_DIDDY_STATUS_MONKEY_FLIP_WORK_INT_START"""
042a85be,4b 45 59,KEY,,"ds ""FIGHTER_DIDDY_STATUS_MONKEY_FLIP_WORK_INT_TARGET_HIT_GROUP"""
043b304c,4b 45 59,KEY,,"ds ""FIGHTER_DIDDY_STATUS_MONKEY_FLIP_WORK_INT_TARGET_HIT_NO"""
042db9a9,4b 45 59,KEY,,"ds ""FIGHTER_DIDDY_STATUS_MONKEY_FLIP_WORK_INT_TARGET_TASK"""
0438fb4f,4b 45 59,KEY,,"ds ""FIGHTER_DONKEY_ARTICLE_TERM"""
04425095,4b 45 59,KEY,,"ds ""FIGHTER_DONKEY_FINAL_ATTACK_COLLISION_ID_BONUS"""
0429496a,4b 45 59,KEY,,"ds ""FIGHTER_DONKEY_FINAL_ATTACK_COLLISION_ID_HANDCRAP"""
04283c3c,4b 45 59,KEY,,"ds ""FIGHTER_DONKEY_FINAL_ATTACK_COLLISION_ID_MAX"""
0434d1ff,4b 45 59,KEY,,"ds ""FIGHTER_DONKEY_FINAL_ATTACK_COLLISION_ID_NONE"""
0444651e,4b 45 59,KEY,,"ds ""FIGHTER_DONKEY_FINAL_ATTACK_COLLISION_ID_NORMAL"""
0435e748,4b 45 59,KEY,,"ds ""FIGHTER_DONKEY_FINAL_ATTACK_COLLISION_ID_RESERVE"""
0432d32b,4b 45 59,KEY,,"ds ""FIGHTER_DONKEY_FINAL_ATTACK_COLLISION_ID_START"""
04404813,4b 45 59,KEY,,"ds ""FIGHTER_DONKEY_FINAL_TARGET_NUM"""
042a61ff,4b 45 59,KEY,,"ds ""FIGHTER_DONKEY_GENERATE_ARTICLE_DKBARREL"""
0445769d,4b 45 59,KEY,,"ds ""FIGHTER_DONKEY_INSTANCE_WORK_ID_FLAG_BONUS"""
042521f9,4b 45 59,KEY,,"ds ""FIGHTER_DONKEY_INSTANCE_WORK_ID_FLAG_N_EFFECT"""
044464c9,4b 45 59,KEY,,"ds ""FIGHTER_DONKEY_INSTANCE_WORK_ID_FLAG_TERM"""
