Location,Match Bytes,Match Value,Label,Code Unit
0426e58e,4b 69 63 6b,Kick,,"ds ""(KickoutReason_Unknown PROTOCOL NAME)"""
042a389e,4b 49 43 4b,KICK,,"ds ""ATTACK_REGION_KICK"""
0435c11b,4b 49 43 4b,KICK,,"ds ""COLLISION_SOUND_ATTR_DEMON_KICK"""
0431970d,4b 49 43 4b,KICK,,"ds ""COLLISION_SOUND_ATTR_DOLLY_KICK"""
043bef2f,4b 49 43 4b,KICK,,"ds ""COLLISION_SOUND_ATTR_KEN_KICK"""
04444032,4b 49 43 4b,KICK,,"ds ""COLLISION_SOUND_ATTR_KICK"""
0432aa7b,4b 49 43 4b,KICK,,"ds ""COLLISION_SOUND_ATTR_RYU_KICK"""
044553c0,4b 49 43 4b,KICK,,"ds ""COLLISION_SOUND_ATTR_SHEIK_FINAL_KICK"""
04455407,4b 49 43 4b,KICK,,"ds ""COLLISION_SOUND_ATTR_TRAIL_KICK"""
043da4a4,4b 49 43 4b,KICK,,"ds ""FIGHTER_CAPTAIN_FALCON_KICK_AA_TRANSITION_TERM_ID_INHERIT_FALL"""
043a7b77,4b 49 43 4b,KICK,,"ds ""FIGHTER_CAPTAIN_FALCON_KICK_AA_TRANSITION_TERM_ID_LANDING_FALL"""
0442d47a,4b 49 43 4b,KICK,,"ds ""FIGHTER_CAPTAIN_FALCON_KICK_AA_TRANSITION_TERM_ID_LANDING_WAIT"""
04355263,4b 49 43 4b,KICK,,"ds ""FIGHTER_CAPTAIN_FALCON_KICK_AA_TRANSITION_TERM_ID_START"""
042595b6,4b 49 43 4b,KICK,,"ds ""FIGHTER_CAPTAIN_STATUS_WORK_ID_FLAG_FALCON_KICK_CLIFF_CHECK"""
042595f2,4b 49 43 4b,KICK,,"ds ""FIGHTER_CAPTAIN_STATUS_WORK_ID_FLAG_FALCON_KICK_FALL_ONOFF"""
0445f90b,4b 49 43 4b,KICK,,"ds ""FIGHTER_CAPTAIN_STATUS_WORK_ID_FLAG_FALCON_KICK_SP_BRAKE"""
0443da13,4b 49 43 4b,KICK,,"ds ""FIGHTER_CAPTAIN_STATUS_WORK_ID_FLAG_FALCON_KICK_START"""
0426a1d5,4b 49 43 4b,KICK,,"ds ""FIGHTER_CAPTAIN_STATUS_WORK_ID_FLAG_FALCON_KICK_WALL_CHECK"""
043b89c7,4b 49 43 4b,KICK,,"ds ""FIGHTER_CAPTAIN_STATUS_WORK_ID_FLOAT_FALCON_KICK_SPEED_COEFFICIENT"""
0445f8d5,4b 49 43 4b,KICK,,"ds ""FIGHTER_CAPTAIN_STATUS_WORK_ID_FLOAT_FALCON_KICK_START"""
04302cbe,4b 49 43 4b,KICK,,"ds ""FIGHTER_CAPTAIN_STATUS_WORK_ID_INT_FALCON_KICK_REDUCTION_LEFT"""
04376784,4b 49 43 4b,KICK,,"ds ""FIGHTER_CAPTAIN_STATUS_WORK_ID_INT_FALCON_KICK_START"""
042bed43,4b 49 43 4b,KICK,,"ds ""FIGHTER_CAPTAIN_STATUS_WORK_ID_INT_FALCON_KICK_START_SITUATION"""
04381ba7,4b 49 43 4b,KICK,,"ds ""FIGHTER_DIDDY_STATUS_KIND_SPECIAL_S_KICK"""
0430dcb2,4b 49 43 4b,KICK,,"ds ""FIGHTER_DIDDY_STATUS_KIND_SPECIAL_S_KICK_LANDING"""
042fda95,4b 49 43 4b,KICK,,"ds ""FIGHTER_DIDDY_STATUS_MONKEY_FLIP_WORK_INT_KICK_FRAME"""
043d2f8d,4b 49 43 4b,KICK,,"ds ""FIGHTER_FOX_FIRE_STATUS_WORK_ID_FLAG_WOLF_KICK"""
042f236f,4b 49 43 4b,KICK,,"ds ""FIGHTER_GANON_KICK_AA_TRANSITION_TERM_ID_INHERIT_FALL"""
042e18de,4b 49 43 4b,KICK,,"ds ""FIGHTER_GANON_KICK_AA_TRANSITION_TERM_ID_LANDING"""
04387121,4b 49 43 4b,KICK,,"ds ""FIGHTER_GANON_KICK_AA_TRANSITION_TERM_ID_LANDING_FALL"""
0440cd7b,4b 49 43 4b,KICK,,"ds ""FIGHTER_GANON_KICK_AA_TRANSITION_TERM_ID_LANDING_WAIT"""
043870f2,4b 49 43 4b,KICK,,"ds ""FIGHTER_GANON_KICK_AA_TRANSITION_TERM_ID_START"""
042bf08f,4b 49 43 4b,KICK,,"ds ""FIGHTER_GANON_KICK_END_SITUATION_AA"""
0426a5f1,4b 49 43 4b,KICK,,"ds ""FIGHTER_GANON_KICK_END_SITUATION_AG"""
043668b6,4b 49 43 4b,KICK,,"ds ""FIGHTER_GANON_KICK_END_SITUATION_GA"""
042e190f,4b 49 43 4b,KICK,,"ds ""FIGHTER_GANON_KICK_END_SITUATION_GG"""
0428bd91,4b 49 43 4b,KICK,,"ds ""FIGHTER_GANON_STATUS_WORK_ID_FLAG_GANON_KICK_CLIFF_CHECK"""
042ae4e8,4b 49 43 4b,KICK,,"ds ""FIGHTER_GANON_STATUS_WORK_ID_FLAG_GANON_KICK_FALL_ONOFF"""
0427b0f5,4b 49 43 4b,KICK,,"ds ""FIGHTER_GANON_STATUS_WORK_ID_FLAG_GANON_KICK_SP_BRAKE"""
043b8e06,4b 49 43 4b,KICK,,"ds ""FIGHTER_GANON_STATUS_WORK_ID_FLAG_GANON_KICK_START"""
04334c0c,4b 49 43 4b,KICK,,"ds ""FIGHTER_GANON_STATUS_WORK_ID_FLAG_GANON_KICK_WALL_CHECK"""
042ae4b5,4b 49 43 4b,KICK,,"ds ""FIGHTER_GANON_STATUS_WORK_ID_FLOAT_GANON_KICK_SPEED"""
043870cd,4b 49 43 4b,KICK,,"ds ""FIGHTER_GANON_STATUS_WORK_ID_FLOAT_GANON_KICK_SPEED_COEFFICIENT"""
0426a5d8,4b 49 43 4b,KICK,,"ds ""FIGHTER_GANON_STATUS_WORK_ID_FLOAT_GANON_KICK_START"""
043da95d,4b 49 43 4b,KICK,,"ds ""FIGHTER_GANON_STATUS_WORK_ID_FLOAT_GANON_KICK_START_LR"""
0426a59c,4b 49 43 4b,KICK,,"ds ""FIGHTER_GANON_STATUS_WORK_ID_INT_GANON_KICK_END_SITUATION"""
04259a78,4b 49 43 4b,KICK,,"ds ""FIGHTER_GANON_STATUS_WORK_ID_INT_GANON_KICK_REDUCTION_LEFT"""
0428bd5e,4b 49 43 4b,KICK,,"ds ""FIGHTER_GANON_STATUS_WORK_ID_INT_GANON_KICK_START"""
0438708f,4b 49 43 4b,KICK,,"ds ""FIGHTER_GANON_STATUS_WORK_ID_INT_GANON_KICK_START_SITUATION"""
042d7462,4b 49 43 4b,KICK,,"ds ""FIGHTER_INSTANCE_WORK_ID_FLAG_MIIFIGHTER_100KICK_SET_REFLECT_ANGLE"""
0425ffeb,4b 49 43 4b,KICK,,"ds ""FIGHTER_INSTANCE_WORK_ID_FLOAT_MIIFIGHTER_100KICK_LR"""
0444fce6,4b 49 43 4b,KICK,,"ds ""FIGHTER_KAMUI_STATUS_SPECIAL_S_FLAG_ENABLE_KICK_BUTTON_ON"""
