Location,Match Bytes,Match Value,Label,Code Unit
0431628f,4c 61 6e,Lan,,?? 4Ch    L
04317464,4c 61 6e,Lan,,?? 4Ch    L
04495fbe,4c 61 6e,Lan,,?? 4Ch    L
0449601e,4c 61 6e,Lan,,?? 4Ch    L
04495fb9,6c 61 6e,lan,,?? 6Ch    l
04496019,6c 61 6e,lan,,?? 6Ch    l
044109b6,6c 61 6e,lan,,"ds ""%s_%s.bflan"""
0425c83e,6c 61 6e,lan,,"ds ""%s_land"""
04359b4d,6c 61 6e,lan,,"ds ""/v1/applications/{applicationId}/aocs/items?country={country}&lang="""
042806ce,4c 41 4e,LAN,,"ds ""AI_STATUS_LANDING"""
0436dd33,4c 41 4e,LAN,,"ds ""ASSIST_PARAM_FLOAT_DAMAGE_PRELANDING_DISTANCE"""
0435d04c,4c 41 4e,LAN,,"ds ""ASSIST_PARAM_FLOAT_ESCAPE_ACTION_SELECT_LANDING_WAIT"""
04422a6e,6c 61 6e,lan,,"ds ""Animal_Island"""
0439c84a,4c 41 4e,LAN,,"ds ""BUTTON_ID_LANGUAGE"""
043cfb51,6c 61 6e,lan,,"ds ""Battle_Animal_Island"""
042c5a7d,6c 61 6e,lan,,"ds ""Battle_Icarus_Angeland"""
043bed94,4c 61 6e,Lan,,"ds ""Battle_Mario_3DLand"""
043f0ffc,4c 61 6e,Lan,,"ds ""Battle_Pac_Land"""
0433ab15,6c 61 6e,lan,,"ds ""Battle_Pikmin_Planet"""
0424fd0e,6c 61 6e,lan,,"ds ""Battle_Plankton"""
0435bf04,6c 61 6e,lan,,"ds ""Battle_WufuIsland"""
042d6d15,6c 61 6e,lan,,"ds ""Battle_Yoshi_Island"""
04403804,4c 41 4e,LAN,,"ds ""ENERGY_STOP_RESET_TYPE_GLIDE_LANDING"""
04270737,6c 61 6e,lan,,"ds ""End_Animal_Island"""
042e7b87,6c 61 6e,lan,,"ds ""End_Icarus_Angeland"""
042c5a35,4c 61 6e,Lan,,"ds ""End_Mario_3DLand"""
0434a978,4c 61 6e,Lan,,"ds ""End_Pac_Land"""
043e0ad6,6c 61 6e,lan,,"ds ""End_Pikmin_Planet"""
04308b60,6c 61 6e,lan,,"ds ""End_Plankton"""
042c5a8c,6c 61 6e,lan,,"ds ""End_WufuIsland"""
0436ccd3,6c 61 6e,lan,,"ds ""End_Yoshi_Island"""
042dde4d,4c 41 4e,LAN,,"ds ""FIGHTER_BAYONETTA_INSTANCE_WORK_ID_FLOAT_SPECIAL_LANDING_FRAME"""
043b5400,4c 41 4e,LAN,,"ds ""FIGHTER_BAYONETTA_STATUS_ATTACK_AIR_FLAG_LANDING_DISABLE_ATTACK"""
04320c0b,4c 41 4e,LAN,,"ds ""FIGHTER_BAYONETTA_STATUS_KIND_SPECIAL_AIR_S_D_LANDING"""
043e7832,4c 41 4e,LAN,,"ds ""FIGHTER_BAYONETTA_STATUS_LANDING_FLOAT_SPECIAL_STIFFNESS_FRAME"""
04341531,4c 41 4e,LAN,,"ds ""FIGHTER_BAYONETTA_STATUS_LANDING_FLOAT_START"""
04373bda,4c 41 4e,LAN,,"ds ""FIGHTER_BAYONETTA_STATUS_LANGIND_FLOAT_TERM"""
0441a3c1,4c 41 4e,LAN,,"ds ""FIGHTER_BAYONETTA_STATUS_WORK_ID_SPECIAL_N_FLOAT_SPECIAL_LANDING_FRAME"""
0441a43e,4c 41 4e,LAN,,"ds ""FIGHTER_BAYONETTA_STATUS_WORK_ID_SPECIAL_S_FLAG_LANDING_FALL_SPECIAL"""
042aab85,4c 41 4e,LAN,,"ds ""FIGHTER_BAYONETTA_STATUS_WORK_KEEP_FLAG_LANDING_ATTACK_AIR_FLAG"""
043316e8,4c 41 4e,LAN,,"ds ""FIGHTER_BAYONETTA_STATUS_WORK_KEEP_FLAG_LANDING_ATTACK_AIR_FLOAT"""
04266bdf,4c 41 4e,LAN,,"ds ""FIGHTER_BAYONETTA_STATUS_WORK_KEEP_FLAG_LANDING_ATTACK_AIR_INT"""
0429b166,4c 41 4e,LAN,,"ds ""FIGHTER_BUDDY_INSTANCE_WORK_ID_FLAG_SPECIAL_N_LANDING"""
