Location,Match Bytes,Match Value,Label,Code Unit
044988e0,4c 6f 63 61 6c,Local,,?? 4Ch    L
04498a80,4c 6f 63 61 6c,Local,,?? 4Ch    L
04498b40,4c 6f 63 61 6c,Local,,?? 4Ch    L
04498cd0,4c 6f 63 61 6c,Local,,?? 4Ch    L
04498d10,4c 6f 63 61 6c,Local,DAT_04498d10,?? 4Ch    L
04498d50,4c 6f 63 61 6c,Local,,?? 4Ch    L
04498ed0,4c 6f 63 61 6c,Local,,?? 4Ch    L
04499000,4c 6f 63 61 6c,Local,DAT_04499000,?? 4Ch    L
04498489,6c 6f 63 61 6c,local,,?? 6Ch    l
044985a9,6c 6f 63 61 6c,local,,?? 6Ch    l
044988d9,6c 6f 63 61 6c,local,,?? 6Ch    l
04498a79,6c 6f 63 61 6c,local,,?? 6Ch    l
04498b39,6c 6f 63 61 6c,local,,?? 6Ch    l
04498cc9,6c 6f 63 61 6c,local,,?? 6Ch    l
04498d09,6c 6f 63 61 6c,local,,?? 6Ch    l
04498d49,6c 6f 63 61 6c,local,,?? 6Ch    l
04498ec9,6c 6f 63 61 6c,local,,?? 6Ch    l
04498ff9,6c 6f 63 61 6c,local,,?? 6Ch    l
04463874,6c 6f 63 61 6c,local,,"ds ""/usr/local/lib/lua/5.3/?.so;/usr/local/lib/lua/5.3/loadall.so;./?.so"""
04463890,6c 6f 63 61 6c,local,,"ds ""/usr/local/lib/lua/5.3/?.so;/usr/local/lib/lua/5.3/loadall.so;./?.so"""
0425d07f,6c 6f 63 61 6c,local,,"ds ""/usr/local/share/lua/5.3/?.lua;/usr/local/share/lua/5.3/?/init.lua;/usr/local/lib/lua/5.3/?.lua;/usr/local/lib/lua/5.3/?/init.lua;./?.lua;./?/init.lua"""
0425d09e,6c 6f 63 61 6c,local,,"ds ""/usr/local/share/lua/5.3/?.lua;/usr/local/share/lua/5.3/?/init.lua;/usr/local/lib/lua/5.3/?.lua;/usr/local/lib/lua/5.3/?/init.lua;./?.lua;./?/init.lua"""
0425d0c2,6c 6f 63 61 6c,local,,"ds ""/usr/local/share/lua/5.3/?.lua;/usr/local/share/lua/5.3/?/init.lua;/usr/local/lib/lua/5.3/?.lua;/usr/local/lib/lua/5.3/?/init.lua;./?.lua;./?/init.lua"""
0425d0df,6c 6f 63 61 6c,local,,"ds ""/usr/local/share/lua/5.3/?.lua;/usr/local/share/lua/5.3/?/init.lua;/usr/local/lib/lua/5.3/?.lua;/usr/local/lib/lua/5.3/?/init.lua;./?.lua;./?/init.lua"""
04452712,6c 6f 63 61 6c,local,s_<goto_%s>_at_line_%d_jumps_into_t_044526e5,"ds ""<goto %s> at line %d jumps into the scope of local '%s'"""
0427e83a,6c 6f 63 61 6c,local,,"ds ""Bind to local port %hu failed, trying next\n"""
04433990,4c 4f 43 41 4c,LOCAL,,"ds ""COLLISION_SOUND_ATTR_MARIO_LOCAL_COIN"""
0424fe7e,4c 4f 43 41 4c,LOCAL,,"ds ""COLLISION_SOUND_ATTR_MARIO_LOCAL_COIN_LAST"""
04369cf3,4c 4f 43 41 4c,LOCAL,,"ds ""COMBG_KIND_LOCAL"""
043167a7,4c 4f 43 41 4c,LOCAL,,"ds ""COMFRAME_FRAMECOLOR_LOCAL"""
043bc9bb,4c 6f 63 61 6c,Local,,"ds ""CreateMeshJob::SetupLocalPlayerInfo"""
042b288d,4c 6f 63 61 6c,Local,s_CreateMeshJob::SetupLocalStation_042b2879,"ds ""CreateMeshJob::SetupLocalStation"""
04348284,6c 6f 63 61 6c,local,,"ds ""Invalid file://hostname/, expected localhost or 127.0.0.1 or none"""
0432847d,4c 6f 63 61 6c,Local,,"ds ""JoinMeshJob::SetupLocalPlayerInfo"""
04359a61,4c 6f 63 61 6c,Local,,"ds ""JoinMeshJob::SetupLocalPlayerInfoFailure"""
0436a982,4c 6f 63 61 6c,Local,,"ds ""JoinMeshJob::SetupLocalStation"""
043ee688,4c 6f 63 61 6c,Local,,"ds ""Local Interface %s is ip %s using address family %i\n"""
042b1fc8,4c 6f 63 61 6c,Local,,"ds ""Local port: %hu\n"""
042b276c,4c 6f 63 61 6c,Local,,"ds ""Local"""
042f6209,4c 6f 63 61 6c,Local,,"ds ""LocalAllowParticipatingBackgroundJob::AllowParticipating"""
042e55b6,4c 6f 63 61 6c,Local,,"ds ""LocalAllowParticipatingJob::CompleteProcess"""
043174bf,4c 6f 63 61 6c,Local,s_LocalAllowParticipatingJob::Wait_043174bf,"ds ""LocalAllowParticipatingJob::WaitAllowParticipating"""
04328556,4c 6f 63 61 6c,Local,,"ds ""LocalAllowParticipatingJob::WaitBackgroundJobEnd"""
04441c65,4c 6f 63 61 6c,Local,,"ds ""LocalBackgroundProcessJob::ConnectNetwork"""
04441c3c,4c 6f 63 61 6c,Local,,"ds ""LocalBackgroundProcessJob::CreateNetwork"""
04420731,4c 6f 63 61 6c,Local,s_LocalBackgroundProcessJob::Destr_04420731,"ds ""LocalBackgroundProcessJob::DestroyNetwork"""
0425d884,4c 6f 63 61 6c,Local,,"ds ""LocalBackgroundProcessJob::DisconnectNetwork"""
04410e32,4c 6f 63 61 6c,Local,,"ds ""LocalConnectNetworkJob::ProcessSucceeded"""
043cd970,4c 6f 63 61 6c,Local,,"ds ""LocalConnectNetworkJob::WaitConnectNetwork"""
0424dadb,4c 6f 63 61 6c,Local,,"ds ""LocalConnectNetworkJob::WaitForCancel"""
042b2799,4c 6f 63 61 6c,Local,,"ds ""LocalCreateNetworkJob::WaitCreateNetwork"""
