Location,Match Bytes,Match Value,Label,Code Unit
02873ff0,4c 55 41,LUA,,?? 4Ch    L
031979f4,4c 55 41,LUA,,?? 4Ch    L
031a6d64,4c 55 41,LUA,,?? 4Ch    L
031a7e8c,4c 55 41,LUA,,?? 4Ch    L
031a8204,4c 55 41,LUA,,?? 4Ch    L
031a8320,4c 55 41,LUA,,?? 4Ch    L
042f59fa,4c 75 61,Lua,,?? 4Ch    L
0430629e,4c 55 41,LUA,,?? 4Ch    L
0437a3a5,4c 75 61,Lua,,?? 4Ch    L
04463829,4c 75 61,Lua,DAT_04463829,?? 4Ch    L
04515d40,6c 75 61,lua,,?? 6Ch    l
0427e79d,4c 75 61,Lua,,"ds ""%d-byte integer does not fit into Lua Integer"""
0437a250,6c 75 61,lua,,"ds ""--lua_verify"""
0426d8c5,6c 75 61,lua,,"ds ""--noluaopt"""
0446387e,6c 75 61,lua,,"ds ""/usr/local/lib/lua/5.3/?.so;/usr/local/lib/lua/5.3/loadall.so;./?.so"""
0446389a,6c 75 61,lua,,"ds ""/usr/local/lib/lua/5.3/?.so;/usr/local/lib/lua/5.3/loadall.so;./?.so"""
0425d08b,6c 75 61,lua,,"ds ""/usr/local/share/lua/5.3/?.lua;/usr/local/share/lua/5.3/?/init.lua;/usr/local/lib/lua/5.3/?.lua;/usr/local/lib/lua/5.3/?/init.lua;./?.lua;./?/init.lua"""
0425d095,6c 75 61,lua,,"ds ""/usr/local/share/lua/5.3/?.lua;/usr/local/share/lua/5.3/?/init.lua;/usr/local/lib/lua/5.3/?.lua;/usr/local/lib/lua/5.3/?/init.lua;./?.lua;./?/init.lua"""
0425d0aa,6c 75 61,lua,,"ds ""/usr/local/share/lua/5.3/?.lua;/usr/local/share/lua/5.3/?/init.lua;/usr/local/lib/lua/5.3/?.lua;/usr/local/lib/lua/5.3/?/init.lua;./?.lua;./?/init.lua"""
0425d0b9,6c 75 61,lua,,"ds ""/usr/local/share/lua/5.3/?.lua;/usr/local/share/lua/5.3/?/init.lua;/usr/local/lib/lua/5.3/?.lua;/usr/local/lib/lua/5.3/?/init.lua;./?.lua;./?/init.lua"""
0425d0cc,6c 75 61,lua,,"ds ""/usr/local/share/lua/5.3/?.lua;/usr/local/share/lua/5.3/?/init.lua;/usr/local/lib/lua/5.3/?.lua;/usr/local/lib/lua/5.3/?/init.lua;./?.lua;./?/init.lua"""
0425d0d6,6c 75 61,lua,,"ds ""/usr/local/share/lua/5.3/?.lua;/usr/local/share/lua/5.3/?/init.lua;/usr/local/lib/lua/5.3/?.lua;/usr/local/lib/lua/5.3/?/init.lua;./?.lua;./?/init.lua"""
0425d0e9,6c 75 61,lua,,"ds ""/usr/local/share/lua/5.3/?.lua;/usr/local/share/lua/5.3/?/init.lua;/usr/local/lib/lua/5.3/?.lua;/usr/local/lib/lua/5.3/?/init.lua;./?.lua;./?/init.lua"""
0425d0f8,6c 75 61,lua,,"ds ""/usr/local/share/lua/5.3/?.lua;/usr/local/share/lua/5.3/?/init.lua;/usr/local/lib/lua/5.3/?.lua;/usr/local/lib/lua/5.3/?/init.lua;./?.lua;./?/init.lua"""
0425d100,6c 75 61,lua,,"ds ""/usr/local/share/lua/5.3/?.lua;/usr/local/share/lua/5.3/?/init.lua;/usr/local/lib/lua/5.3/?.lua;/usr/local/lib/lua/5.3/?/init.lua;./?.lua;./?/init.lua"""
0425d10d,6c 75 61,lua,,"ds ""/usr/local/share/lua/5.3/?.lua;/usr/local/share/lua/5.3/?/init.lua;/usr/local/lib/lua/5.3/?.lua;/usr/local/lib/lua/5.3/?/init.lua;./?.lua;./?/init.lua"""
041c13a8,6c 75 61,lua,,"ds ""C:/c2/p4/patch-13.0.1/work/build/vs2015.built/cross2app+standalone/NX64/Release///lua2cpp_bayonetta.nrs"""
041c1410,6c 75 61,lua,,"ds ""C:/c2/p4/patch-13.0.1/work/build/vs2015.built/cross2app+standalone/NX64/Release///lua2cpp_brave.nrs"""
041c1474,6c 75 61,lua,,"ds ""C:/c2/p4/patch-13.0.1/work/build/vs2015.built/cross2app+standalone/NX64/Release///lua2cpp_buddy.nrs"""
041c14d8,6c 75 61,lua,,"ds ""C:/c2/p4/patch-13.0.1/work/build/vs2015.built/cross2app+standalone/NX64/Release///lua2cpp_captain.nrs"""
041c153e,6c 75 61,lua,,"ds ""C:/c2/p4/patch-13.0.1/work/build/vs2015.built/cross2app+standalone/NX64/Release///lua2cpp_chrom.nrs"""
041c15a2,6c 75 61,lua,,"ds ""C:/c2/p4/patch-13.0.1/work/build/vs2015.built/cross2app+standalone/NX64/Release///lua2cpp_cloud.nrs"""
041c1343,6c 75 61,lua,,"ds ""C:/c2/p4/patch-13.0.1/work/build/vs2015.built/cross2app+standalone/NX64/Release///lua2cpp_common.nrs"""
041c1606,6c 75 61,lua,,"ds ""C:/c2/p4/patch-13.0.1/work/build/vs2015.built/cross2app+standalone/NX64/Release///lua2cpp_daisy.nrs"""
041c166a,6c 75 61,lua,,"ds ""C:/c2/p4/patch-13.0.1/work/build/vs2015.built/cross2app+standalone/NX64/Release///lua2cpp_dedede.nrs"""
041c16cf,6c 75 61,lua,,"ds ""C:/c2/p4/patch-13.0.1/work/build/vs2015.built/cross2app+standalone/NX64/Release///lua2cpp_demon.nrs"""
041c1733,6c 75 61,lua,,"ds ""C:/c2/p4/patch-13.0.1/work/build/vs2015.built/cross2app+standalone/NX64/Release///lua2cpp_diddy.nrs"""
041c1797,6c 75 61,lua,,"ds ""C:/c2/p4/patch-13.0.1/work/build/vs2015.built/cross2app+standalone/NX64/Release///lua2cpp_dolly.nrs"""
041c17fb,6c 75 61,lua,,"ds ""C:/c2/p4/patch-13.0.1/work/build/vs2015.built/cross2app+standalone/NX64/Release///lua2cpp_donkey.nrs"""
041c1860,6c 75 61,lua,,"ds ""C:/c2/p4/patch-13.0.1/work/build/vs2015.built/cross2app+standalone/NX64/Release///lua2cpp_duckhunt.nrs"""
041c18c7,6c 75 61,lua,,"ds ""C:/c2/p4/patch-13.0.1/work/build/vs2015.built/cross2app+standalone/NX64/Release///lua2cpp_edge.nrs"""
041c192a,6c 75 61,lua,,"ds ""C:/c2/p4/patch-13.0.1/work/build/vs2015.built/cross2app+standalone/NX64/Release///lua2cpp_eflame.nrs"""
041c38c3,6c 75 61,lua,,"ds ""C:/c2/p4/patch-13.0.1/work/build/vs2015.built/cross2app+standalone/NX64/Release///lua2cpp_element.nrs"""
041c198f,6c 75 61,lua,,"ds ""C:/c2/p4/patch-13.0.1/work/build/vs2015.built/cross2app+standalone/NX64/Release///lua2cpp_elight.nrs"""
041c19f4,6c 75 61,lua,,"ds ""C:/c2/p4/patch-13.0.1/work/build/vs2015.built/cross2app+standalone/NX64/Release///lua2cpp_falco.nrs"""
041c1a58,6c 75 61,lua,,"ds ""C:/c2/p4/patch-13.0.1/work/build/vs2015.built/cross2app+standalone/NX64/Release///lua2cpp_fox.nrs"""
041c1aba,6c 75 61,lua,,"ds ""C:/c2/p4/patch-13.0.1/work/build/vs2015.built/cross2app+standalone/NX64/Release///lua2cpp_gamewatch.nrs"""
