Location,Match Bytes,Match Value,Label,Code Unit
02f0bce4,4d 41 43,MAC,,?? 4Dh    M
041c20ac,6d 61 63,mac,,"ds ""C:/c2/p4/patch-13.0.1/work/build/vs2015.built/cross2app+standalone/NX64/Release///lua2cpp_littlemac.nrs"""
0443119b,6d 41 63,mAc,,"ds ""CustomAction Callback is not established. CustomActionID : %d\n"""
044311c5,6d 41 63,mAc,,"ds ""CustomAction Callback is not established. CustomActionID : %d\n"""
042f93b1,4d 41 43,MAC,,"ds ""FIGHTER_INSTANCE_WORK_ID_FLAG_SPIRITS_MACH_STAMP"""
0432ae6d,4d 41 43,MAC,,"ds ""FIGHTER_INSTANCE_WORK_ID_FLOAT_SPIRITS_MACH_STAMP_ATTACK_MUL"""
042503e3,4d 41 43,MAC,,"ds ""FIGHTER_INSTANCE_WORK_ID_INT_LITTLEMAC_KO_CAPTURE_INDEX"""
0441382c,4d 41 43,MAC,,"ds ""FIGHTER_INSTANCE_WORK_ID_INT_SPIRITS_MACH_STAMP_FRAME"""
043ae925,4d 41 43,MAC,,"ds ""FIGHTER_INSTANCE_WORK_ID_INT_SPIRITS_MACH_STAMP_OBJECT_ID"""
04291f44,4d 41 43,MAC,,"ds ""FIGHTER_KIND_LITTLEMAC"""
042ae9c6,4d 41 43,MAC,,"ds ""FIGHTER_KINETIC_TYPE_LITTLEMAC_START"""
0426a982,4d 41 43,MAC,,"ds ""FIGHTER_KINETIC_TYPE_LITTLEMAC_TERM"""
0440511d,4d 41 43,MAC,,"ds ""FIGHTER_KIRBY_STATUS_KIND_LITTLEMAC_SPECIAL_N"""
04295153,4d 41 43,MAC,,"ds ""FIGHTER_KIRBY_STATUS_KIND_LITTLEMAC_SPECIAL_N2"""
043e3a0e,4d 41 43,MAC,,"ds ""FIGHTER_KIRBY_STATUS_KIND_LITTLEMAC_SPECIAL_N_DASH"""
04457e43,4d 41 43,MAC,,"ds ""FIGHTER_KIRBY_STATUS_KIND_LITTLEMAC_SPECIAL_N_DASH_TURN"""
042d9b1b,4d 41 43,MAC,,"ds ""FIGHTER_KIRBY_STATUS_KIND_LITTLEMAC_SPECIAL_N_MAX_DASH"""
0431c4a1,4d 41 43,MAC,,"ds ""FIGHTER_KIRBY_STATUS_KIND_LITTLEMAC_SPECIAL_N_MAX_DASH_END"""
0434d890,4d 41 43,MAC,,"ds ""FIGHTER_KIRBY_STATUS_KIND_LITTLEMAC_SPECIAL_N_MAX_DASH_TURN"""
0436fab5,4d 41 43,MAC,,"ds ""FIGHTER_KIRBY_STATUS_KIND_LITTLEMAC_SPECIAL_N_START"""
043fc039,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_ARTICLE_TERM"""
043a8599,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_DAMAGE_FACE_MAX"""
0443e1ef,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_DAMAGE_FACE_NONE"""
042ae997,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_DAMAGE_FACE_USE"""
04387651,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_FINAL_TARGET_NUM"""
044604eb,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_GENERATE_ARTICLE_CHAMPIONBELT"""
0442de64,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_GENERATE_ARTICLE_DOCLOUIS"""
043ca334,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_GENERATE_ARTICLE_LITTLEMACG"""
043ca34f,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_GENERATE_ARTICLE_LITTLEMACG"""
0426aa12,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_GENERATE_ARTICLE_SWEATLITTLEMAC"""
0426aa32,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_GENERATE_ARTICLE_SWEATLITTLEMAC"""
04398158,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_GENERATE_ARTICLE_THROWSWEAT"""
04259fca,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_INSTANCE_WORK_ID_FLAG_ATTACK_HIT"""
0443e18f,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_INSTANCE_WORK_ID_FLAG_DAMAGE_MESH"""
0427b4fd,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_INSTANCE_WORK_ID_FLAG_DISABLE_SPECIAL_S"""
043980b5,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_INSTANCE_WORK_ID_FLAG_IS_SWEAT_MODEL"""
0431392a,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_INSTANCE_WORK_ID_FLAG_MTRANS_SMPL_AIR"""
042e1d42,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_INSTANCE_WORK_ID_FLAG_MTRANS_SMPL_EX1"""
0446046e,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_INSTANCE_WORK_ID_FLAG_MTRANS_SMPL_GROUND"""
04344edb,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_INSTANCE_WORK_ID_FLAG_MTRANS_SMPL_MOTION_END"""
0441d216,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_INSTANCE_WORK_ID_FLAG_NO_REACTION_HIT"""
043fbff5,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_INSTANCE_WORK_ID_FLAG_REQUEST_KO_GAUGE_MAX_EFFECT"""
0440d106,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_INSTANCE_WORK_ID_FLAG_SPECIAL_S_HOP"""
04376ef4,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_INSTANCE_WORK_ID_FLAG_SPECIAL_S_IS_RAY_CHECK_RESULT"""
0444f13e,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_INSTANCE_WORK_ID_FLAG_STRANS_0"""
04334fad,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_INSTANCE_WORK_ID_FLAG_STRANS_1"""
04259ffd,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_INSTANCE_WORK_ID_FLAG_TERM"""
04303560,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_INSTANCE_WORK_ID_FLOAT_AIR_ACCEL_Y"""
0443e1c3,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_INSTANCE_WORK_ID_FLOAT_HP"""
04313962,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_INSTANCE_WORK_ID_FLOAT_KO_GAGE"""
043a8534,4d 41 43,MAC,,"ds ""FIGHTER_LITTLEMAC_INSTANCE_WORK_ID_FLOAT_KO_GAGE_MAX_VALUE"""
