Location,Match Bytes,Match Value,Label,Code Unit
0449503e,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,?? 4Dh    M
04495fc1,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,?? 4Dh    M
043386dd,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""LanMatchCreateSessionJob::CreateMatchmakeSession"""
0425d810,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""LanMatchDestroySessionJob::UnregisterCurrentMatchmakeSession"""
0436a821,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""LanMatchDestroySessionJob::WaitUnregisterCurrentMatchmakeSession"""
0425d77d,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""LanMatchJoinSessionJob::JoinMatchmakeSession"""
04338640,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""LanMatchJoinSessionJob::LeaveMatchmakeSession"""
0424d9de,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""LanMatchJoinSessionJob::WaitForRetryJoinMatchmakeSession"""
0439b665,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""LanMatchJoinSessionJob::WaitLeaveMatchmakeSession"""
04441b10,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""LanMatchJointSessionJob::StartJoinMatchmakeSession"""
043386ac,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""LanMatchJointSessionJob::StartLeavePreviousMatchmakeSession"""
0428fef7,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""LanMatchJointSessionJob::WaitJoinMatchmakeSession"""
042b2700,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""LanMatchJointSessionJob::WaitLeavePreviousMatchmakeSession"""
043de4ea,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""LanMatchRandomMatchmakeJob::LeaveMatchmakeSession"""
042c32b9,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""LanMatchRandomMatchmakeJob::WaitLeaveMatchmakeSession"""
043bc8c2,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""LeaveSessionJob::LeaveBufferMatchmakeSession"""
04338580,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""LeaveSessionJob::LeaveCurrentMatchmakeSession"""
043487c6,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""LeaveSessionJob::WaitLeaveBufferMatchmakeSession"""
0427f001,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,s_LeaveSessionJob::WaitLeaveCurren_0427efe0,"ds ""LeaveSessionJob::WaitLeaveCurrentMatchmakeSession"""
0438af91,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""LocalMatchJoinSessionJob::JoinMatchmakeSession"""
04306a74,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""LocalMatchJoinSessionJob::LeaveMatchmakeSession"""
042b28d8,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""MatchmakeSession"""
0449ea7a,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""N2nn3nex16MatchmakeSessionE"""
0449e98f,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""N2nn3nex21_DDL_MatchmakeSessionE"""
04494f7e,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,s_N2nn3nex25JoinMatchmakeSessionPa_04494f70,"ds ""N2nn3nex25JoinMatchmakeSessionParamE"""
04494f20,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""N2nn3nex27CreateMatchmakeSessionParamE"""
04494fe0,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""N2nn3nex27UpdateMatchmakeSessionParamE"""
04494e6a,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""N2nn3nex30MatchmakeSessionSearchCriteriaE"""
04494fb3,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""N2nn3nex30_DDL_JoinMatchmakeSessionParamE"""
04494f55,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""N2nn3nex32_DDL_CreateMatchmakeSessionParamE"""
04495015,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,s_N2nn3nex32_DDL_UpdateMatchmakeSe_04495000,"ds ""N2nn3nex32_DDL_UpdateMatchmakeSessionParamE"""
04494e9f,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""N2nn3nex35_DDL_MatchmakeSessionSearchCriteriaE"""
0449eabe,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""N2nn3nex39FindMatchmakeSessionByParticipantResultE"""
04495083,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""N2nn3nex43_DDL_FindMatchmakeSessionByParticipantParamE"""
0449eb03,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""N2nn3nex44_DDL_FindMatchmakeSessionByParticipantResultE"""
04494da1,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,s_N2nn3pia3nex19NexMatchmakeSessio_04494d90,"ds ""N2nn3pia3nex19NexMatchmakeSessionE"""
04498523,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,s_N2nn3pia5local19LdnMatchmakeSess_04498510,"ds ""N2nn3pia5local19LdnMatchmakeSessionE"""
04498b15,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""N2nn3pia5local21LocalMatchmakeSessionE"""
04496cc3,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""N2nn3pia7session17IMatchmakeSessionE"""
04496c98,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""N2nn3pia7session22CommonMatchmakeSessionE"""
04431355,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""NexMatchCreateSessionJob::CreateMatchmakeSession"""
0431731c,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""NexMatchCreateSessionJob::LeaveJoinedMatchmakeSession"""
04317356,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""NexMatchCreateSessionJob::WaitLeaveJoinedMatchmakeSession"""
0438aeed,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""NexMatchDestroySessionJob::UnregisterBufferMatchmakeSession"""
043ff6e5,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""NexMatchDestroySessionJob::UnregisterCurrentMatchmakeSession"""
042f6083,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""NexMatchDestroySessionJob::WaitUnregisterBufferMatchmakeSession"""
043eed23,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""NexMatchDestroySessionJob::WaitUnregisterCurrentMatchmakeSession"""
04317240,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""NexMatchJoinSessionJob::JoinMatchmakeSession"""
044312f5,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""NexMatchJoinSessionJob::LeaveJoinedMatchmakeSession"""
043384eb,4d 61 74 63 68 6d 61 6b 65 53 65 73 73 69 6f 6e,MatchmakeSession,,"ds ""NexMatchJoinSessionJob::LeaveMatchmakeSession"""
