Location,Match Bytes,Match Value,Label,Code Unit
042f7755,4d 45 4c 45 45,MELEE,,"ds ""BUTTON_ID_MELEE"""
0426d691,4d 45 4c 45 45,MELEE,,"ds ""COMBG_KIND_MELEE"""
042a090b,4d 45 4c 45 45,MELEE,,"ds ""COMFRAME_FRAMECOLOR_MELEE"""
043ccfc4,4d 45 4c 45 45,MELEE,,"ds ""FB_MELEE_RESULT_RANK"""
0439cfd6,4d 45 4c 45 45,MELEE,,"ds ""FIGHTER_AI_MELEE_CP_LEVEL_1"""
044124f7,4d 45 4c 45 45,MELEE,,"ds ""FIGHTER_AI_MELEE_CP_LEVEL_2"""
042c4a36,4d 45 4c 45 45,MELEE,,"ds ""FIGHTER_AI_MELEE_CP_LEVEL_3"""
0439cfba,4d 45 4c 45 45,MELEE,,"ds ""FIGHTER_AI_MELEE_CP_LEVEL_4"""
042e6e9b,4d 45 4c 45 45,MELEE,,"ds ""FIGHTER_AI_MELEE_CP_LEVEL_5"""
043189b3,4d 45 4c 45 45,MELEE,,"ds ""FIGHTER_AI_MELEE_CP_LEVEL_6"""
0438c5ca,4d 45 4c 45 45,MELEE,,"ds ""FIGHTER_AI_MELEE_CP_LEVEL_7"""
04339d97,4d 45 4c 45 45,MELEE,,"ds ""FIGHTER_AI_MELEE_CP_LEVEL_8"""
043f03f6,4d 45 4c 45 45,MELEE,,"ds ""FIGHTER_AI_MELEE_CP_LEVEL_9"""
0434fca9,4d 45 4c 45 45,MELEE,,"ds ""FIGHTER_DEDEDE_INSTANCE_WORK_ID_INT_SPECIAL_MELEE_TYPE"""
042da1d5,4d 45 4c 45 45,MELEE,,"ds ""FIGHTER_LUIGI_INSTANCE_WORK_ID_FLAG_SPECIAL_S_CHARGE_MELEE_NO_RANDOM"""
042dcb0e,4d 45 4c 45 45,MELEE,,"ds ""FIGHTER_MURABITO_INSTANCE_WORK_ID_FLAG_MELEE_NO_RANDOM"""
044021ad,4d 45 4c 45 45,MELEE,,"ds ""FIGHTER_SCALING_KIND_SPECIAL_MELEE"""
04433d0b,4d 65 6c 65 65,Melee,,"ds ""FighterCheckMeleeRuleTime"""
0433bbe3,4d 45 4c 45 45,MELEE,,"ds ""ITEM_GAME_PARAM_INT_MELEE_LIFE_FRAME"""
04432c3c,4d 45 4c 45 45,MELEE,,"ds ""MELEE_CP"""
0427f988,4d 45 4c 45 45,MELEE,,"ds ""MELEE_NORMAL"""
04452404,4d 45 4c 45 45,MELEE,,"ds ""MELEE_RESULT_RANK"""
0437a117,4d 45 4c 45 45,MELEE,,"ds ""MELEE_RESULT_RANK2_DRAW"""
043fee3a,4d 45 4c 45 45,MELEE,,"ds ""MELEE_RESULT_RANK3_DRAW"""
042c28b6,4d 45 4c 45 45,MELEE,,"ds ""MELEE_RESULT_RANK4_DRAW"""
04347ca4,4d 45 4c 45 45,MELEE,,"ds ""MELEE_RESULT_RANK5_DRAW"""
042a0ab1,4d 45 4c 45 45,MELEE,,"ds ""MELEE_RESULT_RANK6_DRAW"""
042d3e88,4d 45 4c 45 45,MELEE,,"ds ""MELEE_RESULT_RANK7_DRAW"""
0431693e,4d 45 4c 45 45,MELEE,,"ds ""MELEE_RESULT_RANK8_DRAW"""
0425e326,4d 45 4c 45 45,MELEE,,"ds ""MELEE_SPECIAL_SUDDENDEATH"""
042b3329,4d 45 4c 45 45,MELEE,,"ds ""MELEE_SPECIAL_VARIOS"""
0438b959,4d 45 4c 45 45,MELEE,,"ds ""MELEE_TEAM_COMPE"""
043aa8d8,4d 45 4c 45 45,MELEE,,"ds ""MELEE_TYPE_BATTLE_ROYAL"""
0442ff90,4d 45 4c 45 45,MELEE,,"ds ""MELEE_TYPE_BONUS"""
0435826f,4d 45 4c 45 45,MELEE,,"ds ""MELEE_TYPE_CORPS"""
042e3fb0,4d 45 4c 45 45,MELEE,,"ds ""MELEE_TYPE_NORMAL"""
043cc2f3,4d 45 4c 45 45,MELEE,,"ds ""MELEE_TYPE_ONE_TO_MANY"""
042b0f01,4d 45 4c 45 45,MELEE,,"ds ""MELEE_TYPE_TEAM"""
042b0ec2,4d 65 6c 65 65,Melee,,"ds ""MeleeAllBattleResultScene"""
043ed8e8,4d 65 6c 65 65,Melee,,"ds ""MeleeAllBattleSequenceScene"""
04326eb4,4d 65 6c 65 65,Melee,,"ds ""MeleeAllBattleTieGameScene"""
0424dc68,4d 65 6c 65 65,Melee,,"ds ""MeleeManager::process"""
0441f171,4d 65 6c 65 65,Melee,,"ds ""MeleeNormalSequenceScene"""
042d31f6,4d 65 6c 65 65,Melee,,"ds ""MeleeReplayCompetitionContinuationSequenceScene"""
043899f4,4d 65 6c 65 65,Melee,,"ds ""MeleeReplayNormalSequenceScene"""
