Location,Match Bytes,Match Value,Label,Code Unit
042ea0a2,4d 45 4e 55,MENU,,?? 4Dh    M
04291436,6d 65 6e 75,menu,,?? 6Dh    m
04307d80,6d 65 6e 75,menu,,?? 6Dh    m
0439aac5,6d 65 6e 75,menu,,?? 6Dh    m
043efd7b,4d 45 4e 55,MENU,,"ds ""BUTTON_ID_EXIT_MENU"""
042c1b2b,4d 65 6e 75,Menu,,"ds ""CharaMakeEditMenuScene"""
042f6b2a,4d 65 6e 75,Menu,,"ds ""CharaMakeEditMenuSceneParameter"""
0425e88e,4d 45 4e 55,MENU,,"ds ""EXIT_MENU_INIT"""
0435ab7b,4d 45 4e 55,MENU,,"ds ""EXIT_MENU_ORE_SOUND"""
042b374c,4d 45 4e 55,MENU,,"ds ""EXIT_MENU_SAVE"""
04421737,4d 45 4e 55,MENU,,"ds ""EXIT_MENU_TEST"""
04332267,4d 45 4e 55,MENU,,"ds ""FIGHTER_COMMON_START_KIND_MENU"""
04265bb7,4d 45 4e 55,MENU,,"ds ""FIGHTER_PALUTENA_INSTANCE_WORK_ID_FLAG_MENU_MOTION"""
04398682,4d 45 4e 55,MENU,,"ds ""FIGHTER_SHULK_INSTANCE_WORK_ID_FLAG_SPECIAL_N_CIRCLE_MENU"""
043ca8ea,4d 45 4e 55,MENU,,"ds ""FIGHTER_SHULK_INSTANCE_WORK_ID_FLAG_SPECIAL_N_CIRCLE_MENU_DAMAGE_STATUS"""
0425a4dc,4d 45 4e 55,MENU,,"ds ""FIGHTER_SHULK_INSTANCE_WORK_ID_FLAG_SPECIAL_N_SHOW_CIRCLE_MENU_GAUGE"""
043673b1,4d 45 4e 55,MENU,,"ds ""FIGHTER_SHULK_INSTANCE_WORK_ID_INT_SPECIAL_N_CIRCLE_MENU_TIMER"""
042a3c11,4d 45 4e 55,MENU,,"ds ""GROUND_COLL_ATTR_NUMENUME"""
0431873e,4d 45 4e 55,MENU,,"ds ""INIT_MENU_SELECT_ID"""
043bd1af,4d 45 4e 55,MENU,,"ds ""INPUT_OPEN_SUBMENU"""
04291a2f,4d 45 4e 55,MENU,,"ds ""IS_MENU"""
043bd437,4d 45 4e 55,MENU,,"ds ""IS_MENU_FILTER"""
043bd44d,4d 45 4e 55,MENU,,"ds ""IS_RETURN_MENU"""
0427fdfd,4d 45 4e 55,MENU,,"ds ""MENU_VIBRATION"""
04358227,4d 65 6e 75,Menu,,"ds ""MainMenuScene"""
0427d954,4d 65 6e 75,Menu,,"ds ""MenuSequenceScene"""
043ccbf2,4d 65 6e 75,Menu,,"ds ""MetatableLayoutSubMenu"""
044516b8,4d 65 6e 75,Menu,,"ds ""SpiritsCampaignMenuScene"""
04379560,4d 65 6e 75,Menu,,"ds ""StageMakeTopMenuScene"""
042c37f1,4d 65 6e 75,Menu,,"ds ""StageMakeTopMenuSceneParameter"""
042ed880,4d 45 4e 55,MENU,,"ds ""WEAPON_ROSETTA_TICO_INSTANCE_WORK_ID_FLAG_MENU_MODE"""
042077d8,4d 45 4e 55,MENU,,"ds ""_ZN3app10sv_animcmd7IS_MENUEP9lua_State"""
0438b928,6d 65 6e 75,menu,,"ds ""btn_menu_cursor"""
042913bc,6d 65 6e 75,menu,,"ds ""cam_fac_menu_accessible_energy"""
0439ca85,6d 65 6e 75,menu,,"ds ""cam_fac_menu_accessible_sp"""
0439caa0,6d 65 6e 75,menu,,"ds ""cam_fac_menu_accessible_support_item"""
0435ae18,6d 65 6e 75,menu,,"ds ""cam_fac_menu_exp_up"""
042c453f,6d 65 6e 75,menu,,"ds ""cam_fac_menu_forget_school"""
0435ae2c,6d 65 6e 75,menu,,"ds ""cam_fac_menu_shop_title"""
0437bc5a,6d 65 6e 75,menu,,"ds ""cam_info_menu_new_n"""
043effa5,6d 65 6e 75,menu,,"ds ""cam_menu_etc_easy"""
0435ae51,6d 65 6e 75,menu,,"ds ""cam_menu_etc_hard"""
043effb7,6d 65 6e 75,menu,s_cam_menu_etc_help_button_option_043effb3,"ds ""cam_menu_etc_help_button_option"""
04339873,6d 65 6e 75,menu,,"ds ""cam_menu_etc_help_directory"""
042b3a8c,6d 65 6e 75,menu,,"ds ""cam_menu_etc_help_grade"""
04421a53,6d 65 6e 75,menu,,"ds ""cam_menu_etc_help_how_to_play"""
0424ec75,6d 65 6e 75,menu,,"ds ""cam_menu_etc_help_item_list"""
042b3aa4,6d 65 6e 75,menu,,"ds ""cam_menu_etc_help_save"""
0437bc82,6d 65 6e 75,menu,,"ds ""cam_menu_etc_help_spirits_directory"""
0439caf2,6d 65 6e 75,menu,,"ds ""cam_menu_etc_normal"""
0424ec4a,6d 65 6e 75,menu,,"ds ""cam_menu_etc_very_easy"""
042d5a2a,6d 65 6e 75,menu,,"ds ""color_menu"""
044543c4,6d 65 6e 75,menu,,"ds ""color_select_menu"""
04400db8,6d 65 6e 75,menu,,"ds ""edit_stage_submenu_material_00"""
043186d6,6d 65 6e 75,menu,,"ds ""edit_stage_submenu_material_01"""
042e6ab2,6d 65 6e 75,menu,,"ds ""edit_stage_submenu_material_02"""
04454334,6d 65 6e 75,menu,,"ds ""edit_stage_submenu_material_03"""
04400dd7,6d 65 6e 75,menu,,"ds ""edit_stage_submenu_material_04"""
043ad066,6d 65 6e 75,menu,,"ds ""edit_stage_submenu_material_05"""
043f012c,6d 65 6e 75,menu,,"ds ""edit_stage_submenu_material_06"""
044328e8,6d 65 6e 75,menu,,"ds ""edit_stage_submenu_material_07"""
04339a1e,6d 65 6e 75,menu,,"ds ""edit_stage_submenu_material_08"""
0435b02a,6d 65 6e 75,menu,,"ds ""edit_stage_submenu_material_09"""
042e6ad1,6d 65 6e 75,menu,,"ds ""edit_stage_submenu_material_10"""
043f014b,6d 65 6e 75,menu,,"ds ""edit_stage_submenu_material_11"""
042b3bfb,6d 65 6e 75,menu,,"ds ""edit_stage_submenu_material_12"""
043186f5,6d 65 6e 75,menu,,"ds ""edit_stage_submenu_material_13"""
04339a3d,6d 65 6e 75,menu,,"ds ""edit_stage_submenu_material_14"""
0426f9f4,6d 65 6e 75,menu,,"ds ""edit_tlmenu_item"""
0439ce33,6d 65 6e 75,menu,,"ds ""edit_tlmenu_seek"""
042f7df0,6d 65 6e 75,menu,,"ds ""edit_tlmenu_transition"""
042e664d,6d 65 6e 75,menu,,"ds ""edited_menu_vibration"""
043be2f0,6d 65 6e 75,menu,,"ds ""get_bool_of_debug_resident_menu"""
044434ef,6d 65 6e 75,menu,,"ds ""get_float_of_debug_resident_menu"""
0424f29f,6d 65 6e 75,menu,,"ds ""get_int_of_debug_resident_menu"""
0438c371,6d 65 6e 75,menu,,"ds ""get_submenu_result"""
