Location,Match Bytes,Match Value,Label,Code Unit
04338194,4e 49 4e 54 45 4e 44 4f,NINTENDO,,"ds ""1.2.11.f-NINTENDO-SDK-v1"""
043e0afb,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""Battle_Nintendogs"""
0437a1e0,6e 69 6e 74 65 6e 64 6f,nintendo,s_C:/c2/nintendo/NintendoSDK-NXAdd_0437a1da,"ds ""C:/c2/nintendo/NintendoSDK-NXAddon/NintendoSDK/../NintendoSDK-NEX/include\\OnlineCore/src/Core/InstanceTable.h"""
0437a1e9,4e 69 6e 74 65 6e 64 6f,Nintendo,s_C:/c2/nintendo/NintendoSDK-NXAdd_0437a1da,"ds ""C:/c2/nintendo/NintendoSDK-NXAddon/NintendoSDK/../NintendoSDK-NEX/include\\OnlineCore/src/Core/InstanceTable.h"""
0437a1fd,4e 69 6e 74 65 6e 64 6f,Nintendo,s_C:/c2/nintendo/NintendoSDK-NXAdd_0437a1da,"ds ""C:/c2/nintendo/NintendoSDK-NXAddon/NintendoSDK/../NintendoSDK-NEX/include\\OnlineCore/src/Core/InstanceTable.h"""
0437a20c,4e 69 6e 74 65 6e 64 6f,Nintendo,s_C:/c2/nintendo/NintendoSDK-NXAdd_0437a1da,"ds ""C:/c2/nintendo/NintendoSDK-NXAddon/NintendoSDK/../NintendoSDK-NEX/include\\OnlineCore/src/Core/InstanceTable.h"""
041c39a7,6e 69 6e 74 65 6e 64 6f,nintendo,,"ds ""C:/c2/nintendo/NintendoSDK-NXAddon/NintendoSDK/Libraries/NX-NXFP2-a64/Release//multimedia.nss"""
041c39b0,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""C:/c2/nintendo/NintendoSDK-NXAddon/NintendoSDK/Libraries/NX-NXFP2-a64/Release//multimedia.nss"""
041c39c4,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""C:/c2/nintendo/NintendoSDK-NXAddon/NintendoSDK/Libraries/NX-NXFP2-a64/Release//multimedia.nss"""
04410a2f,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""D:\\home\\ead-p2p\\Env\\Lib\\NintendoSDK\\NintendoSDK-NEX\\NintendoSDK-NEX-for_NX-4_6_3-S820-20190417-ja\\NintendoSDK-NEX\\Include\\OnlineCore/src/Core/InstanceTable.h"""
04410a3b,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""D:\\home\\ead-p2p\\Env\\Lib\\NintendoSDK\\NintendoSDK-NEX\\NintendoSDK-NEX-for_NX-4_6_3-S820-20190417-ja\\NintendoSDK-NEX\\Include\\OnlineCore/src/Core/InstanceTable.h"""
04410a4b,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""D:\\home\\ead-p2p\\Env\\Lib\\NintendoSDK\\NintendoSDK-NEX\\NintendoSDK-NEX-for_NX-4_6_3-S820-20190417-ja\\NintendoSDK-NEX\\Include\\OnlineCore/src/Core/InstanceTable.h"""
04410a79,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""D:\\home\\ead-p2p\\Env\\Lib\\NintendoSDK\\NintendoSDK-NEX\\NintendoSDK-NEX-for_NX-4_6_3-S820-20190417-ja\\NintendoSDK-NEX\\Include\\OnlineCore/src/Core/InstanceTable.h"""
04422a77,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""End_Nintendogs"""
04414061,4e 49 4e 54 45 4e 44 4f,NINTENDO,,"ds ""ITEM_KIND_FOR_DUET_NINTENDOGS"""
04309995,4e 49 4e 54 45 4e 44 4f,NINTENDO,,"ds ""ITEM_KIND_FOR_DUET_NINTENDOGSHI"""
04281f0c,4e 49 4e 54 45 4e 44 4f,NINTENDO,,"ds ""ITEM_KIND_NINTENDOGS"""
0438df17,4e 49 4e 54 45 4e 44 4f,NINTENDO,,"ds ""ITEM_KIND_NINTENDOGSHI"""
0449e725,4e 69 6e 74 65 6e 64 6f,Nintendo,s_N2nn3nex20PseudoGlobalVariableIN_0449e700,"ds ""N2nn3nex20PseudoGlobalVariableINS0_37NintendoAuthenticationDDLDeclarationsEEE"""
0449dd95,4e 69 6e 74 65 6e 64 6f,Nintendo,s_N2nn3nex20PseudoGlobalVariableIN_0449dd70,"ds ""N2nn3nex20PseudoGlobalVariableINS0_41NintendoProtocolFoundationDDLDeclarationsEEE"""
0449da5a,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""N2nn3nex25NintendoNotificationEventE"""
0449da8f,4e 69 6e 74 65 6e 64 6f,Nintendo,s_N2nn3nex30_DDL_NintendoNotificat_0449da80,"ds ""N2nn3nex30_DDL_NintendoNotificationEventE"""
0449d85a,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""N2nn3nex32NintendoNotificationEventManagerE"""
0449e6ca,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""N2nn3nex37NintendoAuthenticationDDLDeclarationsE"""
0449d88a,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""N2nn3nex41NintendoProtocolFoundationDDLDeclarationsE"""
0449d821,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""N2nn3nex46_Proto_NintendoNotificationEventProtocolServerE"""
043ee852,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""Nintendo"""
0427f079,4e 69 6e 74 65 6e 64 6f,Nintendo,s_NintendoNotificationEventManager_0427f079,"ds ""NintendoNotificationEventManager"""
042c5a3a,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""Nintendogs"""
04f15f8b,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NEX-4_6_13-appc2"""
04f16006,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NEX_CO-4_6_13"""
04f15fe8,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NEX_DS-4_6_13"""
04f15fac,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NEX_MM-4_6_13"""
04f16024,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NEX_SC-4_6_13"""
04f15fca,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NEX_UT-4_6_13"""
04f15db4,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NintendoSDK_gfx-8_2_1-Release"""
04f15dbd,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NintendoSDK_gfx-8_2_1-Release"""
04f15d53,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NintendoSDK_libcurl-8_2_1-Release"""
