Location,Match Bytes,Match Value,Label,Code Unit
0449513e,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,?? 4Eh    N
0449516a,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,?? 4Eh    N
04495ce4,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,s_N12_GLOBAL__N_131NexNotification_04495cd0,"ds ""N12_GLOBAL__N_131NexNotificationEventHandler4PiaE"""
0449db1a,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,s_N2nn3nex17NotificationEventE_0449db10,"ds ""N2nn3nex17NotificationEventE"""
0449fd93,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""N2nn3nex21DataStoreNotificationE"""
0449db3f,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""N2nn3nex22_DDL_NotificationEventE"""
0449fce3,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""N2nn3nex23DataStoreNotificationV1E"""
0449d8fa,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""N2nn3nex24NotificationEventManagerE"""
0449da62,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""N2nn3nex25NintendoNotificationEventE"""
0449fdc8,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""N2nn3nex26_DDL_DataStoreNotificationE"""
0449fd18,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""N2nn3nex28_DDL_DataStoreNotificationV1E"""
0449f19b,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""N2nn3nex29JobDataStoreCheckNotificationE"""
0449e030,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,s_N2nn3nex30GlobalNotificationEven_0449e020,"ds ""N2nn3nex30GlobalNotificationEventManagerE"""
0449da97,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,s_N2nn3nex30_DDL_NintendoNotificat_0449da80,"ds ""N2nn3nex30_DDL_NintendoNotificationEventE"""
0449f636,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,s_N2nn3nex32DataStoreGetNotificati_0449f620,"ds ""N2nn3nex32DataStoreGetNotificationUrlParamE"""
0449d862,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""N2nn3nex32NintendoNotificationEventManagerE"""
0449d8d1,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""N2nn3nex33_Proto_NotificationProtocolServerE"""
0449f5c9,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""N2nn3nex34DataStoreReqGetNotificationUrlInfoE"""
0449f66b,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,s_N2nn3nex37_DDL_DataStoreGetNotif_0449f650,"ds ""N2nn3nex37_DDL_DataStoreGetNotificationUrlParamE"""
0449f5fe,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""N2nn3nex39_DDL_DataStoreReqGetNotificationUrlInfoE"""
0449f9a0,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""N2nn3nex40DataStoreGetNewArrivedNotificationsParamE"""
0449f9e5,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,s_N2nn3nex45_DDL_DataStoreGetNewAr_0449f9c0,"ds ""N2nn3nex45_DDL_DataStoreGetNewArrivedNotificationsParamE"""
0449d829,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""N2nn3nex46_Proto_NintendoNotificationEventProtocolServerE"""
04495c41,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""N2nn3pia3nex22NexNotificationDataJobE"""
042c312d,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""NexMatchCreateSessionJob::WaitNotification"""
04452d90,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""NexMatchJoinSessionJob::WaitNotification"""
04359700,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""NexMatchJointSessionJob::WaitNotification"""
0426e3d1,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""NexMatchRandomMatchmakeJob::WaitNotification"""
0427f081,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,s_NintendoNotificationEventManager_0427f079,"ds ""NintendoNotificationEventManager"""
0433880e,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,s_NotificationEventManager_0433880e,"ds ""NotificationEventManager"""
04246b7c,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""_ZN2nn2oe25TryPopNotificationMessageEPj"""
04246aff,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""_ZN2nn2oe27GetNotificationMessageEventEv"""
04249341,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""_ZN2nn2oe42SetOperationModeChangedNotificationEnabledEb"""
042465dd,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""_ZN2nn5audio39AcquireAudioDeviceNotificationForOutputEPNS_2os11SystemEventE"""
042483f6,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""_ZN2nn7friends17NotificationQueue10InitializeERKNS_7account3UidE"""
04248437,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""_ZN2nn7friends17NotificationQueue14GetSystemEventEv"""
0424846b,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""_ZN2nn7friends17NotificationQueue3PopEPNS0_16NotificationInfoE"""
04248488,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""_ZN2nn7friends17NotificationQueue3PopEPNS0_16NotificationInfoE"""
042483c9,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""_ZN2nn7friends17NotificationQueue8FinalizeEv"""
042485dd,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""_ZN2nn7friends17NotificationQueueC1Ev"""
04248620,4e 6f 74 69 66 69 63 61 74 69 6f 6e,Notification,,"ds ""_ZN2nn7friends17NotificationQueueD1Ev"""
