Location,Match Bytes,Match Value,Label,Code Unit
04394182,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""FIGHTER_CLOUD_STATUS_FINAL_FLAG_HIT_2_OPPONENT"""
043a4602,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""FIGHTER_CLOUD_STATUS_FINAL_FLAG_HIT_ALL_OPPONENT"""
0426826e,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""FIGHTER_DOLLY_STATUS_FINAL_SCENE03_WORK_FLAG_PLAY_MOTION_OPPONENT"""
04395818,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""FIGHTER_DOLLY_STATUS_FINAL_SCENE03_WORK_FLAG_SET_MOTION_RATE_OPPONENT"""
04289e58,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""FIGHTER_DOLLY_STATUS_FINAL_SCENE05_WORK_FLAG_DAMAGE_FLY_OPPONENT"""
0444c88f,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""FIGHTER_DOLLY_STATUS_FINAL_WORK_INT_OPPONENT_OBJECT_ID"""
0440486e,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""FIGHTER_DONKEY_STATUS_FINAL_FLAG_HIT_ALL_OPPONENT"""
043a997c,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""FIGHTER_GAOGAEN_STATUS_SPECIAL_HI_FLAG_DISABLE_OPPONENT_PASSIVE"""
042ed049,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""FIGHTER_IKE_STATUS_FINAL_FLAG_HIT_ALL_OPPONENT"""
044024bf,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""FIGHTER_INSTANCE_WORK_ID_INT_BURY_R_THROW_OPPONENT_OBJECT_ID"""
043676de,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""FIGHTER_KROOL_STATUS_SPECIAL_N_WORK_INT_OPPONENT_REACTION_FRAME"""
04283cf4,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""FIGHTER_LINK_INSTANCE_WORK_ID_INT_WAIT_OPPONENT_OBJECT_ID"""
04376f8c,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""FIGHTER_LITTLEMAC_STATUS_FINAL_FLAG_HIT_ALL_OPPONENT"""
0444de72,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""FIGHTER_MIIFIGHTER_STATUS_WORK_ID_FLAG_100KICK_DISABLE_OPPONENT_PASSIVE"""
04343faa,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""FIGHTER_MIISWORDSMAN_STATUS_COUNTER_WORK_INT_OPPONENT_OBJECT_ID"""
0442bca5,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""FIGHTER_PICKEL_STATUS_FINAL_INT_OPPONENT_OBJECT_ID"""
043a0de8,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""FIGHTER_PIKACHU_STATUS_FINAL_FLAG_HIT_ALL_OPPONENT"""
042ffc3d,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""FIGHTER_ROY_STATUS_FINAL_FLAG_HIT_ALL_OPPONENT"""
0444adfb,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""FIGHTER_RYU_INSTANCE_WORK_ID_FLAG_NEAR_OPPONENT"""
04383733,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""FIGHTER_RYU_INSTANCE_WORK_ID_FLOAT_OPPONENT_LR_1ON1"""
04302f7d,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""FIGHTER_SHEIK_STATUS_FINAL_FLAG_HIT_ALL_OPPONENT"""
042bef36,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""FIGHTER_SHEIK_STATUS_FINAL_WORK_INT_OPPONENT_NUM"""
043d1750,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""FIGHTER_SHIELD_INSTANCE_WORK_ID_INT_WAIT_OPPONENT_OBJECT_ID"""
043bf57b,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""FIGHTER_SPECIAL_COMMAND_USER_INSTANCE_WORK_ID_FLOAT_OPPONENT_LR_1ON1"""
043d20fb,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""FIGHTER_STATUS_MIIFIGHTER_THROWN_WORK_INT_OPPONENT_OBJCET_ID"""
042c5dc5,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""HIT_STOP_MUL_TARGET_OPPONENT"""
0435be1f,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""MA_MSC_CMD_SEARCH_SET_OPPONENT"""
042e7116,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""SLOW_OPPONENT"""
0429df99,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""WEAPON_DUCKHUNT_CLAY_INSTANCE_WORK_ID_FLAG_IS_OPPONENT_BREAK"""
043eba01,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""WEAPON_DUCKHUNT_GUNMANBULLET_INSTANCE_WORK_ID_FLOAT_HIT_OPPONENT_DISTANCE"""
043b961b,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""WEAPON_DUCKHUNT_GUNMANBULLET_INSTANCE_WORK_ID_INT_HIT_OPPONENT_ID"""
04374d33,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""WEAPON_MASTER_ARROW1_STATUS_WORK_FLOAT_BACKUP_HIT_OPPONENT_DISTANCE_END"""
0431143f,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""WEAPON_MASTER_ARROW1_STATUS_WORK_FLOAT_BACKUP_HIT_OPPONENT_DISTANCE_START"""
043a5d91,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""WEAPON_MASTER_ARROW1_STATUS_WORK_FLOAT_HIT_OPPONENT_DISTANCE"""
042df68c,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""WEAPON_MASTER_ARROW1_STATUS_WORK_INT_HIT_OPPONENT_ID"""
043f9e3c,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""WEAPON_MASTER_ARROW1_STATUS_WORK_INT_HIT_REFLECTOR_OPPONENT_ID_DEBUG"""
043d48d2,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""WEAPON_PIKMIN_PIKMIN_INSTANCE_WORK_ID_INT_ATTACK_AIR_SHIELD_HIT_OPPONENT_ID"""
0445b560,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""WEAPON_REFLET_GIGAFIRE_INSTANCE_WORK_ID_INT_OPPONENT_CATEGORY"""
043d618c,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""WEAPON_REFLET_THUNDER_INSTANCE_WORK_ID_INT_OPPONENT_CATEGORY"""
0426879f,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""WEAPON_TANTAN_BEAM_STATUS_WORK_ID_FLOAT_HIT_OPPONENT_DISTANCE"""
04209348,4f 50 50 4f 4e 45 4e 54,OPPONENT,,"ds ""_ZN3app10sv_animcmd13SLOW_OPPONENTEP9lua_State"""
041edc6f,6f 70 70 6f 6e 65 6e 74,opponent,,"ds ""_ZN3app11FighterUtil24get_opponent_fighter_numERNS_26BattleObjectModuleAccessorEb"""
041ef428,6f 70 70 6f 6e 65 6e 74,opponent,,"ds ""_ZN3app24FighterSpecializer_Demon23update_opponent_lr_1on1ERNS_26BattleObjectModuleAccessorEi"""
041ef9d9,6f 70 70 6f 6e 65 6e 74,opponent,,"ds ""_ZN3app24FighterSpecializer_Dolly23update_opponent_lr_1on1ERNS_26BattleObjectModuleAccessorEi"""
041f94c8,6f 70 70 6f 6e 65 6e 74,opponent,,"ds ""_ZN3app7fighter22set_opponent_team_slowEP9lua_Stateii"""
041f94fe,6f 70 70 6f 6e 65 6e 74,opponent,,"ds ""_ZN3app7fighter22set_opponent_team_stopEP9lua_Statei"""
0420f50c,6f 70 70 6f 6e 65 6e 74,opponent,,"ds ""_ZN3app8lua_bind38AttackModule__set_no_hop_opponent_implEPNS_26BattleObjectModuleAccessorEibb"""
