Location,Match Bytes,Match Value,Label,Code Unit
0437c22e,50 48 41 53 45,PHASE,,"ds ""ATTACK_PHASE_ACTIVE"""
04329d73,50 48 41 53 45,PHASE,,"ds ""ATTACK_PHASE_END"""
043dff57,50 48 41 53 45,PHASE,,"ds ""ATTACK_PHASE_NONE"""
0435b4fc,50 48 41 53 45,PHASE,,"ds ""ATTACK_PHASE_PREPARE"""
043f05dc,50 48 41 53 45,PHASE,,"ds ""ATTACK_PHASE_START"""
0439d18d,50 48 41 53 45,PHASE,,"ds ""ATTACK_PHASE_TERM"""
0426df68,70 68 61 73 65,phase,,"ds ""CONNECT phase completed!\n"""
043e79d8,50 48 41 53 45,PHASE,,"ds ""FIGHTER_BAYONETTA_FINAL_TARGET_WORK_INT_PHASE"""
043a5951,50 48 41 53 45,PHASE,,"ds ""FIGHTER_BUDDY_FINAL_TARGET_WORK_INT_PHASE"""
0426a20b,50 48 41 53 45,PHASE,,"ds ""FIGHTER_CAPTAIN_FINAL_TARGET_WORK_INT_PHASE"""
04355203,50 48 41 53 45,PHASE,,"ds ""FIGHTER_CAPTAIN_STATUS_WORK_ID_INT_FALCON_PUNCH_AIR_PHASE"""
0443d9e2,50 48 41 53 45,PHASE,,"ds ""FIGHTER_CAPTAIN_STATUS_WORK_ID_INT_FALCON_PUNCH_PREV_AIR_PHASE"""
04433c57,50 48 41 53 45,PHASE,,"ds ""FIGHTER_DEAD_PHASE_ACT"""
0425fe99,50 48 41 53 45,PHASE,,"ds ""FIGHTER_DEAD_PHASE_END"""
04413691,50 48 41 53 45,PHASE,,"ds ""FIGHTER_DEAD_PHASE_TERM"""
042e8071,50 48 41 53 45,PHASE,,"ds ""FIGHTER_DEAD_PHASE_WAIT"""
0432fa22,50 48 41 53 45,PHASE,,"ds ""FIGHTER_DEDEDE_FINAL_TARGET_WORK_INT_PHASE"""
043daf14,50 48 41 53 45,PHASE,,"ds ""FIGHTER_DUCKHUNT_FINAL_TARGET_WORK_INT_PHASE"""
042854d6,50 48 41 53 45,PHASE,,"ds ""FIGHTER_FALCO_FINAL_TARGET_WORK_INT_PHASE"""
0433dc71,50 48 41 53 45,PHASE,,"ds ""FIGHTER_FOX_FINAL_TARGET_WORK_INT_PHASE"""
0438705d,50 48 41 53 45,PHASE,,"ds ""FIGHTER_GANON_STATUS_WORK_ID_FLAG_EXPLOSION_PHASE_NEXT"""
042e18ca,50 48 41 53 45,PHASE,,"ds ""FIGHTER_GANON_STATUS_WORK_ID_INT_EXPLOSION_PHASE"""
0435566b,50 48 41 53 45,PHASE,,"ds ""FIGHTER_GANON_STATUS_WORK_ID_INT_GANON_PUNCH_AIR_PHASE"""
04313500,50 48 41 53 45,PHASE,,"ds ""FIGHTER_GANON_STATUS_WORK_ID_INT_GANON_PUNCH_PREV_AIR_PHASE"""
0431fd29,50 48 41 53 45,PHASE,,"ds ""FIGHTER_GEKKOUGA_STATUS_WORK_ID_INT_QUICK_ATTACK_PHASE"""
0440dd4b,50 48 41 53 45,PHASE,,"ds ""FIGHTER_KAMUI_FINAL_TARGET_WORK_INT_PHASE"""
043881ce,50 48 41 53 45,PHASE,,"ds ""FIGHTER_KROOL_FINAL_TARGET_WORK_INT_PHASE"""
0445a331,50 48 41 53 45,PHASE,,"ds ""FIGHTER_LUCARIO_STATUS_WORK_ID_INT_SPLIT_APPEAR_PHASE"""
043569dc,50 48 41 53 45,PHASE,,"ds ""FIGHTER_MIIENEMYF_STATUS_WORK_ID_INT_BAKURETU_KICK_AIR_PHASE"""
0440deda,50 48 41 53 45,PHASE,,"ds ""FIGHTER_MIIENEMYF_STATUS_WORK_ID_INT_BAKURETU_KICK_PREV_AIR_PHASE"""
0435472a,50 48 41 53 45,PHASE,,"ds ""FIGHTER_MIIFIGHTER_STATUS_WORK_ID_INT_BAKURETU_KICK_AIR_PHASE"""
0440c10c,50 48 41 53 45,PHASE,,"ds ""FIGHTER_MIIFIGHTER_STATUS_WORK_ID_INT_BAKURETU_KICK_PREV_AIR_PHASE"""
043d313b,50 48 41 53 45,PHASE,,"ds ""FIGHTER_PIKACHU_STATUS_WORK_ID_INT_QUICK_ATTACK_PHASE"""
043a12da,50 48 41 53 45,PHASE,,"ds ""FIGHTER_POPO_STATUS_SPECIAL_S_FLAG_PHASE_END"""
0437358c,50 48 41 53 45,PHASE,,"ds ""FIGHTER_ROCKMAN_FINAL_TARGET_WORK_INT_PHASE"""
0427bb7a,50 48 41 53 45,PHASE,,"ds ""FIGHTER_SHULK_FINAL_TARGET_WORK_INT_PHASE"""
0425706b,50 48 41 53 45,PHASE,,"ds ""FIGHTER_SIMON_FINAL_TARGET_WORK_INT_PHASE"""
043c4eec,50 48 41 53 45,PHASE,,"ds ""FIGHTER_SONIC_STATUS_SPECIAL_S_END_WORK_INT_WAIT_MTRANS_TYPE_PHASE01"""
0431efff,50 48 41 53 45,PHASE,,"ds ""FIGHTER_SONIC_STATUS_SPECIAL_S_END_WORK_INT_WAIT_MTRANS_TYPE_PHASE02"""
043c0dfb,50 48 41 53 45,PHASE,,"ds ""FIGHTER_STATUS_DEAD_WORK_INT_PHASE"""
043c14c0,50 48 41 53 45,PHASE,,"ds ""FIGHTER_STATUS_LINK_FINAL_WORK_INT_PHASE"""
0429c545,50 48 41 53 45,PHASE,,"ds ""FIGHTER_TRAIL_FINAL_TARGET_WORK_INT_PHASE"""
043a18fc,50 48 41 53 45,PHASE,,"ds ""FIGHTER_WARIO_FINAL_TARGET_WORK_INT_PHASE"""
04389274,50 48 41 53 45,PHASE,,"ds ""ITEM_CRAZYHAND_STATUS_KIND_TRANS_PHASE"""
042c1908,50 48 41 53 45,PHASE,,"ds ""ITEM_KIILADARZ_MESSAGE_KIND_COMMON_TRANS_PHASE"""
044621a8,50 48 41 53 45,PHASE,,"ds ""ITEM_MASTERHAND_STATUS_KIND_TRANS_PHASE"""
04456399,50 48 41 53 45,PHASE,,"ds ""ITEM_STATUS_KIND_TRANS_PHASE"""
04439004,50 48 41 53 45,PHASE,,"ds ""WEAPON_ROSETTA_POINTER_INSTANCE_WORK_ID_FLOAT_PHASE_LENGTH"""
042ed7dd,50 48 41 53 45,PHASE,,"ds ""WEAPON_ROSETTA_POINTER_INSTANCE_WORK_ID_FLOAT_PHASE_POS"""
043e91a3,50 48 41 53 45,PHASE,,"ds ""WEAPON_TANTAN_SPIRALLEFT_STATUS_REWIND_INT_PHASE"""
0443c0f2,50 48 41 53 45,PHASE,,"ds ""WEAPON_TANTAN_SPIRALLEFT_STATUS_REWIND_PHASE_BRAKE"""
043c81ac,50 48 41 53 45,PHASE,,"ds ""WEAPON_TANTAN_SPIRALLEFT_STATUS_REWIND_PHASE_END"""
043fa32e,50 48 41 53 45,PHASE,,"ds ""WEAPON_TANTAN_SPIRALLEFT_STATUS_REWIND_PHASE_REWIND"""
042df9e0,50 48 41 53 45,PHASE,,"ds ""WEAPON_TANTAN_SPIRALLEFT_STATUS_SHOOT_INT_PHASE"""
0428a303,50 48 41 53 45,PHASE,,"ds ""WEAPON_TANTAN_SPIRALLEFT_STATUS_SHOOT_PHASE_BRAKE"""
0438573d,50 48 41 53 45,PHASE,,"ds ""WEAPON_TANTAN_SPIRALLEFT_STATUS_SHOOT_PHASE_HOLD"""
042dfa52,50 48 41 53 45,PHASE,,"ds ""WEAPON_TANTAN_SPIRALLEFT_STATUS_SHOOT_PHASE_REWIND"""
042f0843,50 48 41 53 45,PHASE,,"ds ""WEAPON_TANTAN_SPIRALLEFT_STATUS_SHOOT_PHASE_SHOOT"""
041c4b0d,70 68 61 73 65,phase,,"ds ""_ZN3app2ai12attack_phaseEP9lua_State"""
042b3dce,70 68 61 73 65,phase,,"ds ""attack_phase"""
042917cd,70 68 61 73 65,phase,,"ds ""chase_phase"""
0444332b,70 68 61 73 65,phase,,"ds ""fireflower_phase"""
0439cf8d,70 68 61 73 65,phase,,"ds ""hammer_phase"""
0424efc0,70 68 61 73 65,phase,,"ds ""set_phase_name"""
042a2a23,70 68 61 73 65,phase,,"ds ""target_attack_phase"""
04246f78,4d 6f 64 65,Mode,,?? 4Dh    M
04246f8d,4d 6f 64 65,Mode,,?? 4Dh    M
044011ce,4d 6f 64 65,Mode,,?? 4Dh    M
04291788,6d 6f 64 65,mode,,?? 6Dh    m
042c4013,6d 6f 64 65,mode,,?? 6Dh    m
042f74d7,6d 6f 64 65,mode,,?? 6Dh    m
0435a579,6d 6f 64 65,mode,,?? 6Dh    m
0435a9f6,6d 6f 64 65,mode,,?? 6Dh    m
0439c6d0,6d 6f 64 65,mode,,?? 6Dh    m
0439c721,6d 6f 64 65,mode,,?? 6Dh    m
043df3dd,6d 6f 64 65,mode,,?? 6Dh    m
04441ba1,6d 6f 64 65,mode,,"ds ""  alloc_mode: %s\n"""
042e59a2,6d 6f 64 65,mode,,"ds ""%s/%s/model/%s/c%02d/model.numdlb"""
042e59b1,6d 6f 64 65,mode,,"ds ""%s/%s/model/%s/c%02d/model.numdlb"""
0424de6c,6d 6f 64 65,mode,,"ds ""%s/%s/model/body"""
04453e8d,4d 4f 44 45,MODE,,"ds ""BUTTON_ID_MODE"""
0441f396,4d 6f 64 65,Mode,,"ds ""BarrelModel_O_OBJ_O_HIR_"""
043dd146,4d 6f 64 65,Mode,,"ds ""BarrelModel_O_OBJ_O_HIR__"""
043e00fd,4d 4f 44 45,MODE,,"ds ""CHECK_FINISH_CAMERA_IF_NOT_HP_MODE"""
04281297,4d 4f 44 45,MODE,,"ds ""DAMAGE_NO_REACTION_MODE_ALWAYS"""
04422ccc,4d 4f 44 45,MODE,,"ds ""DAMAGE_NO_REACTION_MODE_DAMAGE_POWER"""
0441346f,4d 4f 44 45,MODE,,"ds ""DAMAGE_NO_REACTION_MODE_DAMAGE_POWER_COUNT"""
04270954,4d 4f 44 45,MODE,,"ds ""DAMAGE_NO_REACTION_MODE_NONE"""
0437cf34,4d 4f 44 45,MODE,,"ds ""DAMAGE_NO_REACTION_MODE_NORMAL"""
0445541f,4d 4f 44 45,MODE,,"ds ""DAMAGE_NO_REACTION_MODE_REACTION_VALUE"""
042a399c,4d 4f 44 45,MODE,,"ds ""DAMAGE_NO_REACTION_MODE_TERM"""
042e8053,4d 4f 44 45,MODE,,"ds ""FIGHTER_DEAD_MODE_DEADUP_FALL"""
0445569a,4d 4f 44 45,MODE,,"ds ""FIGHTER_DEAD_MODE_DEADUP_GALAGA"""
042f9063,4d 4f 44 45,MODE,,"ds ""FIGHTER_DEAD_MODE_DEADUP_STAR"""
0425fe74,4d 4f 44 45,MODE,,"ds ""FIGHTER_DEAD_MODE_LOTTERY_CAMERA_HIT"""
