Location,Match Bytes,Match Value,Label,Code Unit
04079b58,50 48 58,PHX,,?? 50h    P
04654e5d,50 48 78,PHx,,?? 50h    P
04c2d950,50 48 78,PHx,,?? 50h    P
04c2dbf0,50 48 78,PHx,,?? 50h    P
04079ba0,70 48 58,pHX,,?? 70h    p
0407e238,70 48 58,pHX,,?? 70h    p
041f50a5,70 68 78,phx,,?? 70h    p
041f50ea,70 68 78,phx,,?? 70h    p
04245e9a,70 68 78,phx,,?? 70h    p
0458f058,70 68 58,phX,,?? 70h    p
04c2d490,70 48 78,pHx,,?? 70h    p
04c2d8f0,70 48 78,pHx,,?? 70h    p
04d0ceb0,70 68 78,phx,,?? 70h    p
041fc46e,70 68 78,phx,,"ds ""_ZN3app10flyandhand16set_camera_rangeERKN3phx8Vector4fE"""
041f8ca1,70 68 78,phx,,"ds ""_ZN3app10item_other12throw_attackEPNS_26BattleObjectModuleAccessorEfRKN3phx8Vector3fEf"""
041fe5e2,70 68 78,phx,,"ds ""_ZN3app10masterhand23send_link_event_clatterERNS_18ItemModuleAccessorEN3phx6Hash40Eiiif"""
041fe73e,70 68 78,phx,,"ds ""_ZN3app10masterhand23transform_affine_vectorERNS_18ItemModuleAccessorEN3phx6Hash40ERKNS3_8Vector3fE"""
041fd1fd,70 68 78,phx,,"ds ""_ZN3app10shiokarazu13find_ptrainerERKN3phx8Vector4fEff"""
041fd12f,70 68 78,phx,,"ds ""_ZN3app10shiokarazu14set_dead_rangeERKN3phx8Vector4fE"""
041fd166,70 68 78,phx,,"ds ""_ZN3app10shiokarazu14start_zoom_outEiRKN3phx8Vector4fE"""
041fd0f9,70 68 78,phx,,"ds ""_ZN3app10shiokarazu16set_camera_rangeERKN3phx8Vector4fE"""
041fcf79,70 68 78,phx,,"ds ""_ZN3app10shiokarazu23get_shrink_finish_frameEN3phx8Vector2fERKNS1_8Vector4fES3_"""
041fcfd5,70 68 78,phx,,"ds ""_ZN3app10shiokarazu35set_change_fighter_restart_positionEN3phx8Vector3fE"""
041ed748,70 68 78,phx,,"ds ""_ZN3app11FighterUtil12set_hit_dataERNS_26BattleObjectModuleAccessorEiiRKN3phx8Vector3fES6_fNS3_6Hash40ENS_13CollisionPartENS_9HitHeightENS_9HitStatusENS_18CollisionShapeTypeE"""
041ed6e6,70 68 78,phx,,"ds ""_ZN3app11FighterUtil14get_bezier_posERKN3phx8Vector3fES4_fffRS2_"""
041ee0a7,70 68 78,phx,,"ds ""_ZN3app11FighterUtil14start_zoom_outEN3phx8Vector3fES2_i"""
041ee77b,70 68 78,phx,,"ds ""_ZN3app11FighterUtil15get_pos_on_lineERNS_26BattleObjectModuleAccessorEPKNS_19GroundCollisionLineEffRN3phx8Vector2fE"""
041ed301,70 68 78,phx,,"ds ""_ZN3app11FighterUtil16is_hammer_motionEN3phx6Hash40E"""
041ee1bf,70 68 78,phx,,"ds ""_ZN3app11FighterUtil19get_cliff_xlu_frameERNS_26BattleObjectModuleAccessorEN3phx6Hash40E"""
