Location,Match Bytes,Match Value,Label,Code Unit
043ccc7d,70 6f 70 75 70,popup,,?? 70h    p
042b199d,50 6f 70 75 70,Popup,,"ds ""AppPopupManager"""
04328d1f,50 4f 50 55 50,POPUP,,"ds ""BACK_POPUP_ID"""
0427e2b4,50 6f 70 75 70,Popup,,"ds ""MetatableAppPopupManager"""
0431677e,50 4f 50 55 50,POPUP,,"ds ""POPUP_RESULT_BUTTON1"""
04347b11,50 4f 50 55 50,POPUP,,"ds ""POPUP_RESULT_BUTTON2"""
04379f49,50 4f 50 55 50,POPUP,,"ds ""POPUP_RESULT_NO"""
0428f188,50 4f 50 55 50,POPUP,,"ds ""POPUP_RESULT_NONE"""
043dd8f2,50 4f 50 55 50,POPUP,,"ds ""POPUP_RESULT_OK"""
0440ff72,50 4f 50 55 50,POPUP,s_POPUP_RESULT_YES_0440ff72,"ds ""POPUP_RESULT_YES"""
0439be5f,70 6f 70 75 70,popup,,"ds ""get_amiibo_confirm_popup_result"""
043ce109,70 6f 70 75 70,popup,,"ds ""get_disable_made_stage_popup_id_sub_list"""
04306f56,70 6f 70 75 70,popup,,"ds ""get_no_delete_popup_id"""
0435a2c3,70 6f 70 75 70,popup,,"ds ""is_finish_popup"""
042b34c9,70 6f 70 75 70,popup,s_is_popup_result_yes_042b34c6,"ds ""is_popup_result_yes"""
04411565,70 6f 70 75 70,popup,,"ds ""mnu_insert_popup_detail"""
0442100b,70 6f 70 75 70,popup,s_mnu_insert_popup_get_04421000,"ds ""mnu_insert_popup_get"""
043ac466,70 6f 70 75 70,popup,,"ds ""mnu_insert_popup_grade_up"""
0439bc5d,70 6f 70 75 70,popup,,"ds ""mnu_insert_popup_help_%s"""
043bd356,70 6f 70 75 70,popup,,"ds ""mnu_insert_popup_move_challengers"""
04420fd1,70 6f 70 75 70,popup,,"ds ""mnu_insert_popup_move_guide"""
042f6f6e,70 6f 70 75 70,popup,,"ds ""mnu_insert_popup_move_soundtest"""
04420fed,70 6f 70 75 70,popup,,"ds ""mnu_insert_popup_move_spboard"""
04307129,70 6f 70 75 70,popup,,"ds ""mnu_insert_popup_next_time_btn"""
043ef5d5,70 6f 70 75 70,popup,,"ds ""mnu_insert_popup_ok_btn"""
042d4f2e,70 6f 70 75 70,popup,,"ds ""mnu_insert_popup_recall"""
043ef5ed,70 6f 70 75 70,popup,,"ds ""mnu_insert_popup_receive_already_btn"""
042b2f3b,70 6f 70 75 70,popup,,"ds ""mnu_insert_popup_receive_btn"""
042f6e02,70 6f 70 75 70,popup,,"ds ""mnu_insert_popup_receive_expired_btn"""
0439c0f2,70 6f 70 75 70,popup,,"ds ""mnu_insert_popup_reward_g"""
04431d02,70 6f 70 75 70,popup,,"ds ""mnu_insert_popup_reward_sp"""
0439c0dc,70 6f 70 75 70,popup,,"ds ""mnu_insert_popup_skip"""
04338e43,70 6f 70 75 70,popup,,"ds ""mnu_insert_popup_skip_guide"""
0426ecc8,70 6f 70 75 70,popup,,"ds ""mnu_insert_popup_sound_stop"""
04453752,70 6f 70 75 70,popup,,"ds ""mnu_insert_popup_sound_try"""
043bd3ae,70 6f 70 75 70,popup,,"ds ""mnu_insert_popup_unlock"""
0441135f,70 6f 70 75 70,popup,,"ds ""open_amiibo_confirm_popup"""
04306f7a,70 6f 70 75 70,popup,,"ds ""open_amiibo_register_error_popup"""
043bd19b,70 6f 70 75 70,popup,,"ds ""open_differ_fighter_select_popup"""
04453e4a,70 6f 70 75 70,popup,,"ds ""open_popup"""
0438bb57,70 6f 70 75 70,popup,,"ds ""open_popup_window"""
04400103,70 6f 70 75 70,popup,,"ds ""panel_type_popup"""
043ab098,70 6f 70 75 70,popup,,"ds ""popup/popup_0/popup_0_"""
043ab09e,70 6f 70 75 70,popup,,"ds ""popup/popup_0/popup_0_"""
043ab0a6,70 6f 70 75 70,popup,,"ds ""popup/popup_0/popup_0_"""
04451fd3,70 6f 70 75 70,popup,,"ds ""popup/popup_1/popup_1_"""
04451fd9,70 6f 70 75 70,popup,,"ds ""popup/popup_1/popup_1_"""
04451fe1,70 6f 70 75 70,popup,,"ds ""popup/popup_1/popup_1_"""
042d5732,70 6f 70 75 70,popup,,"ds ""popup_change_00"""
0436b8a1,70 6f 70 75 70,popup,,"ds ""popup_change_00_00"""
0426f335,70 6f 70 75 70,popup,,"ds ""popup_change_00_01"""
044009d1,70 6f 70 75 70,popup,,"ds ""popup_change_01"""
0439c8d9,70 6f 70 75 70,popup,,"ds ""popup_change_02"""
0436b891,70 6f 70 75 70,popup,,"ds ""popup_change_03"""
0429142d,70 6f 70 75 70,popup,,"ds ""popup_in"""
042a2754,70 6f 70 75 70,popup,,"ds ""popup_out"""
0436afb0,70 6f 70 75 70,popup,,"ds ""prize_popup"""
04411fd8,70 6f 70 75 70,popup,,"ds ""selector_popup"""
04442fbd,70 6f 70 75 70,popup,,"ds ""set_cost_popup"""
042f7478,70 6f 70 75 70,popup,,"ds ""set_part_msg_popup"""
