Location,Match Bytes,Match Value,Label,Code Unit
0449d709,50 72 6f 74 6f 63 6f 6c,Protocol,,?? 50h    P
044a1263,50 72 6f 74 6f 63 6f 6c,Protocol,,?? 50h    P
042e568a,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds "" Protocol ID="""
0426e5a4,50 52 4f 54 4f 43 4f 4c,PROTOCOL,,"ds ""(KickoutReason_Unknown PROTOCOL NAME)"""
0435934f,70 72 6f 74 6f 63 6f 6c,protocol,,"ds ""<no protocol>"""
0431759e,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""CallProtocolMethod"""
043abd5e,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""ClientProtocol"""
04328606,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""ClientProtocolRequestBroker: Error processing message. pBuffer="""
0424dbdf,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""GET %s HTTP/1.1\r\nHost: %s\r\nUpgrade: websocket\r\nConnection: upgrade\r\nSec-WebSocket-Key: %s\r\nSec-WebSocket-Version: 13\r\nSec-WebSocket-Protocol: %s\r\n\r\n"""
0424db26,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""MeshProtocolReliable receive buffer num"""
042d4838,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""MeshProtocolReliable send buffer num"""
0449cdf2,50 72 6f 74 6f 63 6f 6c,Protocol,s_N2nn3nex12ObjectThreadINS0_26Tra_0449cdb0,"ds ""N2nn3nex12ObjectThreadINS0_26TransportBufferMultiThread24TransportProtocolContextEiEE"""
0449d6f0,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex14ClientProtocolE"""
0449d730,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex14ServerProtocolE"""
0449e10a,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex16ProtocolRegistryE"""
0449d6ca,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex19ProtocolCallContextE"""
0449ddf5,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex20PseudoGlobalVariableINS0_33ProtocolFoundationDDLDeclarationsEEE"""
0449dd9d,50 72 6f 74 6f 63 6f 6c,Protocol,s_N2nn3nex20PseudoGlobalVariableIN_0449dd70,"ds ""N2nn3nex20PseudoGlobalVariableINS0_41NintendoProtocolFoundationDDLDeclarationsEEE"""
0449c80a,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex21ProtocolMessageHolderE"""
0449ee71,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex21UtilityProtocolClientE"""
0449f133,50 72 6f 74 6f 63 6f 6c,Protocol,s_N2nn3nex23DataStoreProtocolClien_0449f120,"ds ""N2nn3nex23DataStoreProtocolClientE"""
0449d784,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex23JobProcessProtocolEventE"""
044a1334,50 72 6f 74 6f 63 6f 6c,Protocol,s_N2nn3nex24TournamentProtocolClie_044a1320,"ds ""N2nn3nex24TournamentProtocolClientE"""
0449d7b4,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex25JobProcessProtocolMessageE"""
0449e855,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex25MatchMakingProtocolClientE"""
0449ec1b,50 72 6f 74 6f 63 6f 6c,Protocol,s_N2nn3nex25NATTraversalRelayProto_0449ec00,"ds ""N2nn3nex25NATTraversalRelayProtocolE"""
0449eca6,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex26NATTraversalProtocolClientE"""
0449d69e,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex27CallProtocolMethodOperationE"""
0449dfa0,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex27ClientProtocolRequestBrokerE"""
0449e885,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex28MatchMakingProtocolExtClientE"""
0449da38,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex28TicketGrantingProtocolClientE"""
0449ebeb,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex29NATTraversalRelayProtocolImplE"""
0449ed9a,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex30MatchmakeRefereeProtocolClientE"""
0449d94a,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex30ProtocolRequestBrokerInterfaceE"""
0449d98a,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex30SecureConnectionProtocolClientE"""
0449e9fc,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex32MatchmakeExtensionProtocolClientE"""
0449d66a,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex33ProtocolFoundationDDLDeclarationsE"""
0449ebbd,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex33_Proto_NATTraversalProtocolServerE"""
0449d8dd,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex33_Proto_NotificationProtocolServerE"""
0449ece4,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex40NATTraversalReportInternalProtocolClientE"""
0449d892,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex41NintendoProtocolFoundationDDLDeclarationsE"""
0449d83a,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3nex46_Proto_NintendoNotificationEventProtocolServerE"""
044962e1,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3pia3lan11LanProtocolE"""
04493eaa,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3pia3nex20NatTraversalProtocolE"""
044995a3,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3pia4mesh12MeshProtocolE"""
044998d8,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3pia4mesh17SyncClockProtocol4DataE"""
044998a8,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3pia4mesh17SyncClockProtocolE"""
0449965a,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3pia4mesh19MeshStationProtocolE"""
04498603,50 72 6f 74 6f 63 6f 6c,Protocol,s_N2nn3pia5local11LdnProtocolE_044985f0,"ds ""N2nn3pia5local11LdnProtocolE"""
04498e05,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3pia5local13LocalProtocolE"""
04497269,50 72 6f 74 6f 63 6f 6c,Protocol,s_N2nn3pia7session15SessionProtoco_04497250,"ds ""N2nn3pia7session15SessionProtocolE"""
04498087,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3pia9transport11RttProtocol4DataE"""
04498057,50 72 6f 74 6f 63 6f 6c,Protocol,,"ds ""N2nn3pia9transport11RttProtocolE"""
