Location,Match Bytes,Match Value,Label,Code Unit
0428f8df,50 72 6f 78 79,Proxy,,?? 50h    P
04441726,50 72 6f 78 79,Proxy,,?? 50h    P
042a0e42,70 72 6f 78 79,proxy,,?? 70h    p
044529d8,50 52 4f 58 59,PROXY,,"ds ""ALL_PROXY"""
043ff446,70 72 6f 78 79,proxy,,"ds ""Couldn't resolve proxy '%s'"""
04327e14,70 72 6f 78 79,proxy,,"ds ""Establish HTTP proxy tunnel to %s:%hu\n"""
04348193,70 72 6f 78 79,proxy,,"ds ""Failed sending CONNECT to proxy"""
043cd3ae,70 72 6f 78 79,proxy,,"ds ""HTTP/1.0 proxy connection set to keep alive!\n"""
043481b1,70 72 6f 78 79,proxy,,"ds ""HTTP/1.1 proxy connection set close!\n"""
04441786,50 52 4f 58 59,PROXY,,"ds ""NO_PROXY"""
043ff40c,70 72 6f 78 79,proxy,,"ds ""No valid port number in proxy string (%s)\n"""
0436a25c,50 72 6f 78 79,Proxy,,"ds ""Proxy CONNECT aborted due to timeout"""
043de010,50 72 6f 78 79,Proxy,,"ds ""Proxy CONNECT aborted"""
0439b07b,50 72 6f 78 79,Proxy,,"ds ""Proxy CONNECT connection closed\n"""
044416e0,50 72 6f 78 79,Proxy,,"ds ""Proxy replied OK to CONNECT request\n"""
042e4fa0,50 72 6f 78 79,Proxy,s_Proxy-Connection:_Keep-Alive_042e4fa0,"ds ""Proxy-Connection: Keep-Alive\r\n"""
044105ea,50 72 6f 78 79,Proxy,,"ds ""Proxy-Connection:"""
0425d21d,50 72 6f 78 79,Proxy,,"ds ""Proxy-authenticate:"""
043ee728,50 72 6f 78 79,Proxy,,"ds ""Proxy-authorization:"""
042a0ea6,70 72 6f 78 79,proxy,,"ds ""Received HTTP code %d from proxy after CONNECT"""
0438a9b6,70 72 6f 78 79,proxy,,"ds ""SOCKS4%s: connecting to HTTP proxy %s port %d\n"""
043482fa,70 72 6f 78 79,proxy,,"ds ""SOCKS5: connecting to HTTP proxy %s port %d\n"""
044106f6,70 72 6f 78 79,proxy,,"ds ""Too long SOCKS proxy name, can't use!\n"""
044529ea,70 72 6f 78 79,proxy,,"ds ""Unsupported proxy '%s', libcurl is built without the HTTPS-proxy support."""
04452a19,70 72 6f 78 79,proxy,,"ds ""Unsupported proxy '%s', libcurl is built without the HTTPS-proxy support."""
042e508a,70 72 6f 78 79,proxy,,"ds ""Unsupported proxy scheme for '%s'"""
0437a6e3,50 52 4f 58 59,PROXY,,"ds ""Warning: CURLOPT_PROXYAUTOCONFIG is 1 (default), so options set via CURLOPT_PROXY* are ignored.\n"""
0437a71e,50 52 4f 58 59,PROXY,,"ds ""Warning: CURLOPT_PROXYAUTOCONFIG is 1 (default), so options set via CURLOPT_PROXY* are ignored.\n"""
0428fa88,50 72 6f 78 79,Proxy,,"ds ""\nError: nn::nifm::GetCurrentProxySetting() failed. Err Desc: %d\n\n"""
0424a63c,50 72 6f 78 79,Proxy,,"ds ""_ZN2nn4nifm22GetCurrentProxySettingEPNS0_12ProxySettingE"""
0424a650,50 72 6f 78 79,Proxy,,"ds ""_ZN2nn4nifm22GetCurrentProxySettingEPNS0_12ProxySettingE"""
0439b172,70 72 6f 78 79,proxy,,"ds ""all_proxy"""
0437a753,70 72 6f 78 79,proxy,,"ds ""http_proxy"""
043ab724,70 72 6f 78 79,proxy,,"ds ""no_proxy"""
043ee783,70 72 6f 78 79,proxy,,"ds ""unknown proxytype option given"""
