Location,Match Bytes,Match Value,Label,Code Unit
043490ed,52 65 61 64 79,Ready,,?? 52h    R
0436c024,52 45 41 44 59,READY,,"ds ""BRAVE_ST_SP_HI1_READY"""
04421ece,52 45 41 44 59,READY,,"ds ""BRAVE_ST_SP_HI2_READY"""
042e6f2e,52 45 41 44 59,READY,,"ds ""BRAVE_ST_SP_HI3_READY"""
043be255,52 45 41 44 59,READY,,"ds ""BRAVE_ST_SP_N1_READY"""
0439d141,52 45 41 44 59,READY,,"ds ""BRAVE_ST_SP_N2_READY"""
0436c00e,52 45 41 44 59,READY,,"ds ""BRAVE_ST_SP_N3_READY"""
0438c747,52 45 41 44 59,READY,,"ds ""BRAVE_ST_SP_S1_READY"""
042c4c60,52 45 41 44 59,READY,,"ds ""BRAVE_ST_SP_S2_READY"""
0428068d,52 45 41 44 59,READY,,"ds ""BRAVE_ST_SP_S3_READY"""
0425d63c,72 65 61 64 79,ready,,"ds ""ConnectionStripeSystem is already initialized.\n"""
042f5f1d,72 65 61 64 79,ready,,"ds ""EmitterSet has been already deleted.\n"""
043422b3,52 45 41 44 59,READY,,"ds ""FIGHTER_BRAVE_FINAL_MODULE_READY_EXEC"""
0429af1e,52 45 41 44 59,READY,,"ds ""FIGHTER_BRAVE_FINAL_MODULE_READY_EXIT"""
043b6471,52 45 41 44 59,READY,,"ds ""FIGHTER_BRAVE_FINAL_MODULE_READY_EXIT_PRE"""
042abcb7,52 45 41 44 59,READY,,"ds ""FIGHTER_BRAVE_FINAL_MODULE_READY_INIT"""
043328b9,52 45 41 44 59,READY,,"ds ""FIGHTER_BRAVE_STATUS_KIND_FINAL_READY"""
042efeb5,52 45 41 44 59,READY,,"ds ""FIGHTER_BUDDY_FINAL_MODULE_READY_EXEC"""
0443b6d8,52 45 41 44 59,READY,,"ds ""FIGHTER_BUDDY_FINAL_MODULE_READY_EXIT"""
042ce55f,52 45 41 44 59,READY,,"ds ""FIGHTER_BUDDY_FINAL_MODULE_READY_EXIT_PRE"""
043c77f8,52 45 41 44 59,READY,,"ds ""FIGHTER_BUDDY_FINAL_MODULE_READY_INIT"""
04257a89,52 45 41 44 59,READY,,"ds ""FIGHTER_BUDDY_STATUS_FINAL_FLAG_READY_START_SLOW"""
04311049,52 45 41 44 59,READY,,"ds ""FIGHTER_BUDDY_STATUS_KIND_FINAL_READY"""
04459f1d,52 45 41 44 59,READY,,"ds ""FIGHTER_DEDEDE_STATUS_KIND_FINAL_READY"""
0429bff0,52 45 41 44 59,READY,,"ds ""FIGHTER_DEMON_FINAL_MODULE_READY_EXEC"""
042f0d7a,52 45 41 44 59,READY,,"ds ""FIGHTER_DEMON_FINAL_MODULE_READY_EXIT"""
0440b780,52 45 41 44 59,READY,,"ds ""FIGHTER_DEMON_FINAL_MODULE_READY_INIT"""
042587e7,52 45 41 44 59,READY,,"ds ""FIGHTER_DEMON_STATUS_KIND_FINAL_READY"""
0431e6a2,52 45 41 44 59,READY,,"ds ""FIGHTER_DIDDY_STATUS_KIND_FINAL_READY_CHARGE"""
04438210,52 45 41 44 59,READY,,"ds ""FIGHTER_DIDDY_STATUS_KIND_FINAL_READY_END"""
0442b206,52 45 41 44 59,READY,,"ds ""FIGHTER_DOLLY_FINAL_MODULE_READY_EXEC"""
04353426,52 45 41 44 59,READY,,"ds ""FIGHTER_DOLLY_FINAL_MODULE_READY_EXIT"""
