Location,Match Bytes,Match Value,Label,Code Unit
042a1a24,52 45 47 49 53 54 45 52,REGISTER,,"ds ""AMIIBO_JUST_REGISTERED"""
044534ea,52 45 47 49 53 54 45 52,REGISTER,,"ds ""AMIIBO_REGISTER_NOT_UPDATED"""
043ac1dd,52 45 47 49 53 54 45 52,REGISTER,,"ds ""AMIIBO_REGISTER_SUCCESS"""
042a15f7,52 65 67 69 73 74 65 72,Register,,"ds ""CallContextRegister"""
04410f02,52 65 67 69 73 74 65 72,Register,,"ds ""CallContextRegister::CheckExpiredCalls"""
043abd17,52 65 67 69 73 74 65 72,Register,,"ds ""CallContextRegisterCheckExpiredCalls"""
0437ac0d,72 65 67 69 73 74 65 72,register,,"ds ""LanMatchCreateSessionJob::UnregisterGathering"""
04317410,72 65 67 69 73 74 65 72,register,,"ds ""LanMatchCreateSessionJob::WaitUnregisterGathering"""
0425d801,72 65 67 69 73 74 65 72,register,,"ds ""LanMatchDestroySessionJob::UnregisterCurrentMatchmakeSession"""
0436a812,72 65 67 69 73 74 65 72,register,,"ds ""LanMatchDestroySessionJob::WaitUnregisterCurrentMatchmakeSession"""
042d46ce,72 65 67 69 73 74 65 72,register,,"ds ""LanMatchRandomMatchmakeJob::UnregisterGathering"""
0435991a,72 65 67 69 73 74 65 72,register,,"ds ""LanMatchRandomMatchmakeJob::WaitUnregisterGathering"""
0449bcd9,52 65 67 69 73 74 65 72,Register,,"ds ""N2nn3nex13MethodCallJobINS0_19CallContextRegisterEiNS0_11PeriodicJobEEE"""
0449b865,52 65 67 69 73 74 65 72,Register,s_N2nn3nex19CallContextRegisterE_0449b850,"ds ""N2nn3nex19CallContextRegisterE"""
044313b0,72 65 67 69 73 74 65 72,register,,"ds ""NexMatchCreateSessionJob::UnregisterGathering"""
042c3178,72 65 67 69 73 74 65 72,register,,"ds ""NexMatchCreateSessionJob::WaitUnregisterGathering"""
0438aedf,72 65 67 69 73 74 65 72,register,,"ds ""NexMatchDestroySessionJob::UnregisterBufferMatchmakeSession"""
043ff6d6,72 65 67 69 73 74 65 72,register,,"ds ""NexMatchDestroySessionJob::UnregisterCurrentMatchmakeSession"""
042f6075,72 65 67 69 73 74 65 72,register,,"ds ""NexMatchDestroySessionJob::WaitUnregisterBufferMatchmakeSession"""
043eed14,72 65 67 69 73 74 65 72,register,,"ds ""NexMatchDestroySessionJob::WaitUnregisterCurrentMatchmakeSession"""
042415f6,52 65 67 69 73 74 65 72,Register,,"ds ""_ZN2nn2ro18RegisterModuleInfoEPNS0_16RegistrationInfoEPKv"""
04241632,72 65 67 69 73 74 65 72,register,,"ds ""_ZN2nn2ro20UnregisterModuleInfoEPNS0_16RegistrationInfoE"""
0424579f,52 65 67 69 73 74 65 72,Register,,"ds ""_ZN2nn3nfp15GetRegisterInfoEPNS0_12RegisterInfoERKNS0_12DeviceHandleE"""
042457b3,52 65 67 69 73 74 65 72,Register,,"ds ""_ZN2nn3nfp15GetRegisterInfoEPNS0_12RegisterInfoERKNS0_12DeviceHandleE"""
0424589e,52 65 67 69 73 74 65 72,Register,,"ds ""_ZN2nn3nfp29StartNicknameAndOwnerSettingsEPNS0_12DeviceHandleEPbPNS0_12RegisterInfoERKNS0_24AmiiboSettingsStartParamERKNS0_7TagInfoE"""
04245923,52 65 67 69 73 74 65 72,Register,,"ds ""_ZN2nn3nfp29StartNicknameAndOwnerSettingsEPNS0_12DeviceHandleEPbPNS0_12RegisterInfoERKNS0_24AmiiboSettingsStartParamERKNS0_7TagInfoERKS4_"""
0422a5b9,72 65 67 69 73 74 65 72,register,,"ds ""_ZN3app8lua_bind44SoundModule__play_landing_se_registered_implEPNS_26BattleObjectModuleAccessorE"""
0439aea3,72 65 67 69 73 74 65 72,register,,"ds ""function or expression needs too many registers"""
0426ea72,72 65 67 69 73 74 65 72,register,,"ds ""get_amiibo_register_applet_result"""
04328a6c,72 65 67 69 73 74 65 72,register,,"ds ""is_amiibo_register_applet_finished"""
042c2d80,52 65 67 69 73 74 65 72,Register,,"ds ""nvnDeviceRegisterFastClearColor"""
042a0f76,52 65 67 69 73 74 65 72,Register,,"ds ""nvnDeviceRegisterFastClearColori"""
043cd4b8,52 65 67 69 73 74 65 72,Register,,"ds ""nvnDeviceRegisterFastClearColorui"""
043ff497,52 65 67 69 73 74 65 72,Register,,"ds ""nvnDeviceRegisterFastClearDepth"""
0426e164,52 65 67 69 73 74 65 72,Register,,"ds ""nvnSamplerPoolRegisterSampler"""
043cd52a,52 65 67 69 73 74 65 72,Register,,"ds ""nvnSamplerPoolRegisterSamplerBuilder"""
04328157,52 65 67 69 73 74 65 72,Register,,"ds ""nvnTexturePoolRegisterImage"""
043ee8d1,52 65 67 69 73 74 65 72,Register,,"ds ""nvnTexturePoolRegisterTexture"""
043ffe1f,72 65 67 69 73 74 65 72,register,,"ds ""open_amiibo_register_applet"""
04306f6b,72 65 67 69 73 74 65 72,register,,"ds ""open_amiibo_register_error_popup"""
0439d537,72 65 67 69 73 74 65 72,register,,"ds ""play_landing_se_registered"""
042a2cc5,72 65 67 69 73 74 65 72,register,,"ds ""register_camera_subjects_with_fighter_entry_locations"""
0425d5fb,72 65 67 69 73 74 65 72,register,,"ds ""vfx system deleted the registered binary. resource id : %d."""
044312ac,72 65 67 69 73 74 65 72,register,,"ds ""vfx system deleted the registered binary. resource id : %d.\n"""
