Location,Match Bytes,Match Value,Label,Code Unit
0428edc9,72 6f 6f 6d,room,,?? 72h    r
042a06b2,72 6f 6f 6d,room,,?? 72h    r
042f52b0,72 6f 6f 6d,room,,?? 72h    r
04305b2b,72 6f 6f 6d,room,,?? 72h    r
043699b0,72 6f 6f 6d,room,,?? 72h    r
043bbb2d,72 6f 6f 6d,room,,?? 72h    r
043edf6a,72 6f 6f 6d,room,,?? 72h    r
043fe8c7,72 6f 6f 6d,room,,?? 72h    r
0443057f,72 6f 6f 6d,room,,?? 72h    r
042f4bee,52 6f 6f 6d,Room,,"ds ""ChallengerRoomSequenceScene"""
04309108,52 4f 4f 4d,ROOM,,"ds ""FIGHTER_INSTANCE_WORK_ID_FLAG_HEAD_MUSHROOM"""
0432aeea,52 4f 4f 4d,ROOM,,"ds ""FIGHTER_INSTANCE_WORK_ID_INT_HEAD_MUSHROOM_COUNTER"""
043f8a16,52 4f 4f 4d,ROOM,,"ds ""FIGHTER_SHIZUE_GENERATE_ARTICLE_BROOM"""
04308fdc,52 4f 4f 4d,ROOM,,"ds ""FIGHTER_SPECIFIC_STATUS_HEAD_MUSHROOM"""
042a2131,52 4f 4f 4d,ROOM,,"ds ""IS_JOIN_ROOM"""
043bf9f5,52 4f 4f 4d,ROOM,,"ds ""ITEM_KIND_FOR_DUET_MUSHROOM"""
0438de7d,52 4f 4f 4d,ROOM,,"ds ""ITEM_KIND_MUSHROOM"""
04336694,52 4f 4f 4d,ROOM,,"ds ""ITEM_MUSHROOM_STATUS_KIND_TURN"""
0434650f,52 4f 4f 4d,ROOM,,"ds ""ITEM_VARIATION_ST_ICE_YASAI_MUSHROOM"""
044a1042,52 6f 6f 6d,Room,,"ds ""N2nn3nex36SmartDeviceVoiceChatJoinRoomResponseE"""
044a0e32,52 6f 6f 6d,Room,,"ds ""N2nn3nex44SmartDeviceVoiceChatJoinRoomCompleteCallbackE"""
044408dc,52 6f 6f 6d,Room,,"ds ""OnlineMeleeRoomChangeRuleScene"""
0428e6da,52 6f 6f 6d,Room,s_OnlineMeleeRoomScene_0428e6cf,"ds ""OnlineMeleeRoomScene"""
04453405,52 6f 6f 6d,Room,,"ds ""OnlineMeleeRoomSceneParameter"""
0436925e,52 6f 6f 6d,Room,,"ds ""OnlineMeleeRoomSequenceScene"""
043aa87b,52 6f 6f 6d,Room,,"ds ""OnlineMeleeRoomTopScene"""
0433701a,52 6f 6f 6d,Room,,"ds ""OnlineMeleeRoomTopSceneParameter"""
044213da,52 4f 4f 4d,ROOM,,"ds ""SEQUENCE_ONLINE_MELEE_ROOM"""
042b2918,52 6f 6f 6d,Room,,"ds ""SmartDeviceVoiceChatJoinRoomCompleteCallback"""
043e0772,52 4f 4f 4d,ROOM,,"ds ""WEAPON_KIND_SHIZUE_BROOM"""
0429a2ea,52 4f 4f 4d,ROOM,,"ds ""WEAPON_SHIZUE_BROOM_INSTANCE_WORK_ID_FLOAT_START"""
043b59cc,52 4f 4f 4d,ROOM,,"ds ""WEAPON_SHIZUE_BROOM_INSTANCE_WORK_ID_FLOAT_TERM"""
043841be,52 4f 4f 4d,ROOM,,"ds ""WEAPON_SHIZUE_BROOM_INSTANCE_WORK_ID_INT_START"""
0441a744,52 4f 4f 4d,ROOM,,"ds ""WEAPON_SHIZUE_BROOM_INSTANCE_WORK_ID_INT_TERM"""
043103b0,52 4f 4f 4d,ROOM,,"ds ""WEAPON_SHIZUE_BROOM_STATUS_KIND_NONE"""
0443ad67,52 4f 4f 4d,ROOM,,"ds ""WEAPON_SHIZUE_BROOM_STATUS_KIND_NORMAL"""
043f8bca,52 4f 4f 4d,ROOM,,"ds ""WEAPON_SHIZUE_BROOM_STATUS_KIND_NUM"""
0443058b,72 6f 6f 6d,room,s__room057_0443058a,"ds ""_room057"""
042e4b40,72 6f 6f 6d,room,,"ds ""broom"""
042e461d,72 6f 6f 6d,room,,"ds ""dragonroom"""
04389f4d,72 6f 6f 6d,room,,"ds ""dyr_s03_bg_room_a_set"""
04440cf5,72 6f 6f 6d,room,,"ds ""dyr_s03_bg_room_b_set"""
042b14da,72 6f 6f 6d,room,,"ds ""dyr_s03_bg_room_c_set"""
042e56b3,52 6f 6f 6d,Room,,"ds ""joinRoom"""
0433882c,52 6f 6f 6d,Room,,"ds ""leaveRoom"""
043cdf47,72 6f 6f 6d,room,,"ds ""mel_chara_select_online_room"""
0437b6b9,72 6f 6f 6d,room,,"ds ""mnu_online_room_amiibo_off"""
0435a976,72 6f 6f 6d,room,,"ds ""mnu_online_room_amiibo_on"""
0440078d,72 6f 6f 6d,room,,"ds ""mnu_online_room_cancel_btn"""
04339348,72 6f 6f 6d,room,,"ds ""mnu_online_room_create_detail"""
0437b727,72 6f 6f 6d,room,,"ds ""mnu_online_room_create_host_account"""
0432913e,72 6f 6f 6d,room,,"ds ""mnu_online_room_create_make_btn"""
044007a8,72 6f 6f 6d,room,,"ds ""mnu_online_room_create_password"""
043ce628,72 6f 6f 6d,room,,"ds ""mnu_online_room_create_search"""
0424e672,72 6f 6f 6d,room,,"ds ""mnu_online_room_help_amiibo_off"""
0425e548,72 6f 6f 6d,room,,"ds ""mnu_online_room_help_amiibo_on"""
044322e4,72 6f 6f 6d,room,,"ds ""mnu_online_room_help_setting_player_number"""
0437b74b,72 6f 6f 6d,room,,"ds ""mnu_online_room_help_setting_roombgm"""
0437b75d,72 6f 6f 6d,room,,"ds ""mnu_online_room_help_setting_roombgm"""
0425e504,72 6f 6f 6d,room,,"ds ""mnu_online_room_help_spirits_off"""
04432253,72 6f 6f 6d,room,,"ds ""mnu_online_room_help_spirits_on"""
0425e525,72 6f 6f 6d,room,,"ds ""mnu_online_room_help_stgcreate_off"""
0424e650,72 6f 6f 6d,room,,"ds ""mnu_online_room_help_stgcreate_on"""
042e62d1,72 6f 6f 6d,room,,"ds ""mnu_online_room_help_voicechat_off"""
0435a954,72 6f 6f 6d,room,,"ds ""mnu_online_room_help_voicechat_on"""
0438bbf6,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_account_nam"""
042a224e,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_back_btn"""
04453b94,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_cancel_btn"""
043ac8bc,72 6f 6f 6d,room,s_mnu_online_room_inside_change_bg_043ac8b1,"ds ""mnu_online_room_inside_change_bgm"""
0427fb06,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_change_bgm_2"""
0427fbb8,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_chat_farewell_%02d"""
04442902,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_chat_greet_%02d"""
04442929,72 6f 6f 6d,room,s_mnu_online_room_inside_chat_impr_0444291e,"ds ""mnu_online_room_inside_chat_impression_%02d"""
04317fdb,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_chat_melee_%02d"""
0437b6f9,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_chat_others"""
042b3547,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_chat_own"""
043ac8f5,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_chat_prepare_%02d"""
042b3587,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_chat_sort_all"""
0427fbe2,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_chat_sort_farewell"""
043ac91e,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_chat_sort_greet"""
043076d8,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_chat_sort_impression"""
0438bc27,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_chat_sort_melee"""
043df366,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_chat_sort_prepare"""
04453bbd,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_entry"""
044428b6,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_fp_lv_n"""
043ac89e,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_fp_nam"""
042b3527,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_host_nam"""
0442154e,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_ko_total_n"""
04290dce,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_ok_btn"""
0437b69a,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_room_id"""
0437b6a6,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_room_id"""
0435a934,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_room_nam"""
0435a940,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_room_nam"""
042b34fc,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_rule_btn"""
043df332,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_selected"""
0424e692,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_sysmsg_100ko"""
043bd7de,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_sysmsg_10ko"""
0439c57c,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_sysmsg_30ko"""
0427fb62,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_sysmsg_50ko"""
0425e594,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_sysmsg_battle_finish"""
042e6319,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_sysmsg_battle_start"""
0438bbab,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_sysmsg_battle_start_c"""
04307666,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_sysmsg_cannot_battle"""
044006f3,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_sysmsg_enter"""
0427fb85,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_sysmsg_leave"""
043290f9,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_sysmsg_rule_0"""
043df2f6,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_sysmsg_rule_1"""
042e62f4,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_sysmsg_rule_2"""
0437b6d4,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_sysmsg_rule_3"""
042a2224,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_sysmsg_rule_change"""
043efb24,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_sysmsg_rule_changing"""
04432273,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_sysmsg_rule_no_change"""
0425e567,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_sysmsg_winning_streak"""
043290a3,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_team_change_guide"""
0436b4c6,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_time"""
0436b516,72 6f 6f 6d,room,s_mnu_online_room_inside_watch_0436b50b,"ds ""mnu_online_room_inside_watch"""
042c3f64,72 6f 6f 6d,room,,"ds ""mnu_online_room_inside_watching"""
0439c59f,72 6f 6f 6d,room,,"ds ""mnu_online_room_participate_btn"""
04442955,72 6f 6f 6d,room,,"ds ""mnu_online_room_passwordroom"""
04442962,72 6f 6f 6d,room,,"ds ""mnu_online_room_passwordroom"""
0427fb41,72 6f 6f 6d,room,,"ds ""mnu_online_room_passwordroom_off"""
0427fb4e,72 6f 6f 6d,room,,"ds ""mnu_online_room_passwordroom_off"""
04307646,72 6f 6f 6d,room,,"ds ""mnu_online_room_passwordroom_on"""
04307653,72 6f 6f 6d,room,,"ds ""mnu_online_room_passwordroom_on"""
0438bc7b,72 6f 6f 6d,room,,"ds ""mnu_online_room_player_number_n"""
0424e62c,72 6f 6f 6d,room,,"ds ""mnu_online_room_search_host_account"""
044007c8,72 6f 6f 6d,room,,"ds ""mnu_online_room_search_participants_max"""
04349500,72 6f 6f 6d,room,,"ds ""mnu_online_room_search_participants_n"""
0439c5bf,72 6f 6f 6d,room,,"ds ""mnu_online_room_search_password"""
04453be5,72 6f 6f 6d,room,,"ds ""mnu_online_room_search_password_not"""
044006ac,72 6f 6f 6d,room,,"ds ""mnu_online_room_search_room_id_n"""
044006b8,72 6f 6f 6d,room,,"ds ""mnu_online_room_search_room_id_n"""
0432919d,72 6f 6f 6d,room,,"ds ""mnu_online_room_setting_amiibo"""
043df39c,72 6f 6f 6d,room,,"ds ""mnu_online_room_setting_form"""
042e63b3,72 6f 6f 6d,room,,"ds ""mnu_online_room_setting_player_number"""
04432331,72 6f 6f 6d,room,,"ds ""mnu_online_room_setting_purpose"""
043ac967,72 6f 6f 6d,room,,"ds ""mnu_online_room_setting_roombgm"""
043ac974,72 6f 6f 6d,room,,"ds ""mnu_online_room_setting_roombgm"""
0439c614,72 6f 6f 6d,room,,"ds ""mnu_online_room_setting_rule"""
042d5430,72 6f 6f 6d,room,,"ds ""mnu_online_room_setting_spirits"""
0436b566,72 6f 6f 6d,room,,"ds ""mnu_online_room_setting_stage"""
0431804e,72 6f 6f 6d,room,,"ds ""mnu_online_room_setting_stgcreate"""
