Location,Match Bytes,Match Value,Label,Code Unit
042c1b18,53 63 65 6e 65,Scene,,"ds ""AmiiboEditScene"""
044515f0,53 63 65 6e 65,Scene,,"ds ""AmiiboEditSceneParameter"""
043ed8e2,53 63 65 6e 65,Scene,,"ds ""AmiiboJourneyReplayScene"""
0429fdef,53 63 65 6e 65,Scene,,"ds ""AmiiboJourneyReplaySceneParameter"""
042d31cf,53 63 65 6e 65,Scene,,"ds ""AmiiboPseudoSleepScene"""
0442fed4,53 63 65 6e 65,Scene,,"ds ""AmiiboReadFigureScene"""
04326e9a,53 63 65 6e 65,Scene,,"ds ""AmiiboResultDetailScene"""
042d31e7,53 63 65 6e 65,Scene,,"ds ""AmiiboResultDetailSceneParameter"""
043470bb,53 63 65 6e 65,Scene,,"ds ""AmiiboResultListScene"""
043470a5,53 63 65 6e 65,Scene,,"ds ""AmiiboReturnJourneyScene"""
0427d8ac,53 63 65 6e 65,Scene,,"ds ""AmiiboReturnJourneySceneParameter"""
04462906,53 63 65 6e 65,Scene,,"ds ""AmiiboSelectColorScene"""
04315cfc,53 63 65 6e 65,Scene,,"ds ""AmiiboSelectColorSceneParameter"""
043ed92c,53 63 65 6e 65,Scene,,"ds ""AmiiboSequenceScene"""
0440f603,53 63 65 6e 65,Scene,,"ds ""AmiiboStartJourneyScene"""
0440f5eb,53 63 65 6e 65,Scene,,"ds ""AmiiboTransitionEditScene"""
0428e5ff,53 63 65 6e 65,Scene,,"ds ""AmiiboWriteFigureScene"""
043dcefb,53 63 65 6e 65,Scene,,"ds ""AmiiboWriteFigureSceneParameter"""
043dced2,53 63 65 6e 65,Scene,,"ds ""BootSequenceScene"""
0428e67a,53 63 65 6e 65,Scene,,"ds ""ChallengerApproachScene"""
0425c19b,53 63 65 6e 65,Scene,,"ds ""ChallengerApproachSceneParameter"""
042f4bfa,53 63 65 6e 65,Scene,,"ds ""ChallengerRoomSequenceScene"""
0428e662,53 63 65 6e 65,Scene,,"ds ""ChallengerUnlockScene"""
0440f619,53 63 65 6e 65,Scene,,"ds ""ChallengerUnlockSceneParameter"""
042c1b2f,53 63 65 6e 65,Scene,,"ds ""CharaMakeEditMenuScene"""
042f6b2e,53 63 65 6e 65,Scene,,"ds ""CharaMakeEditMenuSceneParameter"""
04451612,53 63 65 6e 65,Scene,s_CharaMakeSelectDataScene_044515ff,"ds ""CharaMakeSelectDataScene"""
043899ee,53 63 65 6e 65,Scene,,"ds ""CharaMakeSelectMiiScene"""
0442feed,53 63 65 6e 65,Scene,,"ds ""CharaMakeSelectTypeScene"""
04462933,53 63 65 6e 65,Scene,,"ds ""CharaMakeSequenceScene"""
04347150,53 63 65 6e 65,Scene,,"ds ""CharaSelectScene"""
043dea07,53 63 65 6e 65,Scene,,"ds ""CharaSelectSceneParameter"""
042f4bca,53 63 65 6e 65,Scene,,"ds ""CollectionAnniversaryScene"""
04451669,53 63 65 6e 65,Scene,,"ds ""CollectionAnniversarySequenceScene"""
0430536a,53 63 65 6e 65,Scene,,"ds ""CollectionCardScene"""
04369286,53 63 65 6e 65,Scene,,"ds ""CollectionCardSequenceScene"""
0426cc5f,53 63 65 6e 65,Scene,,"ds ""CollectionCountScene"""
0442ff1a,53 63 65 6e 65,Scene,,"ds ""CollectionCountSequenceScene"""
042b0ebc,53 63 65 6e 65,Scene,,"ds ""CollectionFighterScene"""
0439a0a6,53 63 65 6e 65,Scene,,"ds ""CollectionFighterSequenceScene"""
0446291c,53 63 65 6e 65,Scene,,"ds ""CollectionGetterScene"""
042c1b45,53 63 65 6e 65,Scene,,"ds ""CollectionGetterSceneParameter"""
043dcf58,53 63 65 6e 65,Scene,,"ds ""CollectionGetterSequenceScene"""
042c1b67,53 63 65 6e 65,Scene,,"ds ""CollectionMoviePlayScene"""
043dcf31,53 63 65 6e 65,Scene,,"ds ""CollectionMoviePlaySceneParameter"""
04336f93,53 63 65 6e 65,Scene,,"ds ""CollectionMovieScene"""
043794bf,53 63 65 6e 65,Scene,,"ds ""CollectionMovieSceneParameter"""
043fe140,53 63 65 6e 65,Scene,,"ds ""CollectionMovieSequenceScene"""
04315d1c,53 63 65 6e 65,Scene,,"ds ""CollectionPlayingScene"""
0425c1c3,53 63 65 6e 65,Scene,,"ds ""CollectionPlayingSequenceScene"""
043aa86a,53 63 65 6e 65,Scene,,"ds ""CollectionPresentScene"""
043dcf77,53 63 65 6e 65,Scene,,"ds ""CollectionPresentSequenceScene"""
0428e637,53 63 65 6e 65,Scene,,"ds ""CollectionReplayScene"""
0427d8cb,53 63 65 6e 65,Scene,,"ds ""CollectionReplaySceneParameter"""
0428e6c9,53 63 65 6e 65,Scene,s_CollectionReplaySequenceScene_0428e6b1,"ds ""CollectionReplaySequenceScene"""
044408b6,53 63 65 6e 65,Scene,,"ds ""CollectionShopSequenceScene"""
043470d2,53 63 65 6e 65,Scene,,"ds ""CollectionShopTopScene"""
0436923a,53 63 65 6e 65,Scene,,"ds ""CollectionTipsScene"""
0439a087,53 63 65 6e 65,Scene,,"ds ""CollectionTipsSequenceScene"""
0428e64c,53 63 65 6e 65,Scene,,"ds ""CollectionVideoScene"""
042e3f68,53 63 65 6e 65,Scene,,"ds ""CollectionVideoSceneParameter"""
0425c1e0,53 63 65 6e 65,Scene,,"ds ""CollectionVideoSequenceScene"""
043053a4,53 63 65 6e 65,Scene,,"ds ""DlcStaffRollScene"""
0436e4d6,53 43 45 4e 45,SCENE,,"ds ""FIGHTER_ATTACK_ABSOLUTE_KIND_VISUAL_SCENE"""
0435d94c,53 43 45 4e 45,SCENE,,"ds ""FIGHTER_ATTACK_KIND_VISUAL_SCENE"""
042b6848,53 43 45 4e 45,SCENE,,"ds ""FIGHTER_ATTACK_KIND_VISUAL_SCENE_TERM"""
0430ff23,53 43 45 4e 45,SCENE,,"ds ""FIGHTER_BAYONETTA_FINAL_TARGET_WORK_INT_SCENE"""
043d6f6b,53 43 45 4e 45,SCENE,,"ds ""FIGHTER_BAYONETTA_STATUS_KIND_FINAL_SCENE01"""
0444b4ea,53 43 45 4e 45,SCENE,,"ds ""FIGHTER_BAYONETTA_STATUS_WORK_ID_FINAL_FLAG_NEXT_SCENE"""
0441b1be,53 43 45 4e 45,SCENE,,"ds ""FIGHTER_BRAVE_FINAL_MODULE_SCENE_01_EXEC"""
0444c248,53 43 45 4e 45,SCENE,,"ds ""FIGHTER_BRAVE_FINAL_MODULE_SCENE_01_EXIT"""
04310d0d,53 43 45 4e 45,SCENE,,"ds ""FIGHTER_BRAVE_FINAL_MODULE_SCENE_01_INIT"""
043c74ff,53 43 45 4e 45,SCENE,,"ds ""FIGHTER_BRAVE_FINAL_MODULE_SCENE_01_INIT_PRE"""
043f987b,53 43 45 4e 45,SCENE,,"ds ""FIGHTER_BRAVE_STATUS_FINAL_FLAG_SCENE01_SYNC"""
042abe30,53 43 45 4e 45,SCENE,,"ds ""FIGHTER_BRAVE_STATUS_FINAL_FLAG_TO_SCENE01"""
043d7f39,53 43 45 4e 45,SCENE,,"ds ""FIGHTER_BRAVE_STATUS_KIND_FINAL_SCENE01"""
0434248b,53 43 45 4e 45,SCENE,,"ds ""FIGHTER_BUDDY_FINAL_MODULE_SCENE_01_EXEC_FIX_POS"""
