Location,Match Bytes,Match Value,Label,Code Unit
044939c1,53 6f 63 6b 65 74,Socket,,?? 53h    S
0449b3c4,53 6f 63 6b 65 74,Socket,,?? 53h    S
0449b41a,53 6f 63 6b 65 74,Socket,,?? 53h    S
0449b427,53 6f 63 6b 65 74,Socket,,?? 53h    S
043de6c4,53 6f 63 6b 65 74,Socket,,"ds ""BerkeleySocketDriver Connect Thread"""
0438aff9,53 6f 63 6b 65 74,Socket,,"ds ""BerkeleySocketDriver::BerkeleySocket"""
0438b00f,53 6f 63 6b 65 74,Socket,,"ds ""BerkeleySocketDriver::BerkeleySocket"""
043ff9f5,53 6f 63 6b 65 74,Socket,,"ds ""ClientWebSocketDriver::ClientWebSocket"""
043ffa0c,53 6f 63 6b 65 74,Socket,,"ds ""ClientWebSocketDriver::ClientWebSocket"""
04306431,73 6f 63 6b 65 74,socket,,"ds ""Failed to get recent socket"""
0424db82,73 6f 63 6b 65 74,socket,,"ds ""GET %s HTTP/1.1\r\nHost: %s\r\nUpgrade: websocket\r\nConnection: upgrade\r\nSec-WebSocket-Key: %s\r\nSec-WebSocket-Version: 13\r\nSec-WebSocket-Protocol: %s\r\n\r\n"""
0424dba6,53 6f 63 6b 65 74,Socket,,"ds ""GET %s HTTP/1.1\r\nHost: %s\r\nUpgrade: websocket\r\nConnection: upgrade\r\nSec-WebSocket-Key: %s\r\nSec-WebSocket-Version: 13\r\nSec-WebSocket-Protocol: %s\r\n\r\n"""
0424dbbd,53 6f 63 6b 65 74,Socket,,"ds ""GET %s HTTP/1.1\r\nHost: %s\r\nUpgrade: websocket\r\nConnection: upgrade\r\nSec-WebSocket-Key: %s\r\nSec-WebSocket-Version: 13\r\nSec-WebSocket-Protocol: %s\r\n\r\n"""
0424dbd8,53 6f 63 6b 65 74,Socket,,"ds ""GET %s HTTP/1.1\r\nHost: %s\r\nUpgrade: websocket\r\nConnection: upgrade\r\nSec-WebSocket-Key: %s\r\nSec-WebSocket-Version: 13\r\nSec-WebSocket-Protocol: %s\r\n\r\n"""
0449d1f0,53 6f 63 6b 65 74,Socket,,"ds ""N2nn3nex12ObjectThreadINS0_15WebSocketClientEPvEE"""
0449af65,53 6f 63 6b 65 74,Socket,,"ds ""N2nn3nex12ObjectThreadINS0_20BerkeleySocketDriver14BerkeleySocketEPS3_EE"""
0449af7b,53 6f 63 6b 65 74,Socket,,"ds ""N2nn3nex12ObjectThreadINS0_20BerkeleySocketDriver14BerkeleySocketEPS3_EE"""
0449acfa,53 6f 63 6b 65 74,Socket,,"ds ""N2nn3nex12SocketDriver6SocketE"""
0449ad07,53 6f 63 6b 65 74,Socket,,"ds ""N2nn3nex12SocketDriver6SocketE"""
0449acaa,53 6f 63 6b 65 74,Socket,s_N2nn3nex12SocketDriverE_0449aca0,"ds ""N2nn3nex12SocketDriverE"""
0449c8b1,53 6f 63 6b 65 74,Socket,,"ds ""N2nn3nex13QueuingSocketE"""
0449afee,53 6f 63 6b 65 74,Socket,,"ds ""N2nn3nex13SharedCounterINS0_12SocketDriver6SocketES3_NS0_19SocketDriverDeleterEEE"""
0449affb,53 6f 63 6b 65 74,Socket,,"ds ""N2nn3nex13SharedCounterINS0_12SocketDriver6SocketES3_NS0_19SocketDriverDeleterEEE"""
