Location,Match Bytes,Match Value,Label,Code Unit
0424cfcb,73 70 65 63 74,spect,,"ds ""_ZNK2nn3mii21ParamCharInfoAccessor12GetEyeAspectEv"""
0424d169,73 70 65 63 74,spect,,"ds ""_ZNK2nn3mii21ParamCharInfoAccessor14GetMouthAspectEv"""
0424d242,73 70 65 63 74,spect,,"ds ""_ZNK2nn3mii21ParamCharInfoAccessor16GetEyebrowAspectEv"""
042a084b,73 70 65 63 74,spect,,"ds ""mnu_replay_play_title_spectate"""
0440086b,73 70 65 63 74,spect,,"ds ""mnu_share_cat_spectate"""
0425e6ac,73 70 65 63 74,spect,,"ds ""mnu_share_detail_spectate_highest_world_pw_n"""
043efce3,73 70 65 63 74,spect,s_mnu_spectate_nam_043efcdf,"ds ""mnu_spectate_nam"""
0439c766,73 70 65 63 74,spect,,"ds ""mnu_spectate_point_n"""
043496f0,73 70 65 63 74,spect,,"ds ""mnu_spectate_result_normal"""
043ce7b0,73 70 65 63 74,spect,,"ds ""mnu_spectate_result_right_01"""
042e659a,73 70 65 63 74,spect,,"ds ""mnu_spectate_result_right_02"""
04290f82,73 70 65 63 74,spect,,"ds ""mnu_spectate_result_right_03"""
043496d3,73 70 65 63 74,spect,,"ds ""mnu_spectate_result_right_04"""
04411ccf,73 70 65 63 74,spect,,"ds ""mnu_spectate_rule"""
042c40e3,73 70 65 63 74,spect,,"ds ""mnu_spectate_vector_%d"""
