Location,Match Bytes,Match Value,Label,Code Unit
043ee5c3,73 74 61 74 65,state,,"ds ""(for state)"""
043df1e4,53 54 41 54 45,STATE,,"ds ""BUTTON_ID_STATE_OPTION"""
042c2a6f,53 74 61 74 65,State,,"ds ""BlendState0"""
043bc24e,53 74 61 74 65,State,,"ds ""BlendState1"""
0445264a,53 74 61 74 65,State,,"ds ""BlendState10"""
0428f641,53 74 61 74 65,State,,"ds ""BlendState2"""
044200af,53 74 61 74 65,State,,"ds ""BlendState3"""
04327be8,53 74 61 74 65,State,s_BlendState4_04327be3,"ds ""BlendState4"""
044200bb,53 74 61 74 65,State,,"ds ""BlendState5"""
042c2a59,53 74 61 74 65,State,,"ds ""BlendState6"""
043bc25a,53 74 61 74 65,State,,"ds ""BlendState7"""
0430627e,53 74 61 74 65,State,,"ds ""BlendState8"""
04316b73,53 74 61 74 65,State,,"ds ""BlendState9"""
043cdaef,53 74 61 74 65,State,,"ds ""ComponentState"""
04373b86,53 54 41 54 45,STATE,,"ds ""FIGHTER_BAYONETTA_BATWITHIN_STATE_DEFAULT"""
042ddeb4,53 54 41 54 45,STATE,,"ds ""FIGHTER_BAYONETTA_BATWITHIN_STATE_END"""
04394277,53 54 41 54 45,STATE,,"ds ""FIGHTER_BAYONETTA_INSTANCE_WORK_ID_INT_BAT_WITH_IN_STATE"""
042899e9,53 54 41 54 45,STATE,,"ds ""FIGHTER_BRAVE_COMMAND_WINDOW_STATE_CLOSE"""
0444c273,53 54 41 54 45,STATE,,"ds ""FIGHTER_BRAVE_COMMAND_WINDOW_STATE_CLOSING"""
0442ae0e,53 54 41 54 45,STATE,,"ds ""FIGHTER_BRAVE_COMMAND_WINDOW_STATE_DECIDED"""
0441b22c,53 54 41 54 45,STATE,,"ds ""FIGHTER_BRAVE_COMMAND_WINDOW_STATE_DECIDED_TO_CLOSING"""
042dee66,53 54 41 54 45,STATE,,"ds ""FIGHTER_BRAVE_COMMAND_WINDOW_STATE_OPEN"""
042789c3,53 54 41 54 45,STATE,,"ds ""FIGHTER_BRAVE_INSTANCE_WORK_ID_INT_SPECIAL_LW_WINDOW_STATE"""
04312464,53 54 41 54 45,STATE,,"ds ""FIGHTER_EDGE_INSTANCE_WORK_ID_INT_ONE_WINGED_HAIR_STATE"""
