Location,Match Bytes,Match Value,Label,Code Unit
0449e34d,54 69 63 6b 65 74,Ticket,,"ds ""N2nn3nex13SharedCounterINS0_6TicketES2_NS0_23SharedPtrDefaultDeleterIS2_EEEE"""
0449df4d,54 69 63 6b 65 74,Ticket,,"ds ""N2nn3nex21JobTicketManagerLoginE"""
0449e3a6,54 69 63 6b 65 74,Ticket,,"ds ""N2nn3nex22SharedCounterInterfaceINS0_6TicketEEE"""
0449da2a,54 69 63 6b 65 74,Ticket,,"ds ""N2nn3nex28TicketGrantingProtocolClientE"""
0449df1d,54 69 63 6b 65 74,Ticket,,"ds ""N2nn3nex29JobTicketManagerAcquireTicketE"""
0449df31,54 69 63 6b 65 74,Ticket,,"ds ""N2nn3nex29JobTicketManagerAcquireTicketE"""
0449dc8c,54 69 63 6b 65 74,Ticket,s_N2nn3nex29ValidateAndRequestTick_0449dc70,"ds ""N2nn3nex29ValidateAndRequestTicketParamE"""
0449dc2c,54 69 63 6b 65 74,Ticket,,"ds ""N2nn3nex30ValidateAndRequestTicketResultE"""
0449dcc1,54 69 63 6b 65 74,Ticket,,"ds ""N2nn3nex34_DDL_ValidateAndRequestTicketParamE"""
0449dc61,54 69 63 6b 65 74,Ticket,,"ds ""N2nn3nex35_DDL_ValidateAndRequestTicketResultE"""
0449da09,54 69 63 6b 65 74,Ticket,,"ds ""N2nn3nex6TicketE"""
0449e318,54 69 63 6b 65 74,Ticket,,"ds ""N2nn3nex9SharedPtrINS0_6TicketEEE"""
043cc333,74 69 63 6b 65 74,ticket,,"ds ""add_ticket"""
043ac434,74 69 63 6b 65 74,ticket,,"ds ""bg_standard_ticket"""
04442aa9,74 69 63 6b 65 74,ticket,s_category_ticket_04442aa0,"ds ""category_ticket"""
042f4c15,74 69 63 6b 65 74,ticket,,"ds ""get_ticket"""
04379571,74 69 63 6b 65 74,ticket,,"ds ""is_use_ticket"""
04411e41,74 69 63 6b 65 74,ticket,,"ds ""nam_goods_help_spirit_retry_ticket"""
04291108,74 69 63 6b 65 74,ticket,,"ds ""nam_goods_spirit_retry_ticket"""
0427f6f5,74 69 63 6b 65 74,ticket,,"ds ""set_parts_ticket"""
04369294,74 69 63 6b 65 74,ticket,,"ds ""set_use_ticket"""
042e3fe7,74 69 63 6b 65 74,ticket,,"ds ""ticket_"""
044536f3,74 69 63 6b 65 74,ticket,,"ds ""view_ticket"""
