Location,Match Bytes,Match Value,Label,Code Unit
0449e586,54 6f 6b 65 6e,Token,,?? 54h    T
044a1198,54 6f 6b 65 6e,Token,,"ds ""N2nn3nex13SharedCounterINS0_36SmartDeviceVoiceChatAccessTokenStoreES2_NS0_23SharedPtrDefaultDeleterIS2_EEEE"""
0449e669,54 6f 6b 65 6e,Token,s_N2nn3nex20JobAcquireNsaIdTokenIN_0449e650,"ds ""N2nn3nex20JobAcquireNsaIdTokenINS0_18SigloAccountFacadeEEE"""
044a089a,54 6f 6b 65 6e,Token,,"ds ""N2nn3nex21JobAcquireAccessTokenE"""
044a1211,54 6f 6b 65 6e,Token,,"ds ""N2nn3nex22SharedCounterInterfaceINS0_36SmartDeviceVoiceChatAccessTokenStoreEEE"""
0449e5b6,54 6f 6b 65 6e,Token,,"ds ""N2nn3nex32AcquireNsaIdTokenClientInterfaceE"""
044a0e7b,54 6f 6b 65 6e,Token,s_N2nn3nex43SmartDeviceVoiceChatAc_044a0e50,"ds ""N2nn3nex43SmartDeviceVoiceChatAcquireAccessTokenParamE"""
044a0ebb,54 6f 6b 65 6e,Token,,"ds ""N2nn3nex46SmartDeviceVoiceChatAcquireAccessTokenResponseE"""
044a08ca,54 6f 6b 65 6e,Token,,"ds ""N2nn3nex51JobAcquireAccessTokenAndCallSmartDeviceVoiceChatApiINS0_29SmartDeviceVoiceChatApiTraitsILNS0_27SMART_DEVICE_VOICE_CHAT_APIE1EEEEE"""
044a095a,54 6f 6b 65 6e,Token,,"ds ""N2nn3nex51JobAcquireAccessTokenAndCallSmartDeviceVoiceChatApiINS0_29SmartDeviceVoiceChatApiTraitsILNS0_27SMART_DEVICE_VOICE_CHAT_APIE2EEEEE"""
044a0a7a,54 6f 6b 65 6e,Token,,"ds ""N2nn3nex51JobAcquireAccessTokenAndCallSmartDeviceVoiceChatApiINS0_29SmartDeviceVoiceChatApiTraitsILNS0_27SMART_DEVICE_VOICE_CHAT_APIE5EEEEE"""
044a09ea,54 6f 6b 65 6e,Token,,"ds ""N2nn3nex51JobAcquireAccessTokenAndCallSmartDeviceVoiceChatApiINS0_29SmartDeviceVoiceChatApiTraitsILNS0_27SMART_DEVICE_VOICE_CHAT_APIE6EEEEE"""
044a02f7,54 6f 6b 65 6e,Token,,"ds ""N2nn3nex54AcquireAccessTokenAndCallSmartDeviceVoiceChatApiClientE"""
044a1083,54 6f 6b 65 6e,Token,,"ds ""N2nn3nex9SharedPtrINS0_36SmartDeviceVoiceChatAccessTokenStoreEEE"""
0475392a,74 6f 6b 65 6e,token,s_N5boost9algorithm6detail13token__04753910,"ds ""N5boost9algorithm6detail13token_finderFIN2nu15isPathDelimiterIcEEEE"""
0485d27a,74 6f 6b 65 6e,token,s_N5boost9algorithm6detail13token__0485d260,"ds ""N5boost9algorithm6detail13token_finderFINS1_14is_classifiedFEEE"""
04247d66,54 6f 6b 65 6e,Token,,"ds ""_ZN2nn7account37LoadNetworkServiceAccountIdTokenCacheEPmPcmRKNS0_10UserHandleE"""
04247c92,54 6f 6b 65 6e,Token,,"ds ""_ZN2nn7account44EnsureNetworkServiceAccountIdTokenCacheAsyncEPNS0_12AsyncContextERKNS0_10UserHandleE"""
04441d0e,54 6f 6b 65 6e,Token,,"ds ""getToken"""
0433883b,54 6f 6b 65 6e,Token,,"ds ""nsaIdToken"""
04441d14,74 6f 6b 65 6e,token,,"ds ""token"""
