Location,Match Bytes,Match Value,Label,Code Unit
044733bb,54 72 61 6e 73 69 74 69 6f 6e,Transition,,?? 54h    T
0447355b,54 72 61 6e 73 69 74 69 6f 6e,Transition,,?? 54h    T
0440f5dd,54 72 61 6e 73 69 74 69 6f 6e,Transition,,"ds ""AmiiboTransitionEditScene"""
043da4ac,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_CAPTAIN_FALCON_KICK_AA_TRANSITION_TERM_ID_INHERIT_FALL"""
043a7b7f,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_CAPTAIN_FALCON_KICK_AA_TRANSITION_TERM_ID_LANDING_FALL"""
0442d482,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_CAPTAIN_FALCON_KICK_AA_TRANSITION_TERM_ID_LANDING_WAIT"""
0435526b,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_CAPTAIN_FALCON_KICK_AA_TRANSITION_TERM_ID_START"""
042a89c6,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_DEDEDE_STATUS_JET_HAMMER_TRANSITION_TERM_ID"""
042b9ddb,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_DEDEDE_STATUS_JET_HAMMER_TRANSITION_TERM_ID_AIR"""
0434fe0a,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_DEDEDE_STATUS_JET_HAMMER_TRANSITION_TERM_ID_GROUND"""
044383bd,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_DEDEDE_STATUS_JET_HAMMER_TRANSITION_TERM_ID_JUMP"""
0434fdd0,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_DEDEDE_STATUS_JET_HAMMER_TRANSITION_TERM_ID_SQUAT"""
042ecdfb,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_DEDEDE_STATUS_SPECIAL_N_TRANSITION_TERM_ID"""
043c47bb,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_DEDEDE_STATUS_SPECIAL_N_TRANSITION_TERM_ID_AIR"""
04297540,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_DEDEDE_STATUS_SPECIAL_N_TRANSITION_TERM_ID_GROUND"""
04392212,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_DEDEDE_STATUS_SUPER_JUMP_TRANSITION_TERM_ID"""
04438384,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_DEDEDE_STATUS_SUPER_JUMP_TRANSITION_TERM_ID_TURN"""
043d4c0f,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_DIDDY_STATUS_FINAL_TRANSITION_TERM_ID"""
04297247,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_DIDDY_STATUS_FINAL_TRANSITION_TERM_ID_AIR"""
04459bfc,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_DIDDY_STATUS_FINAL_TRANSITION_TERM_ID_GROUND"""
042fdaf6,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_DIDDY_STATUS_SPECIAL_S_TRANSITION_TERM_ID"""
04371a5f,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_DIDDY_STATUS_SPECIAL_S_TRANSITION_TERM_ID_AIR"""
0432f6c4,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_DIDDY_STATUS_SPECIAL_S_TRANSITION_TERM_ID_GROUND"""
04297219,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_DIDDY_STATUS_TRANSITION_TERM_ID"""
042fdb1e,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_DIDDY_STATUS_TRANSITION_TERM_ID_CONT_SPECIAL_HI_SQUAT"""
043b2034,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_FALCO_BLASTER_TRANSITION_TERM_ID_FALL"""
043d3d4d,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_FALCO_BLASTER_TRANSITION_TERM_ID_LANDING"""
042fce34,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_FALCO_BLASTER_TRANSITION_TERM_ID_TERM"""
0435ff2c,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_FALCO_BLASTER_TRANSITION_TERM_ID_WAIT"""
042fce5f,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_FALCO_FIRE_TRANSITION_TERM_ID_"""
042538aa,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_FALCO_FIRE_TRANSITION_TERM_ID_WAIT"""
04448210,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_FALCO_ILLUSION_TRANSITION_TERM_ID_FALL"""
044481e1,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_FALCO_ILLUSION_TRANSITION_TERM_ID_WAIT"""
042c9b92,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_FALCO_LANDMASTER_TRANSITION_TERM_ID_FALL"""
0439116a,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_FALCO_LANDMASTER_TRANSITION_TERM_ID_WAIT"""
0435ffbd,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_FALCO_REFLECTOR_TRANSITION_TERM_ID_FALL"""
0444829d,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_FALCO_REFLECTOR_TRANSITION_TERM_ID_WAIT"""
042ead9d,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_FOX_BLASTER_TRANSITION_TERM_ID_FALL"""
04425b49,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_FOX_BLASTER_TRANSITION_TERM_ID_LANDING"""
043a0bcf,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_FOX_BLASTER_TRANSITION_TERM_ID_TERM"""
04273bdd,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_FOX_BLASTER_TRANSITION_TERM_ID_WAIT"""
0439045e,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_FOX_FIRE_TRANSITION_TERM_ID_"""
04273c3c,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_FOX_FIRE_TRANSITION_TERM_ID_WAIT"""
043c2403,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_FOX_ILLUSION_TRANSITION_TERM_ID_FALL"""
04405571,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_FOX_ILLUSION_TRANSITION_TERM_ID_WAIT"""
04416722,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_FOX_LANDMASTER_TRANSITION_TERM_ID_FALL"""
042fc0b4,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_FOX_LANDMASTER_TRANSITION_TERM_ID_WAIT"""
04447262,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_FOX_REFLECTOR_TRANSITION_TERM_ID_FALL"""
042fc085,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_FOX_REFLECTOR_TRANSITION_TERM_ID_WAIT"""
04334cc3,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_GANON_BEAST_TRANSITION_TERM_ID_FALL"""
042bf0b9,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_GANON_BEAST_TRANSITION_TERM_ID_START"""
043c9d8f,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_GANON_BEAST_TRANSITION_TERM_ID_TERM"""
043eb25f,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_GANON_BEAST_TRANSITION_TERM_ID_WAIT"""
042f2377,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_GANON_KICK_AA_TRANSITION_TERM_ID_INHERIT_FALL"""
042e18e6,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_GANON_KICK_AA_TRANSITION_TERM_ID_LANDING"""
04387129,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_GANON_KICK_AA_TRANSITION_TERM_ID_LANDING_FALL"""
0440cd83,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_GANON_KICK_AA_TRANSITION_TERM_ID_LANDING_WAIT"""
043870fa,54 52 41 4e 53 49 54 49 4f 4e,TRANSITION,,"ds ""FIGHTER_GANON_KICK_AA_TRANSITION_TERM_ID_START"""
