Location,Match Bytes,Match Value,Label,Code Unit
01b36c80,55 69 44,UiD,,?? 55h    U
043177ee,75 69 64,uid,,?? 75h    u
043ffa42,75 69 64,uid,,?? 75h    u
043ffdf5,75 69 64,uid,,?? 75h    u
043cd063,75 69 64,uid,,"ds ""CrossGuideButton"""
0441a5c2,55 49 44,UID,,"ds ""FIGHTER_INKLING_GENERATE_ARTICLE_SQUID"""
04341662,55 49 44,UID,,"ds ""FIGHTER_INKLING_INSTANCE_WORK_ID_FLAG_EXIST_SQUID"""
043f8853,55 49 44,UID,,"ds ""FIGHTER_INKLING_INSTANCE_WORK_ID_FLAG_NO_FLIP_SQUID"""
043ebeeb,55 49 44,UID,,"ds ""FIGHTER_LUCAS_STATUS_SPECIAL_HI_WORK_INT_GUIDE_EFFECT_HANDLE"""
043b1882,55 49 44,UID,,"ds ""FIGHTER_NESS_STATUS_SPECIAL_HI_WORK_INT_GUIDE_EFFECT_HANDLE"""
04284883,55 49 44,UID,,"ds ""FIGHTER_PIKACHU_STATUS_WORK_ID_FLAG_QUICK_ATTACK_GUIDE_EFFECT_LAST_VISIBLE"""
042b80b5,55 49 44,UID,,"ds ""FIGHTER_PIKACHU_STATUS_WORK_ID_INT_QUICK_ATTACK_GUIDE_EFFECT_HANDLE"""
043654db,55 49 44,UID,,"ds ""FIGHTER_TRAIL_STATUS_SPECIAL_S_FLOAT_GUIDE_EFFECT_ANGLE_ATTACK"""
043b781a,55 49 44,UID,,"ds ""FIGHTER_TRAIL_STATUS_SPECIAL_S_INT_SEARCH_GUIDE_EFFECT_HANDLE"""
0485d044,75 69 64,uid,,"ds ""N2nu5GraphIN5boost5uuids4uuidENSt3__14pairINS_14InstanceHandleINS_14RenderPassBaseEEES8_EEEE"""
0485d04a,75 69 64,uid,,"ds ""N2nu5GraphIN5boost5uuids4uuidENSt3__14pairINS_14InstanceHandleINS_14RenderPassBaseEEES8_EEEE"""
042813f2,55 49 44,UID,,"ds ""SPECIAL_PAINT_SQUID_TO_HUMAN"""
04256b34,55 49 44,UID,,"ds ""WEAPON_INKLING_SQUID_INSTANCE_WORK_ID_FLAG_NO_FLIP"""
043d723d,55 49 44,UID,,"ds ""WEAPON_INKLING_SQUID_INSTANCE_WORK_ID_FLAG_START"""
04394846,55 49 44,UID,,"ds ""WEAPON_INKLING_SQUID_INSTANCE_WORK_ID_FLAG_TERM"""
042aaec3,55 49 44,UID,,"ds ""WEAPON_INKLING_SQUID_INSTANCE_WORK_ID_FLOAT_B"""
042aae95,55 49 44,UID,,"ds ""WEAPON_INKLING_SQUID_INSTANCE_WORK_ID_FLOAT_G"""
04409ce4,55 49 44,UID,,"ds ""WEAPON_INKLING_SQUID_INSTANCE_WORK_ID_FLOAT_R"""
0445c79d,55 49 44,UID,,"ds ""WEAPON_INKLING_SQUID_INSTANCE_WORK_ID_FLOAT_SPECIAL_HI_ROT_X"""
0441a677,55 49 44,UID,,"ds ""WEAPON_INKLING_SQUID_INSTANCE_WORK_ID_FLOAT_START"""
043c6816,55 49 44,UID,,"ds ""WEAPON_INKLING_SQUID_INSTANCE_WORK_ID_FLOAT_TERM"""
042cd7d4,55 49 44,UID,,"ds ""WEAPON_INKLING_SQUID_INSTANCE_WORK_ID_INT_JET_EFFECT_HANDLE"""
04256b67,55 49 44,UID,,"ds ""WEAPON_INKLING_SQUID_INSTANCE_WORK_ID_INT_START"""
04331a90,55 49 44,UID,,"ds ""WEAPON_INKLING_SQUID_INSTANCE_WORK_ID_INT_TERM"""
042bbe6d,55 49 44,UID,,"ds ""WEAPON_INKLING_SQUID_STATUS_KIND_NONE"""
0445c88b,55 49 44,UID,,"ds ""WEAPON_INKLING_SQUID_STATUS_KIND_NUM"""
043e7ca8,55 49 44,UID,,"ds ""WEAPON_INKLING_SQUID_STATUS_KIND_SPECIAL_HI_FALL"""
04384132,55 49 44,UID,,"ds ""WEAPON_INKLING_SQUID_STATUS_KIND_SPECIAL_HI_JUMP"""
