Location,Match Bytes,Match Value,Label,Code Unit
0434894a,55 52 4c,URL,,?? 55h    U
0354f43c,75 52 4c,uRL,,?? 75h    u
042f5c26,75 72 6c,url,,?? 75h    u
0439bba3,75 72 6c,url,,?? 75h    u
043bce3a,75 72 6c,url,,?? 75h    u
04400522,75 72 6c,url,,?? 75h    u
045b8cfc,75 72 4c,urL,,?? 75h    u
042b1f66,75 72 6c,url,,"ds ""# Netscape HTTP Cookie File\n# https://curl.haxx.se/docs/http-cookies.html\n# This file was generated by libcurl! Edit at your own risk.\n\n"""
042b1faa,75 72 6c,url,,"ds ""# Netscape HTTP Cookie File\n# https://curl.haxx.se/docs/http-cookies.html\n# This file was generated by libcurl! Edit at your own risk.\n\n"""
0436a1c1,75 72 6c,url,,"ds ""#\n# Fatal libcurl error\n"""
0437a73f,75 72 6c,url,,"ds ""<url> malformed"""
043de06f,55 52 4c,URL,,"ds ""Bad URL"""
044529b6,55 52 4c,URL,,"ds ""Bad URL, colon is first character"""
0439b124,55 52 4c,URL,,"ds ""CURLOPT_SSL_VERIFYHOST no longer supports 1 as value!"""
042c2d42,55 52 4c,URL,,"ds ""CURL_SSLVERSION_MAX incompatible with CURL_SSLVERSION"""
042c2d68,55 52 4c,URL,,"ds ""CURL_SSLVERSION_MAX incompatible with CURL_SSLVERSION"""
04316dc2,75 72 6c,url,,"ds ""Content-Type: application/x-www-form-urlencoded\r\n"""
0437a51e,55 52 4c,URL,,"ds ""Couldn't parse CURLOPT_RESOLVE entry '%s'!\n"""
042b200d,55 52 4c,URL,,"ds ""Couldn't parse CURLOPT_RESOLVE removal entry '%s'!\n"""
042c3492,75 72 6c,url,,"ds ""CurlHttpConnection Thread"""
04430f50,75 72 6c,url,,"ds ""Excess found in a non pipelined read: excess = %zd url = %s (zero-length body)\n"""
04430fa8,55 52 4c,URL,,"ds ""Found pending candidate for reuse and CURLOPT_PIPEWAIT is set\n"""
04316ee2,55 52 4c,URL,,"ds ""Illegal characters found in URL"""
04452990,55 52 4c,URL,,"ds ""Issue another request to this URL: '%s'\n"""
042e5137,75 72 6c,url,,"ds ""LibcurlResolver"""
0449c381,55 52 4c,URL,,"ds ""N2nn3nex10StationURLE"""
0449d1ae,75 72 6c,url,,"ds ""N2nn3nex12ObjectThreadINS0_18CurlHttpConnectionEPvEE"""
0449c44a,55 52 4c,URL,s_N2nn3nex12URLProbeListE_0449c440,"ds ""N2nn3nex12URLProbeListE"""
0449ccc6,55 52 4c,URL,,"ds ""N2nn3nex14qProtectedListINS0_10StationURLEEE"""
0449d16b,75 72 6c,url,,"ds ""N2nn3nex18CurlHttpConnection15FixedBufferPoolE"""
0449d0cb,75 72 6c,url,,"ds ""N2nn3nex18CurlHttpConnectionE"""
0449f642,55 72 6c,Url,s_N2nn3nex32DataStoreGetNotificati_0449f620,"ds ""N2nn3nex32DataStoreGetNotificationUrlParamE"""
0449f5d5,55 72 6c,Url,,"ds ""N2nn3nex34DataStoreReqGetNotificationUrlInfoE"""
0449f677,55 72 6c,Url,s_N2nn3nex37_DDL_DataStoreGetNotif_0449f650,"ds ""N2nn3nex37_DDL_DataStoreGetNotificationUrlParamE"""
0449f60a,55 72 6c,Url,,"ds ""N2nn3nex39_DDL_DataStoreReqGetNotificationUrlInfoE"""
0449c474,55 52 4c,URL,,"ds ""N2nn3nex5qListINS0_8URLProbeEEE"""
0449c939,55 52 4c,URL,,"ds ""N2nn3nex8URLProbeE"""
0449c4dd,55 52 4c,URL,s_NSt3__110__list_impIN2nn3nex8URL_0449c4c0,"ds ""NSt3__110__list_impIN2nn3nex8URLProbeENS2_12MemAllocatorIS3_EEEE"""
0449c496,55 52 4c,URL,s_NSt3__14listIN2nn3nex8URLProbeEN_0449c480,"ds ""NSt3__14listIN2nn3nex8URLProbeENS2_12MemAllocatorIS3_EEEE"""
043bc494,55 52 4c,URL,,"ds ""No URL set!"""
0427e879,75 72 6c,url,,"ds ""Pipe broke: handle %p, url = %s\n"""
043ff3ce,55 52 4c,URL,,"ds ""Please URL encode %% as %%25, see RFC 6874.\n"""
0436a396,75 72 6c,url,,"ds ""Protocol \""%s\"" not supported or disabled in libcurl"""
04359361,55 52 4c,URL,,"ds ""Rebuilt URL to: %s\n"""
0434823f,75 72 6c,url,,"ds ""Rewinding stream by : %zd bytes on url %s (zero-length body)\n"""
0437a68c,75 72 6c,url,,"ds ""Rewinding stream by : %zu bytes on url %s (size = %ld, maxdownload = %ld, bytecount = %ld, nread = %zd)\n"""
04f15d6c,75 72 6c,url,,"ds ""SDK MW+Nintendo+NintendoSDK_libcurl-8_2_1-Release"""
042a0ece,55 52 4c,URL,,"ds ""The requested URL returned error: %d"""
0437a5a0,55 52 4c,URL,,"ds ""The requested URL returned error: %s"""
042d4264,75 72 6c,url,,"ds ""Unrecognized content encoding type. libcurl understands `identity', `deflate' and `gzip' content encodings."""
0428fa5a,55 52 4c,URL,,"ds ""Unrecognized parameter value passed via CURLOPT_SSLVERSION"""
044529fa,75 72 6c,url,,"ds ""Unsupported proxy '%s', libcurl is built without the HTTPS-proxy support."""
0426e035,55 52 4c,URL,,"ds ""Unwillingly accepted illegal URL using %d slash%s!\n"""
0437a6dc,55 52 4c,URL,,"ds ""Warning: CURLOPT_PROXYAUTOCONFIG is 1 (default), so options set via CURLOPT_PROXY* are ignored.\n"""
0437a717,55 52 4c,URL,,"ds ""Warning: CURLOPT_PROXYAUTOCONFIG is 1 (default), so options set via CURLOPT_PROXY* are ignored.\n"""
04247881,55 72 6c,Url,,"ds ""_ZN2nn3web14ShowWebPageArg14SetCallbackUrlEPKc"""
042478b4,55 72 6c,Url,,"ds ""_ZN2nn3web14ShowWebPageArg18SetCallbackableUrlEPKc"""
04247985,55 72 6c,Url,,"ds ""_ZNK2nn3web18WebPageReturnValue10GetLastUrlEv"""
04430e20,75 72 6c,url,,"ds ""curlextents"""
0449effa,75 72 6c,url,,"ds ""invalidurl"""
0439b44b,75 72 6c,url,,"ds ""sysCurlNoiseTextureArray"""
0438aa0b,55 52 4c,URL,,"ds ""warning: unsupported value passed to CURLOPT_SOCKS5_AUTH: %lu\n"""
