Location,Match Bytes,Match Value,Label,Code Unit
04327ed6,77 61 69 74 69 6e 67,waiting,s_Done_waiting_for_100-continue_04327ed1,"ds ""Done waiting for 100-continue\n"""
042a2cb6,77 61 69 74 69 6e 67,waiting,,"ds ""get_waiting_frames"""
04442134,77 61 69 74 69 6e 67,waiting,,"ds ""match_waiting_1p"""
0435a09c,77 61 69 74 69 6e 67,waiting,,"ds ""match_waiting_2p"""
0435a08b,77 61 69 74 69 6e 67,waiting,s_match_waiting_on_0435a085,"ds ""match_waiting_on"""
042b300c,77 61 69 74 69 6e 67,waiting,,"ds ""set_gauge_waiting"""
043ce0b0,77 61 69 74 69 6e 67,waiting,,"ds ""set_parts_waiting_info"""
042c4cbc,77 61 69 74 69 6e 67,waiting,,"ds ""set_waiting_frames"""
0425e78a,77 61 69 74 69 6e 67,waiting,,"ds ""waiting"""
04442a4c,77 61 69 74 69 6e 67,waiting,,"ds ""waiting_%s"""
0435aab6,77 61 69 74 69 6e 67,waiting,,"ds ""waiting_type_alive"""
043bd963,77 61 69 74 69 6e 67,waiting,,"ds ""waiting_type_lose"""
042c3a9d,77 61 69 74 69 6e 67,waiting,,"ds ""waitingplayer_1"""
0437b252,77 61 69 74 69 6e 67,waiting,,"ds ""waitingplayer_2"""
