Hash40 Hex,Label,Data Address,Adjacent Handler Address,Adjacent Handler Name,Adjacent Handler Symbol
0x34f57f554,75m,04548b60,,,
0x4023cecae,_75m,04548b58,,,
0x4023cecae,_75m,0454c2e0,,,
0x9e9637946,accel_y_1,0455fcf8,,,
0x9706a28fc,accel_y_2,0455fd20,,,
0x9076d186a,accel_y_3,0455fd48,,,
0x999098dc9,accel_y_4,0455fd70,,,
0x9ee0ebd5f,accel_y_5,0455fd98,,,
0x136406a9b8,additions_attack_01,0453bc88,,,
0x136406a9b8,additions_attack_01,04542508,,,
0x13fd0ff802,additions_attack_02,0453bc90,,,
0x13fd0ff802,additions_attack_02,04542510,,,
0x138a08c894,additions_attack_03,0453bc98,,,
0x138a08c894,additions_attack_03,04542518,,,
0x13146c5d37,additions_attack_04,0453bca0,,,
0x13146c5d37,additions_attack_04,04542520,,,
0x13636b6da1,additions_attack_05,0453bca8,,,
0x13636b6da1,additions_attack_05,04542528,,,
0x13fa623c1b,additions_attack_06,0453bcb0,,,
0x13fa623c1b,additions_attack_06,04542530,,,
0x138d650c8d,additions_attack_07,0453bcb8,,,
0x138d650c8d,additions_attack_07,04542538,,,
0x131dda111c,additions_attack_08,0453bcc0,,,
0x131dda111c,additions_attack_08,04542540,,,
0x136add218a,additions_attack_09,0453bcc8,,,
0x136add218a,additions_attack_09,04542548,,,
0x130a1aa86f,additions_attack_10,0453bcd0,,,
0x130a1aa86f,additions_attack_10,04542550,,,
0x137d1d98f9,additions_attack_11,0453bcd8,,,
0x137d1d98f9,additions_attack_11,04542558,,,
0x13e414c943,additions_attack_12,0453bce0,,,
0x13e414c943,additions_attack_12,04542560,,,
0x139313f9d5,additions_attack_13,0453bce8,,,
0x139313f9d5,additions_attack_13,04542568,,,
0x130d776c76,additions_attack_14,0453bcf0,,,
0x130d776c76,additions_attack_14,04542570,,,
0x137a705ce0,additions_attack_15,0453bcf8,,,
0x137a705ce0,additions_attack_15,04542578,,,
0x13e3790d5a,additions_attack_16,0453bd00,,,
0x13e3790d5a,additions_attack_16,04542580,,,
0x8c50ca65a,adhesion,0454ff70,,,
0x166735dde8,adhesion_floor_invalid,04546f88,,,
0xf25ec86be,air_accel_x_add,0453d2f8,,,
0xf71f4d4f8,air_accel_x_mul,0453d2d0,,,
0xba18057d9,air_accel_y,0453d370,,,
0xbba2bb330,air_brake_x,0453d348,,,
0xe8e133d3e,air_defense_up,04547168,,,
0x125e6f621b,air_escape_move_up,04547140,,,
0x155d5bde11,air_escape_move_up_dx,045474e8,,,
0x9b46acb26,air_lasso,0453bc70,,,
0x9b46acb26,air_lasso,045424d8,,,
0xe4f7efa0c,air_offense_up,04547160,,,
0x12e6925a92,air_offense_up_adv,045475b0,,,
0x11971a4b15,air_offense_up_dx,045474c8,,,
0x1220fc2660,air_speed_x_stable,0453d320,,,
0x12ec5626fe,air_speed_y_stable,0453d398,,,
0x5eeed63f7,akira,04540af8,,,
0x5eeed63f7,akira,04541a80,,,
0x7c9f97f7e,alucard,04540af0,,,
0x7c9f97f7e,alucard,04541a78,,,
0x7a142c931,andross,045408e8,,,
0x7a142c931,andross,04541870,,,
0xb1e700449,androssshot,045408f0,,,
0xb1e700449,androssshot,04541878,,,
0x4c8dfce6b,andy,04551350,,,
0xb6a764300,animal_city,045490f8,,,
0xb6a764300,animal_city,04549100,,,
0xb6a764300,animal_city,0454e140,,,
0xd13feaa36,animal_island,04548d60,,,
0xd13feaa36,animal_island,04548d68,,,
0xd13feaa36,animal_island,0454cdd8,,,
0xec1b31090,animal_village,04548888,,,
0xec1b31090,animal_village,04548890,,,
0xec1b31090,animal_village,0454b3b0,,,
0xb04e4615e,appeal_heal,045472e0,,,
0x99e181983,appeal_hi,04548070,,,
0x9007be1e4,appeal_lw,04548078,,,
0x8f98399a4,appeal_s,04548080,,,
0x60db332e0,arceus,04540df0,,,
0x60db332e0,arceus,04541d78,,,
0x461fccbdd,arml,0453dce0,,,
0x461fccbdd,arml,0453dd10,,,
0x461fccbdd,arml,051d2b50,,,
0x461fccbdd,arml,051d33b0,,,
0x461fccbdd,arml,05210960,,,
0xc478cc42f,armor_knight,04547320,,,
0x49bf3f6be,armr,0453c400,,,
0x49bf3f6be,armr,0453dd90,,,
0x49bf3f6be,armr,0453ddc0,,,
0x49bf3f6be,armr,051d3b40,,,
0x49bf3f6be,armr,051e9428,,,
0x49bf3f6be,armr,051e9460,,,
0x49bf3f6be,armr,051ea268,,,
0x49bf3f6be,armr,051ead78,,,
0x49bf3f6be,armr,051ebb20,,,
0x49bf3f6be,armr,051ebee8,,,
0x49bf3f6be,armr,051ec608,,,
0x49bf3f6be,armr,0520be40,,,
0x49bf3f6be,armr,0520c1d0,,,
0x49bf3f6be,armr,05210cf0,,,
0x49bf3f6be,armr,05214ca0,,,
0x49bf3f6be,armr,052153c0,,,
0x49bf3f6be,armr,05215b30,,,
0x49bf3f6be,armr,05215ec0,,,
0x49bf3f6be,armr,05217100,,,
0x49bf3f6be,armr,05217138,,,
0x49bf3f6be,armr,05217170,,,
0x49bf3f6be,armr,052171a8,,,
0x5d837ee3e,arrow,051dbaa0,,,
0x117bf73d57,art_mii_platforml,052105d0,,,
0x642145c91,ashley,04540a10,,,
0x642145c91,ashley,04541998,,,
0x6a1ee878e,assist,045403b8,,,
0x6a1ee878e,assist,04541340,,,
0xd2cea2ba0,assist_appear,04547b38,,,
0xd91f3eb99,assist_killer,04547578,,,
0x1110da222f,assist_offense_up,04547350,,,
0x60f7dfa93,athena,045515f8,,,
