Namespace,Top Namespace,Function Count,With Mangled Symbol,Total Bytes
Global,Global,27590,3,13228296
app::lua_bind,app,2392,2391,77772
lua2cpp,lua2cpp,260,260,14084
app::sv_animcmd,app,199,199,14228
app::item,app,96,96,38184
app::ai,app,59,59,2504
app::boss_private,app,54,54,5476
app::ai_param,app,44,44,984
app::sv_fighter_util,app,42,42,2704
app::pickelobject,app,41,41,1772
app::FighterSpecializer_Pickel,app,37,37,4648
nn::os,nn,30,30,2368
app::holywater,app,28,28,816
nn::hid,nn,28,28,2952
app::ai_koopag,app,26,26,500
nn::album,nn,24,24,2068
app::wiifitball,app,22,22,476
app::sv_kinetic_energy,app,22,22,2804
app::mechakoopa,app,22,22,1676
app::kinetic_energy_motion_linked_sub1,app,22,22,952
app::ground,app,21,21,1740
app::FighterSpecializer_Popo,app,20,20,4016
app::FighterSpecializer_Reflet,app,20,20,2620
app::daisydaikon,app,19,19,2008
app::sv_battle_object,app,19,19,668
app::kinetic_energy_control,app,19,19,1764
app::target,app,18,18,2832
app::sv_information,app,18,18,1296
app::item_other,app,17,17,864
app::linkbomb,app,17,17,2040
app::kiiladarzmanager,app,17,17,688
app::explosionbomb,app,17,17,2152
app::shiokarazu,app,16,16,528
nn::fs,nn,15,15,796
app::kinetic_energy_gravity,app,15,15,848
app::buddybomb,app,15,15,1564
app::ai_system,app,14,14,248
app::peachdaikon,app,13,13,956
app::kozukatasight,app,13,13,1112
app::kinetic_energy_control_rot,app,13,13,836
app::sandbag,app,13,13,488
app::FighterSpecializer_Tantan,app,13,13,1988
app::ai_weapon,app,12,12,340
app::sv_module_access,app,12,12,712
app::metalblade,app,12,12,1084
app::sv_camera_manager,app,12,12,1560
app::kinetic_energy_outer,app,12,12,968
app::FighterSpecializer_Inkling,app,12,12,924
app::FighterSnakeFinalModule,app,11,11,1436
app::kinetic_energy_motion_linked_main,app,11,11,652
app::FighterSpecializer_Fox,app,11,11,628
app::doll,app,11,11,860
app::kinetic_energy_stop,app,11,11,708
app::pickelbomb,app,11,11,480
app::log,app,11,11,1608
app::sv_ground_collision_line,app,11,11,1004
app::FighterSpecializer_Falco,app,10,10,2280
app::analyst,app,10,10,212
app::stage,app,10,10,564
app::fighter,app,10,10,380
nn::prepo::PlayReport,nn,9,9,544
app::sv_math,app,9,9,356
app::kinetic_energy_rot,app,9,9,668
app::FighterSpecializer_Jack,app,9,9,4208
app::FighterSpecializer_Pikmin,app,9,9,828
app::smashball,app,9,9,216
app::FighterSpecializer_Kirby,app,8,8,800
app::ai_stage,app,8,8,160
app::smashballheavy,app,8,8,172
std::streambuf,std,8,8,616
app::marx,app,8,8,296
app::devil,app,8,8,960
app::ai_deprecated,app,8,8,192
nn::nfp,nn,8,8,160
app::nfp,app,8,8,260
nn::ec,nn,7,7,140
nn::album::MovieMakerMovieParameter,nn,7,7,284
app::powblock,app,7,7,116
app::WeaponSpecializer_PickelTrolley,app,7,7,664
app::zoroark,app,7,7,300
nn::image::JpegDecoder,nn,7,7,380
app::WeaponSpecializer_ShizueFishingrod,app,7,7,948
app::mimikkyu,app,7,7,264
app::sv_item,app,7,7,168
app::masterhand,app,7,7,288
app::nassya,app,7,7,296
app::FighterSpecializer_ELight,app,7,7,376
app::item_collision_manager,app,7,7,536
nn::image::JpegEncoder,nn,6,6,228
app::FighterSpecializer_Ridley,app,6,6,660
app::flyandhand,app,6,6,128
app::FighterSpecializer_Lucario,app,6,6,1192
nn::mii::Database,nn,6,6,160
app::FighterSpecializer_Purin,app,6,6,680
app::kawasaki,app,6,6,212
app::wanwan,app,6,6,216
app::ai_debug,app,6,6,96
app::kinetic_energy_motion,app,6,6,220
app::rodin,app,6,6,188
app::kroolcrown,app,6,6,220
app::superleaf,app,6,6,328
app::WeaponSpecializer_DemonBlaster,app,6,6,284
app::lioleus,app,6,6,304
app::poweresa,app,6,6,128
app::crazyhand,app,6,6,216
app::monsters,app,5,5,76
app::springman,app,5,5,140
app::pacmankey,app,5,5,972
nn::pl,nn,5,5,440
app::tvgame,app,5,5,220
nn::err::ErrorResultVariant,nn,5,5,156
app::pacmanapple,app,5,5,300
std::stringbuf,std,5,5,376
app::math2,app,5,5,96
app::FighterSpecializer_SZerosuit,app,5,5,476
app::metamon,app,5,5,232
app::FighterSpecializer_Robot,app,5,5,636
app::magicball,app,5,5,728
app::item_private,app,5,5,768
lib::L2CValue,lib,5,5,732
app::WeaponSpecializer_TantanSpiralleft,app,5,5,144
app::driver,app,5,5,568
app::WeaponSpecializer_EFlameEsword,app,4,4,44
app::FighterSpecializer_Packun,app,4,4,304
app::pacmancherry,app,4,4,268
app::WeaponSpecializer_SimonWhip,app,4,4,92
app::blackball,app,4,4,116
app::FighterSpecializer_Master,app,4,4,492
app::robotgyro,app,4,4,96
app::galleom,app,4,4,176
app::FighterSpecializer_Metaknight,app,4,4,976
app::FighterSpecializer_Simon,app,4,4,464
app::WeaponSpecializer_GekkougaGekkougaS,app,4,4,124
app::WeaponSpecializer_PickelFishingrod,app,4,4,256
app::sv_global_parameter,app,4,4,96
app::kasey,app,4,4,104
app::item_manager,app,4,4,188
app::pacmanorange,app,4,4,500
std::string,std,4,4,176
app::utility,app,4,4,112
nn::ldn,nn,4,4,168
app::WeaponSpecializer_RosettaTico,app,4,4,68
app::FighterSpecializer_Peach,app,4,4,332
app::FighterSpecializer_Trail,app,4,4,552
app::pacmanstrawberry,app,4,4,328
std,std,4,4,588
std::condition_variable,std,4,4,520
app::pacmanboss,app,4,4,84
app::sv_debug_draw,app,4,4,580
app::baitocrane,app,4,4,348
app::crazyhandgravityball,app,4,4,104
app::ai_dangerzone,app,4,4,80
app::backshield,app,4,4,200
app::camera,app,4,4,256
app::pacmanbell,app,3,3,136
app::bomberman,app,3,3,192
app::debug,app,3,3,112
app::kinetic_energy_damage,app,3,3,116
app::kinetic_energy_ground,app,3,3,300
app::WeaponSpecializer_MewtwoShadowball,app,3,3,256
app::dragoonsight,app,3,3,260
