String Address,String Length,String Value,Xref From,Xref Type,Function Address,Function Name,Function Symbol
000036f8,5,h^`9h,013faefc,DATA,013fac64,FUN_013fac64,
000036f8,5,h^`9h,0168e8a0,DATA,0168dc60,FUN_0168dc60,
000036f8,5,h^`9h,032507d0,DATA,0324f9c0,FUN_0324f9c0,
00003708,5,hZ`9h,002b5874,DATA,002b5280,FUN_002b5280,
00003708,5,hZ`9h,002b5ba0,DATA,002b5a20,FUN_002b5a20,
00003708,5,hZ`9h,002b81b8,DATA,002b7ef0,FUN_002b7ef0,
038d2b60,6,"#h 8@
",038eb48c,DATA,,,
038d2b60,6,"#h 8@
",038cd7b0,DATA,038cd5a0,FUN_038cd5a0,
038d2b60,6,"#h 8@
",038cd87c,DATA,038cd5a0,FUN_038cd5a0,
0424d340,45,_ZNK2nn3mii21ParamCharInfoAccessor8GetMoleYEv,0000187c,PARAM,000013c0,FUN_000013c0,
0424d80a,39,NexMatchJoinSessionJob::StartNatSession,0010920c,DATA,,,
0424d80a,39,NexMatchJoinSessionJob::StartNatSession,00120674,DATA,,,
0424dc0e,6,C85B11,03cafb50,DATA,,,
0424dc15,9,<unknown>,03cb0480,DATA,,,
0424ddad,12,battle_stock,03ce0af8,DATA,,,
0424ded0,25,OptionMeleeSceneParameter,01a1b5dc,PARAM,01a1b5a0,FUN_01a1b5a0,
0424e481,7,size_p8,01c10a9c,PARAM,01c16550,switchD_01c0ab70::caseD_ac,
0424e6ab,9,set_right,01ac0c5c,PARAM,01ac0a20,FUN_01ac0a20,
0424e6ab,9,set_right,01ac91bc,PARAM,,,
0424e6ab,9,set_right,01aedbac,PARAM,,,
0424e6ab,9,set_right,01aee254,PARAM,,,
0424e6ab,9,set_right,01cdf800,PARAM,01cdf77c,FUN_01cdf77c,
0424eae5,18,set_rep_fighter_00,01dea254,PARAM,,,
0424eae5,18,set_rep_fighter_00,01dea2d8,PARAM,,,
0424eae5,18,set_rep_fighter_00,01e3b33c,PARAM,,,
0424eb93,5,_%02d,01353018,DATA,,,
0425c352,7,HSB0000,03d8ef48,DATA,,,
0425c427,8,izou_b02,026be86c,PARAM,026bc9d0,FUN_026bc9d0,
0425c743,8,o_set_02,03e26c40,DATA,,,
0425c9cb,15,StgMadein03b__1,03ea6230,DATA,,,
0425c9db,19,dys_yoga01_l_02_set,03ea6e60,DATA,,,
0425cd05,23,RTV_AURORA_VISION_ALPHA,040809e0,DATA,,,
0425cd05,23,RTV_AURORA_VISION_ALPHA,040848f8,DATA,,,
0425cd05,23,RTV_AURORA_VISION_ALPHA,04084910,DATA,,,
0425cd92,11,NODE_MAIN_5,040908b0,DATA,,,
0425ce51,13,ellipsoids_%d,040a37b0,DATA,,,
0425d000,9,Texture17,0000c2fc,DATA,0000bec0,FUN_0000bec0,
0425d000,9,Texture17,0000c3d8,DATA,0000bec0,FUN_0000bec0,
0425d000,9,Texture17,0000e484,DATA,,,
0425d000,9,Texture17,0000fa0c,DATA,0000f8f0,FUN_0000f8f0,
0425d000,9,Texture17,000227fc,DATA,,,
0425d000,9,Texture17,0002351c,DATA,00023390,FUN_00023390,
0425d000,9,Texture17,00023784,DATA,00023390,FUN_00023390,
0425d000,9,Texture17,00024dac,DATA,00024c80,FUN_00024c80,
0425d000,9,Texture17,00028e38,DATA,,,
0425d000,9,Texture17,00035ea4,DATA,,,
0425d000,9,Texture17,00036748,DATA,,,
0425d000,9,Texture17,00036eb8,DATA,,,
0425d000,9,Texture17,00036f7c,DATA,,,
0425d000,9,Texture17,00056584,DATA,00056000,FUN_00056000,
0425d000,9,Texture17,0009c5f8,DATA,0009c450,FUN_0009c450,
0425d000,9,Texture17,0009c634,DATA,0009c450,FUN_0009c450,
0425d000,9,Texture17,000a4c0c,DATA,000a4ba0,FUN_000a4ba0,
0425d000,9,Texture17,000accec,DATA,000accc0,FUN_000accc0,
0425d000,9,Texture17,000d8280,DATA,,,
0425d000,9,Texture17,000d82c8,DATA,,,
0425d000,9,Texture17,000d8314,DATA,,,
0425d000,9,Texture17,000d8360,DATA,,,
0425d000,9,Texture17,000db9bc,DATA,,,
0425d000,9,Texture17,000dba04,DATA,,,
0425d000,9,Texture17,000dba50,DATA,,,
0425d000,9,Texture17,000dba9c,DATA,,,
0425d000,9,Texture17,000deb48,DATA,,,
0425d000,9,Texture17,000deb90,DATA,,,
0425d000,9,Texture17,000debdc,DATA,,,
0425d000,9,Texture17,000dec28,DATA,,,
0425d000,9,Texture17,00101910,DATA,,,
0425d000,9,Texture17,00105154,DATA,,,
0425d000,9,Texture17,001057f8,DATA,,,
0425d000,9,Texture17,00105fa4,DATA,,,
0425d000,9,Texture17,001062f4,DATA,00106110,FUN_00106110,
0425d000,9,Texture17,0010661c,DATA,,,
0425d000,9,Texture17,00106674,DATA,,,
0425d000,9,Texture17,001068a0,DATA,001067b0,FUN_001067b0,
0425d000,9,Texture17,001073b4,DATA,,,
0425d000,9,Texture17,00108f98,DATA,,,
0425d000,9,Texture17,00110b30,DATA,,,
0425d000,9,Texture17,001115e8,DATA,,,
0425d000,9,Texture17,00111f58,DATA,,,
0425d000,9,Texture17,00112600,DATA,,,
0425d000,9,Texture17,0011c96c,DATA,,,
0425d000,9,Texture17,0011cef0,DATA,,,
0425d000,9,Texture17,0011d664,DATA,,,
0425d000,9,Texture17,0011d8e0,DATA,0011d850,FUN_0011d850,
0425d000,9,Texture17,0011f470,DATA,,,
0425d000,9,Texture17,0011fa7c,DATA,,,
0425d000,9,Texture17,0011faf0,DATA,,,
0425d000,9,Texture17,0011fb84,DATA,,,
0425d000,9,Texture17,0013a4e0,DATA,0013a480,FUN_0013a480,
0425d000,9,Texture17,0013e19c,DATA,0013e134,FUN_0013e134,
0425d000,9,Texture17,001552d0,DATA,,,
0425d000,9,Texture17,00156918,DATA,,,
0425d000,9,Texture17,0016fd6c,DATA,,,
0425d000,9,Texture17,00175f64,DATA,,,
0425d000,9,Texture17,00176108,DATA,,,
0425d000,9,Texture17,00176458,DATA,00176410,FUN_00176410,
0425d000,9,Texture17,00176518,DATA,,,
0425d000,9,Texture17,001766ac,DATA,,,
0425d000,9,Texture17,00176948,DATA,,,
0425d000,9,Texture17,00176a78,DATA,,,
0425d000,9,Texture17,00176bc8,DATA,,,
0425d000,9,Texture17,00176d38,DATA,,,
0425d000,9,Texture17,00176e74,DATA,,,
0425d000,9,Texture17,00176f78,DATA,00176f30,FUN_00176f30,
0425d000,9,Texture17,0018b668,DATA,0018b5d0,FUN_0018b5d0,
0425d000,9,Texture17,001a6748,DATA,,,
0425d000,9,Texture17,001b34e8,DATA,001b3400,FUN_001b3400,
0425d000,9,Texture17,001b6928,DATA,001b6840,FUN_001b6840,
0425d000,9,Texture17,001d7de0,DATA,001d7c90,FUN_001d7c90,
