Type Name,Type Path,Kind,Type Size,Field Index,Field Offset,Field Name,Field Type,Field Size,Field Comment
__less,/Demangler/std/__less,struct,1,,,,,,
__tree_node,/Demangler/std/__tree_node,struct,1,,,,,,
ai,/app/ai,struct,1,,,,,,
ai_camera,/app/ai_camera,struct,1,,,,,,
ai_dangerzone,/app/ai_dangerzone,struct,1,,,,,,
ai_koopag,/app/ai_koopag,struct,1,,,,,,
ai_param,/app/ai_param,struct,1,,,,,,
ai_random,/app/ai_random,struct,1,,,,,,
ai_rule,/app/ai_rule,struct,1,,,,,,
ai_stage,/app/ai_stage,struct,1,,,,,,
ai_system,/app/ai_system,struct,1,,,,,,
album,/nn/album,struct,1,,,,,,
AlbumFileAttribute,/Demangler/nn/album/AlbumFileAttribute,struct,1,,,,,,
AlbumFileEntry,/Demangler/nn/album/AlbumFileEntry,struct,1,,,,,,
Any64BitId,/Demangler/nn/prepo/Any64BitId,struct,1,,,,,,
AreaContactLog,/Demangler/app/AreaContactLog,struct,1,,,,,,
Article,/Demangler/app/Article,struct,1,,,,,,
AttackAbsoluteData,/Demangler/app/AttackAbsoluteData,struct,1,,,,,,
AttackData,/Demangler/app/AttackData,struct,1,,,,,,
backshield,/app/backshield,struct,1,,,,,,
BasicEvent,/Demangler/lib/BasicEvent,struct,1,,,,,,
BattleObject,/Demangler/app/BattleObject,struct,1,,,,,,
BattleObjectManager,/Demangler/app/BattleObjectManager,struct,1,,,,,,
BattleObjectModuleAccessor,/Demangler/app/BattleObjectModuleAccessor,struct,1,,,,,,
BattleObjectSlow,/Demangler/app/BattleObjectSlow,struct,1,,,,,,
BattleObjectWorld,/Demangler/app/BattleObjectWorld,struct,1,,,,,,
beetle,/app/beetle,struct,1,,,,,,
BinaryBlockHeader,/nn/util/BinaryBlockHeader,struct,1,,,,,,
blackball,/app/blackball,struct,1,,,,,,
boss_private,/app/boss_private,struct,1,,,,,,
bossgalaga,/app/bossgalaga,struct,1,,,,,,
BossManager,/Demangler/app/BossManager,struct,1,,,,,,
buddybomb,/app/buddybomb,struct,1,,,,,,
CharInfo,/Demangler/nn/mii/CharInfo,struct,1,,,,,,
chicken,/app/chicken,struct,1,,,,,,
Circle,/Demangler/app/Circle,struct,1,,,,,,
condition_variable,/std/condition_variable,struct,1,,,,,,
ConditionVariableType,/Demangler/nn/os/ConditionVariableType,struct,1,,,,,,
crazyhand,/app/crazyhand,struct,1,,,,,,
CutInData,/Demangler/app/CutInData,struct,1,,,,,,
CutInTransactor,/Demangler/app/CutInTransactor,struct,1,,,,,,
daisydaikon,/app/daisydaikon,struct,1,,,,,,
DamageInfo,/Demangler/app/DamageInfo,struct,1,,,,,,
DamageLog,/Demangler/app/DamageLog,struct,1,,,,,,
Database,/Demangler/nn/mii/Database,struct,1,,,,,,
debug,/app/debug,struct,1,,,,,,
DeliveryCacheProgress,/Demangler/nn/bcat/DeliveryCacheProgress,struct,1,,,,,,
DeviceHandle,/Demangler/nn/nfp/DeviceHandle,struct,1,,,,,,
devil,/app/devil,struct,1,,,,,,
Dimension,/Demangler/nn/image/Dimension,struct,1,,,,,,
DirectoryEntry,/Demangler/nn/fs/DirectoryEntry,struct,1,,,,,,
DirectoryHandle,/Demangler/nn/fs/DirectoryHandle,struct,1,,,,,,
doll,/app/doll,struct,1,,,,,,
dracula2,/app/dracula2,struct,1,,,,,,
driver,/app/driver,struct,1,,,,,,
ErrorCode,/Demangler/nn/err/ErrorCode,struct,1,,,,,,
ErrorResultVariant,/Demangler/nn/err/ErrorResultVariant,struct,1,,,,,,
EventType,/Demangler/nn/os/EventType,struct,1,,,,,,
exception,/Demangler/std/exception,struct,1,,,,,,
exception_ptr,/Demangler/std/exception_ptr,struct,1,,,,,,
ExifBuilder,/Demangler/nn/image/ExifBuilder,struct,1,,,,,,
explosionbomb,/app/explosionbomb,struct,1,,,,,,
Extractor,/Demangler/movie/Extractor,struct,1,,,,,,
Fiber,/Demangler/phx/Fiber,struct,1,,,,,,
Fighter,/Demangler/app/Fighter,struct,1,,,,,,
fighter,/app/fighter,struct,1,,,,,,
FighterAIWeapon,/Demangler/app/FighterAIWeapon,struct,1,,,,,,
FighterBayonettaFinalModule,/Demangler/app/FighterBayonettaFinalModule,struct,1,,,,,,
FighterCloudLinkEventFinal,/Demangler/app/FighterCloudLinkEventFinal,struct,1,,,,,,
FighterCutInManager,/Demangler/app/FighterCutInManager,struct,1,,,,,,
FighterEntry,/Demangler/app/FighterEntry,struct,1,,,,,,
FighterInformation,/Demangler/app/FighterInformation,struct,1,,,,,,
FighterInklingLinkEventPaint,/Demangler/app/FighterInklingLinkEventPaint,struct,1,,,,,,
FighterKineticEnergyController,/Demangler/app/FighterKineticEnergyController,struct,1,,,,,,
FighterKineticEnergyGravity,/Demangler/app/FighterKineticEnergyGravity,struct,1,,,,,,
FighterKineticEnergyMotion,/Demangler/app/FighterKineticEnergyMotion,struct,1,,,,,,
FighterManager,/Demangler/app/FighterManager,struct,1,,,,,,
FighterModuleAccessor,/Demangler/app/FighterModuleAccessor,struct,1,,,,,,
FighterParamAccessor2,/Demangler/app/FighterParamAccessor2,struct,1,,,,,,
FighterPikminLinkEventWeaponPikminChangeMotion,/Demangler/app/FighterPikminLinkEventWeaponPikminChangeMotion,struct,1,,,,,,
FighterPikminLinkEventWeaponPikminChangeStatus,/Demangler/app/FighterPikminLinkEventWeaponPikminChangeStatus,struct,1,,,,,,
FighterPikminLinkEventWeaponPikminConstraint,/Demangler/app/FighterPikminLinkEventWeaponPikminConstraint,struct,1,,,,,,
FighterPikminLinkEventWeaponPikminOnFlag,/Demangler/app/FighterPikminLinkEventWeaponPikminOnFlag,struct,1,,,,,,
FighterPikminLinkEventWeaponPikminSetFloat,/Demangler/app/FighterPikminLinkEventWeaponPikminSetFloat,struct,1,,,,,,
FighterPikminLinkEventWeaponPikminSetInt,/Demangler/app/FighterPikminLinkEventWeaponPikminSetInt,struct,1,,,,,,
FighterPikminLinkEventWeaponPikminSetPowerMulStatus,/Demangler/app/FighterPikminLinkEventWeaponPikminSetPowerMulStatus,struct,1,,,,,,
FighterPikminLinkEventWeaponPikminSyncLR,/Demangler/app/FighterPikminLinkEventWeaponPikminSyncLR,struct,1,,,,,,
FighterPikminLinkEventWeaponPikminSyncPos,/Demangler/app/FighterPikminLinkEventWeaponPikminSyncPos,struct,1,,,,,,
FighterPitBFinalModule,/Demangler/app/FighterPitBFinalModule,struct,1,,,,,,
FighterPokemonLinkEventChange,/Demangler/app/FighterPokemonLinkEventChange,struct,1,,,,,,
FighterRidleyLinkEventMotion,/Demangler/app/FighterRidleyLinkEventMotion,struct,1,,,,,,
FighterRyuLinkEventFinalDeadDamage,/Demangler/app/FighterRyuLinkEventFinalDeadDamage,struct,1,,,,,,
FighterRyuLinkEventFinalMoveTarget,/Demangler/app/FighterRyuLinkEventFinalMoveTarget,struct,1,,,,,,
FighterSnakeFinalModule,/app/FighterSnakeFinalModule,struct,1,,,,,,
FighterSpecializer_ELight,/app/FighterSpecializer_ELight,struct,1,,,,,,
