Location,Match Value,Depth,Terminal,Ref Type,Operand Index,From Address,From Offset,From Code Unit,Function Address,Function Offset,Function Name,Function Symbol,Function Demangled,Function Namespace,Function Signature,Function Size,Function Basic Blocks,Function Incoming Refs,Function Decompile Path,Function CFG Path,Function Clone Hash,Function Fingerprint,Function Referenced By,Path
042c335f,Connect,1,1,PARAM,0,0026b9c4,0x26b9c4,"add x0,x0,#0x35f",0026b910,0x26b910,FUN_0026b910,,,Global,"uint __cdecl FUN_0026b910(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, size_t param_8, long * param_9, size_t param_10, long param_11, long param_12, undefined1 * param_13, ulong param_14, undefined8 param_15)",672,30,1,decompiled/FUN_0026b910__0026b910.c,decompiled/FUN_0026b910__0026b910.mmd,8b4535a344a837ec,ff0305d1fc6f0ea9fa670fa9f85f10a9f65711a9f44f12a9fd7b13a9fdc30491,,042c335f -> 0026b9c4
042c335f,Connect,1,1,PARAM,0,0029ba90,0x29ba90,"add x0,x0,#0x35f",0029b9f0,0x29b9f0,FUN_0029b9f0,,,Global,"undefined8 __cdecl FUN_0029b9f0(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8, undefined8 param_9, size_t param_10, long param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",1232,104,5,decompiled/FUN_0029b9f0__0029b9f0.c,decompiled/FUN_0029b9f0__0029b9f0.mmd,72f92c8ac519634c,ffc301d1f91300f9f85f03a9f65704a9f44f05a9fd7b06a9fd83019148800290,,042c335f -> 0029ba90
042c335f,Connect,1,1,PARAM,0,0024bb88,0x24bb88,"add x0,x0,#0x35f",0024bae0,0x24bae0,FUN_0024bae0,,,Global,"uint __cdecl FUN_0024bae0(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, size_t param_8, long * param_9, size_t param_10, long param_11, undefined * param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",644,28,1,decompiled/FUN_0024bae0__0024bae0.c,decompiled/FUN_0024bae0__0024bae0.mmd,d77ea6a9fc3ca956,ff4304d1fc670ca9f85f0da9f6570ea9f44f0fa9fd7b10a9fd030491f40300aa,,042c335f -> 0024bb88
042c335f,Connect,1,1,PARAM,0,002abf88,0x2abf88,"add x0,x0,#0x35f",002abd60,0x2abd60,FUN_002abd60,,,Global,"bool __cdecl FUN_002abd60(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8, long * param_9, long param_10)",652,39,1,decompiled/FUN_002abd60__002abd60.c,decompiled/FUN_002abd60__002abd60.mmd,668b030105aff74f,281440b91f05007100030054090840f9e30302aa290200b4ea7f02904a6944f9,,042c335f -> 002abf88
042c335f,Connect,1,1,PARAM,0,002aba08,0x2aba08,"add x0,x0,#0x35f",002ab7a0,0x2ab7a0,FUN_002ab7a0,,,Global,"bool __cdecl FUN_002ab7a0(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8, long * param_9, size_t param_10, undefined8 param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",712,39,1,decompiled/FUN_002ab7a0__002ab7a0.c,decompiled/FUN_002ab7a0__002ab7a0.mmd,72e6b34cc9f7125b,f50f1df8f44f01a9fd7b02a9fd830091281440b91f05007100040054090840f9,,042c335f -> 002aba08
042c335f,Connect,1,1,PARAM,0,0024b868,0x24b868,"add x0,x0,#0x35f",0024b7c0,0x24b7c0,FUN_0024b7c0,,,Global,"uint __cdecl FUN_0024b7c0(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, size_t param_8, long * param_9, size_t param_10, undefined8 param_11, long param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",556,26,1,decompiled/FUN_0024b7c0__0024b7c0.c,decompiled/FUN_0024b7c0__0024b7c0.mmd,cf9c19ff699a4ad3,ffc303d1f95300f9f85f0ba9f6570ca9f44f0da9fd7b0ea9fd830391f40300aa,,042c335f -> 0024b868
042c335f,Connect,1,1,PARAM,0,0022aa90,0x22aa90,"add x0,x0,#0x35f",0022a8f0,0x22a8f0,FUN_0022a8f0,,,Global,"undefined8 __cdecl FUN_0022a8f0(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, size_t param_8, long param_9, size_t param_10, undefined8 param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",640,35,306,decompiled/FUN_0022a8f0__0022a8f0.c,decompiled/FUN_0022a8f0__0022a8f0.mmd,4e1f32a2b7202871,ff8302d1f92b00f9f85f06a9f65707a9f44f08a9fd7b09a9fd430291610100b4,,042c335f -> 0022aa90
042c335f,Connect,1,1,PARAM,0,0022a9b0,0x22a9b0,"add x0,x0,#0x35f",0022a8f0,0x22a8f0,FUN_0022a8f0,,,Global,"undefined8 __cdecl FUN_0022a8f0(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, size_t param_8, long param_9, size_t param_10, undefined8 param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",640,35,306,decompiled/FUN_0022a8f0__0022a8f0.c,decompiled/FUN_0022a8f0__0022a8f0.mmd,4e1f32a2b7202871,ff8302d1f92b00f9f85f06a9f65707a9f44f08a9fd7b09a9fd430291610100b4,,042c335f -> 0022a9b0
042c335f,Connect,1,1,PARAM,0,0023a95c,0x23a95c,"add x0,x0,#0x35f",0023a8c0,0x23a8c0,FUN_0023a8c0,,,Global,"undefined __cdecl FUN_0023a8c0(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, undefined8 param_8, long param_9, long param_10, undefined8 param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",228,10,2,decompiled/FUN_0023a8c0__0023a8c0.c,decompiled/FUN_0023a8c0__0023a8c0.mmd,b0113b532785b308,ffc300d1f44f01a9fd7b02a9fd830091e00301aae20700f90100009021c02291,,042c335f -> 0023a95c
042c335f,Connect,1,1,PARAM,0,001dad6c,0x1dad6c,"add x0,x0,#0x35f",001dacb0,0x1dacb0,FUN_001dacb0,,,Global,"undefined4 __cdecl FUN_001dacb0(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, undefined8 param_8, undefined8 param_9, long * param_10, undefined8 param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",256,14,0,decompiled/FUN_001dacb0__001dacb0.c,decompiled/FUN_001dacb0__001dacb0.mmd,3d515b017009d531,f44fbea9fd7b01a9fd430091488602b008d546f9548602b00801403994da46f9,,042c335f -> 001dad6c
