Location,Match Value,Depth,Terminal,Ref Type,Operand Index,From Address,From Offset,From Code Unit,Function Address,Function Offset,Function Name,Function Symbol,Function Demangled,Function Namespace,Function Signature,Function Size,Function Basic Blocks,Function Incoming Refs,Function Decompile Path,Function CFG Path,Function Clone Hash,Function Fingerprint,Function Referenced By,Path
0003fdac,Ip,1,0,BRUTE_PTR,-1,04c05c7c,0x4c05c7c,?? ACh,,,,,,,,0,0,0,,,,,,0003fdac -> 04c05c7c
024b07d0,Ip,1,0,BRUTE_PTR,-1,03d2ae80,0x3d2ae80,?? D0h,,,,,,,,0,0,0,,,,,,024b07d0 -> 03d2ae80
024b08f0,Ip,1,0,BRUTE_PTR,-1,03d2aec8,0x3d2aec8,?? F0h,,,,,,,,0,0,0,,,,,,024b08f0 -> 03d2aec8
00411b68,ip,1,0,BRUTE_PTR,-1,04bc3060,0x4bc3060,?? 68h    h,,,,,,,,0,0,0,,,,,,00411b68 -> 04bc3060
042d34b8,ip,1,1,PARAM,0,029fade4,0x29fade4,"add x2,x2,#0x4b8",029fab70,0x29fab70,FUN_029fab70,,,Global,"undefined __cdecl FUN_029fab70(undefined1[16] param_1, undefined1[16] param_2, undefined1[16] param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8)",2036,91,0,decompiled/FUN_029fab70__029fab70.c,decompiled/FUN_029fab70__029fab70.mmd,1be7c8f84fb665c6,ff0302d1fb1300f9fa6703a9f85f04a9f65705a9f44f06a9fd7b07a9fdc30191,,042d34b8 -> 029fade4
04451cb1,ip,1,0,DATA,0,03e49e18,0x3e49e18,addr 04451cb1,,,,,,,,0,0,0,,,,,,04451cb1 -> 03e49e18
025252b4,Ip,1,1,CONDITIONAL_JUMP,1,02525294,0x2525294,"cbnz w8,0x025252b4",02525280,0x2525280,FUN_02525280,,,Global,"bool __cdecl FUN_02525280(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, ushort * param_8, ushort * param_9)",268,19,0,decompiled/FUN_02525280__02525280.c,decompiled/FUN_02525280__02525280.mmd,8edd53261171376a,fd7bbfa9fd0300910908403928084039a900003408010035e0030032fd7bc1a8,,025252b4 -> 02525294
025252b4,Ip,1,1,CONDITIONAL_JUMP,1,025252a4,0x25252a4,"cbz w8,0x025252b4",02525280,0x2525280,FUN_02525280,,,Global,"bool __cdecl FUN_02525280(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, ushort * param_8, ushort * param_9)",268,19,0,decompiled/FUN_02525280__02525280.c,decompiled/FUN_02525280__02525280.mmd,8edd53261171376a,fd7bbfa9fd0300910908403928084039a900003408010035e0030032fd7bc1a8,,025252b4 -> 025252a4
0056b2d8,iP,1,1,CONDITIONAL_JUMP,1,0056b290,0x56b290,"cbnz x0,0x0056b2d8",,,,,,,,0,0,0,,,,,,0056b2d8 -> 0056b290
0056b2d8,iP,1,1,CONDITIONAL_JUMP,1,0056b2d0,0x56b2d0,"cbnz x0,0x0056b2d8",,,,,,,,0,0,0,,,,,,0056b2d8 -> 0056b2d0
