Location,Match Value,Depth,Terminal,Ref Type,Operand Index,From Address,From Offset,From Code Unit,Function Address,Function Offset,Function Name,Function Symbol,Function Demangled,Function Namespace,Function Signature,Function Size,Function Basic Blocks,Function Incoming Refs,Function Decompile Path,Function CFG Path,Function Clone Hash,Function Fingerprint,Function Referenced By,Path
0424db15,Join,1,1,PARAM,0,0022a660,0x22a660,"add x1,x1,#0xb15",0022a620,0x22a620,FUN_0022a620,,,Global,"undefined __cdecl FUN_0022a620(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long * param_8, undefined4 param_9, undefined8 param_10, undefined8 param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",180,1,21,decompiled/FUN_0022a620__0022a620.c,decompiled/FUN_0022a620__0022a620.mmd,c3704354489dbdea,ff8301d1f51b00f9f44f04a9fd7b05a9fd430191c98302b029c146f9e8230091,,0424db15 -> 0022a660
0424db15,Join,1,1,PARAM,0,0022f2a4,0x22f2a4,"add x1,x1,#0xb15",0022f270,0x22f270,FUN_0022f270,,,Global,"undefined __cdecl FUN_0022f270(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long * param_8, short param_9, undefined8 param_10, undefined8 param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",352,8,1,decompiled/FUN_0022f270__0022f270.c,decompiled/FUN_0022f270__0022f270.mmd,b49181ca081d5c9b,ff8301d1f65703a9f44f04a9fd7b05a9fd430191a983029029c146f9e8230091,,0424db15 -> 0022f2a4
0424db15,Join,1,1,PARAM,0,0022d744,0x22d744,"add x1,x1,#0xb15",0022d700,0x22d700,FUN_0022d700,,,Global,"undefined __cdecl FUN_0022d700(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long * param_8, long param_9, undefined8 param_10, undefined8 param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",276,1,1,decompiled/FUN_0022d700__0022d700.c,decompiled/FUN_0022d700__0022d700.mmd,dcab4528f2a5728e,ffc301d1f85f03a9f65704a9f44f05a9fd7b06a9fd830191a98302d029c146f9,,0424db15 -> 0022d744
0424db15,Join,1,1,PARAM,0,002307a0,0x2307a0,"add x1,x1,#0xb15",00230760,0x230760,FUN_00230760,,,Global,"undefined __cdecl FUN_00230760(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long * param_8, undefined4 param_9, undefined8 param_10, undefined8 param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",176,1,2,decompiled/FUN_00230760__00230760.c,decompiled/FUN_00230760__00230760.mmd,a8ad5ac8e1ef0b7d,ff8301d1f51b00f9f44f04a9fd7b05a9fd430191898302f029c146f9e8230091,,0424db15 -> 002307a0
0424db15,Join,1,1,PARAM,0,0022cf74,0x22cf74,"add x1,x1,#0xb15",,,,,,,,0,0,0,,,,,,0424db15 -> 0022cf74
0424db15,Join,1,1,PARAM,0,0022da24,0x22da24,"add x1,x1,#0xb15",,,,,,,,0,0,0,,,,,,0424db15 -> 0022da24
0424db15,Join,1,1,PARAM,0,00231c84,0x231c84,"add x1,x1,#0xb15",00231c50,0x231c50,FUN_00231c50,,,Global,"undefined __cdecl FUN_00231c50(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long * param_8, short param_9, undefined8 param_10, undefined8 param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",352,8,1,decompiled/FUN_00231c50__00231c50.c,decompiled/FUN_00231c50__00231c50.mmd,a710fd9583e98e5f,ff8301d1f65703a9f44f04a9fd7b05a9fd430191898302d029c146f9e8230091,,0424db15 -> 00231c84
0424db15,Join,1,1,PARAM,0,00232fe4,0x232fe4,"add x1,x1,#0xb15",,,,,,,,0,0,0,,,,,,0424db15 -> 00232fe4
0424db15,Join,1,1,PARAM,0,002331c4,0x2331c4,"add x1,x1,#0xb15",,,,,,,,0,0,0,,,,,,0424db15 -> 002331c4
0441fa6a,join,1,1,PARAM,0,018abfd4,0x18abfd4,"add x1,x1,#0xa6a",,,,,,,,0,0,0,,,,,,0441fa6a -> 018abfd4
