Location,Match Value,Depth,Terminal,Ref Type,Operand Index,From Address,From Offset,From Code Unit,Function Address,Function Offset,Function Name,Function Symbol,Function Demangled,Function Namespace,Function Signature,Function Size,Function Basic Blocks,Function Incoming Refs,Function Decompile Path,Function CFG Path,Function Clone Hash,Function Fingerprint,Function Referenced By,Path
042b287f,Mesh,1,0,DATA,0,03a73d08,0x3a73d08,addr 042b287f,,,,,,,,0,0,0,,,,,,042b287f -> 03a73d08
042a1591,Mesh,1,1,PARAM,0,00fbe374,0xfbe374,"add x2,x2,#0x591",00fbe320,0xfbe320,FUN_00fbe320,,,Global,"undefined __cdecl FUN_00fbe320(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, undefined8 param_8, long param_9, undefined8 param_10)",208,12,0,decompiled/FUN_00fbe320__00fbe320.c,decompiled/FUN_00fbe320__00fbe320.mmd,7795879a6b2a7983,f44fbea9fd7b01a9fd430091281040f9002940f9280c40b9f30302aaf40301aa,,042a1591 -> 00fbe374
042a1591,Mesh,1,0,DATA,0,03a72bf8,0x3a72bf8,addr 042a1591,,,,,,,,0,0,0,,,,,,042a1591 -> 03a72bf8
04359a53,Mesh,1,0,DATA,0,03a72628,0x3a72628,addr 04359a53,,,,,,,,0,0,0,,,,,,04359a53 -> 03a72628
0442070b,Mesh,1,1,DATA,0,00183b4c,0x183b4c,"str x8,[x19, #0x40]",,,,,,,,0,0,0,,,,,,0442070b -> 00183b4c
0442070b,Mesh,1,1,DATA,0,00183d94,0x183d94,"str x8,[x19, #0x40]",,,,,,,,0,0,0,,,,,,0442070b -> 00183d94
0442070b,Mesh,1,1,DATA,0,00183e78,0x183e78,"str x8,[x19, #0x40]",,,,,,,,0,0,0,,,,,,0442070b -> 00183e78
0442070b,Mesh,1,1,DATA,0,00184014,0x184014,"str x8,[x19, #0x40]",,,,,,,,0,0,0,,,,,,0442070b -> 00184014
04338709,Mesh,1,1,PARAM,0,001de6dc,0x1de6dc,"add x1,x1,#0x709",001de3c0,0x1de3c0,FUN_001de3c0,,,Global,"undefined __cdecl FUN_001de3c0(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8, long param_9, undefined8 param_10, undefined8 param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",1532,21,3,decompiled/FUN_001de3c0__001de3c0.c,decompiled/FUN_001de3c0__001de3c0.mmd,6963c1d93852123c,f85fbca9f65701a9f44f02a9fd7b03a9fdc30091288602b008c146f9e90300aa,,04338709 -> 001de6dc
04338709,Mesh,1,1,PARAM,0,001deb28,0x1deb28,"add x1,x1,#0x709",001dea50,0x1dea50,FUN_001dea50,,,Global,"undefined __cdecl FUN_001dea50(long * param_1, undefined1[16] param_2, undefined1[16] param_3, float param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, undefined1[16] param_8, long param_9, undefined8 param_10, size_t param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15, undefined8 param_16)",684,13,2,decompiled/FUN_001dea50__001dea50.c,decompiled/FUN_001dea50__001dea50.mmd,fce03ace10efbb14,ff8306d1fc6715a9f85f16a9f65717a9f44f18a9fd7b19a9fd430691368602b0,,04338709 -> 001deb28
042f5f94,Mesh,1,1,DATA,1,0010d13c,0x10d13c,"stp xzr,x9,[x0, #0x38]",,,,,,,,0,0,0,,,,,,042f5f94 -> 0010d13c
04369173,mesh,1,1,READ,1,0235e42c,0x235e42c,"ldrb w13,[x13, #0x1]",0235ccf0,0x235ccf0,FUN_0235ccf0,,,Global,"undefined __cdecl FUN_0235ccf0(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8)",25560,1744,0,decompiled/FUN_0235ccf0__0235ccf0.c,decompiled/FUN_0235ccf0__0235ccf0.mmd,6e3aa7b1b0d71e0a,ffc304d1fc5f0fa9f65710a9f44f11a9fd7b12a9fd830491f30300aa688e40f8,,04369173 -> 0235e42c
