Location,Match Value,Depth,Terminal,Ref Type,Operand Index,From Address,From Offset,From Code Unit,Function Address,Function Offset,Function Name,Function Symbol,Function Demangled,Function Namespace,Function Signature,Function Size,Function Basic Blocks,Function Incoming Refs,Function Decompile Path,Function CFG Path,Function Clone Hash,Function Fingerprint,Function Referenced By,Path
042b30a9,MODE,1,1,DATA,0,01b80c64,0x1b80c64,"str x8,[x23]",,,,,,,,0,0,0,,,,,,042b30a9 -> 01b80c64
0441f13c,Mode,1,1,PARAM,0,025c92b8,0x25c92b8,"add x1,x1,#0x13c",025c9220,0x25c9220,FUN_025c9220,,,Global,"undefined __cdecl FUN_025c9220(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, undefined8 param_8, long param_9, ushort param_10, ulong param_11)",796,41,1,decompiled/FUN_025c9220__025c9220.c,decompiled/FUN_025c9220__025c9220.mmd,627c99c59c3ca5a3,ff0302d1f85f04a9f65705a9f44f06a9fd7b07a9fdc30191e803222a1f3d0072,,0441f13c -> 025c92b8
042c2aa3,mode,1,0,DATA,0,040b9fe0,0x40b9fe0,addr 042c2aa3,,,,,,,,0,0,0,,,,,,042c2aa3 -> 040b9fe0
042c2aa3,mode,1,0,DATA,0,040bd478,0x40bd478,addr 042c2aa3,,,,,,,,0,0,0,,,,,,042c2aa3 -> 040bd478
04338aab,mode,1,1,PARAM,0,019a4510,0x19a4510,"mov x1,x20",019a4480,0x19a4480,FUN_019a4480,,,Global,"undefined __cdecl FUN_019a4480(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8)",164,11,0,decompiled/FUN_019a4480__019a4480.c,decompiled/FUN_019a4480__019a4480.mmd,475b0e5941cdb3ba,ff4301d1e81300fdf51700f9f44f03a9fd7b04a9fd030191ff1f00b908804639,,04338aab -> 019a4510
043ef372,mode,1,1,PARAM,0,0198e424,0x198e424,"add x1,x1,#0x372",,,,,,,,0,0,0,,,,,,043ef372 -> 0198e424
043ef372,mode,1,1,PARAM,0,018034b4,0x18034b4,"add x1,x1,#0x372",,,,,,,,0,0,0,,,,,,043ef372 -> 018034b4
0426cbb0,mode,1,1,DATA,1,00427918,0x427918,"stp x9,x10,[x8]",004278d0,0x4278d0,FUN_004278d0,,,Global,"undefined __cdecl FUN_004278d0(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7)",484,17,0,decompiled/FUN_004278d0__004278d0.c,decompiled/FUN_004278d0__004278d0.mmd,281aa5f71f431e2a,fd7bbfa9fd030091087802b01f310bb9087802b0a9fd01b029693a91099d05f9,,0426cbb0 -> 00427918
044407d1,mode,1,1,DATA,1,0042625c,0x42625c,"stp x9,x10,[x8]",004260e0,0x4260e0,FUN_004260e0,,,Global,"undefined __cdecl FUN_004260e0(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7)",540,19,0,decompiled/FUN_004260e0__004260e0.c,decompiled/FUN_004260e0__004260e0.mmd,3b64588f7dcd6a62,fd7bbfa9fd030091087802f01f2104b9087802f029fc01b029c11d91091502f9,,044407d1 -> 0042625c
04306d82,mode,1,0,BRUTE_PTR,-1,03ce1098,0x3ce1098,?? 82h,,,,,,,,0,0,0,,,,,,04306d82 -> 03ce1098
042d3e44,mode,1,0,DATA,0,04090388,0x4090388,addr 042d3e44,,,,,,,,0,0,0,,,,,,042d3e44 -> 04090388
