Location,Match Value,Depth,Terminal,Ref Type,Operand Index,From Address,From Offset,From Code Unit,Function Address,Function Offset,Function Name,Function Symbol,Function Demangled,Function Namespace,Function Signature,Function Size,Function Basic Blocks,Function Incoming Refs,Function Decompile Path,Function CFG Path,Function Clone Hash,Function Fingerprint,Function Referenced By,Path
043aa87b,Room,1,1,PARAM,0,025ea63c,0x25ea63c,"mov x1,x22",,,,,,,,0,0,0,,,,,,043aa87b -> 025ea63c
043aa87b,Room,1,1,PARAM,0,025dbe70,0x25dbe70,"add x3,x3,#0x87b",,,,,,,,0,0,0,,,,,,043aa87b -> 025dbe70
043aa87b,Room,1,1,PARAM,0,025dbf38,0x25dbf38,"add x3,x3,#0x87b",,,,,,,,0,0,0,,,,,,043aa87b -> 025dbf38
043aa87b,Room,1,1,PARAM,0,02651d68,0x2651d68,"mov x1,x23",02651a20,0x2651a20,FUN_02651a20,,,Global,"undefined __cdecl FUN_02651a20(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, undefined8 * param_8, undefined8 * param_9, uint * param_10, long * param_11, ulong param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",1104,62,3,decompiled/FUN_02651a20__02651a20.c,decompiled/FUN_02651a20__02651a20.mmd,dcafc2ca6c635cbb,ff4302d1fb1b00f9fa6704a9f85f05a9f65706a9f44f07a9fd7b08a9fd030291,,043aa87b -> 02651d68
04442902,room,1,1,PARAM,0,01ac7248,0x1ac7248,"add x1,x1,#0x902",01ac70d0,0x1ac70d0,FUN_01ac70d0,,,Global,"undefined __cdecl FUN_01ac70d0(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8, uint * param_9, long param_10, undefined8 param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",2680,179,1,decompiled/FUN_01ac70d0__01ac70d0.c,decompiled/FUN_01ac70d0__01ac70d0.mmd,c60b24add7396fe3,f50f1df8f44f01a9fd7b02a9fd830091482c4d29291191520911b172ac789652,,04442902 -> 01ac7248
04453bbd,room,1,0,DATA,0,03d02db8,0x3d02db8,addr 04453bbd,,,,,,,,0,0,0,,,,,,04453bbd -> 03d02db8
0431643e,room,1,0,DATA,0,03e649e0,0x3e649e0,addr 0431643e,,,,,,,,0,0,0,,,,,,0431643e -> 03e649e0
043ce42b,room,1,1,PARAM,0,01a2f818,0x1a2f818,"add x1,x1,#0x42b",01a608c0,0x1a608c0,FUN_01a608c0,,,Global,"ulong __cdecl FUN_01a608c0(undefined1[16] param_1, undefined1[16] param_2, undefined1[16] param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, undefined8 * param_8, undefined8 * param_9, ulong * param_10, undefined * param_11, undefined * param_12, char * param_13, char * param_14, undefined8 param_15, long param_16, int param_17)",14108,786,2,decompiled/FUN_01a608c0__01a608c0.c,decompiled/FUN_01a608c0__01a608c0.mmd,5b6816ff3c3601da,ff8301d1f90b00f9f85f02a9f65703a9f44f04a9fd7b05a9fd430191280000cb,,043ce42b -> 01a2f818
043ce42b,room,1,1,PARAM,0,01a21124,0x1a21124,"add x1,x1,#0x42b",01a26300,0x1a26300,FUN_01a26300,,,Global,"undefined __cdecl FUN_01a26300(undefined1[16] param_1, undefined1[16] param_2, undefined8 param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8, long param_9)",4172,180,1,decompiled/FUN_01a26300__01a26300.c,decompiled/FUN_01a26300__01a26300.mmd,84905608e47074bd,ff8304d1e85b00fdfc6f0ca9fa670da9f85f0ea9f6570fa9f44f10a9fd7b11a9,,043ce42b -> 01a21124
04337804,room,1,0,DATA,0,03e5cf88,0x3e5cf88,addr 04337804,,,,,,,,0,0,0,,,,,,04337804 -> 03e5cf88
