Location,Match Value,Depth,Terminal,Ref Type,Operand Index,From Address,From Offset,From Code Unit,Function Address,Function Offset,Function Name,Function Symbol,Function Demangled,Function Namespace,Function Signature,Function Size,Function Basic Blocks,Function Incoming Refs,Function Decompile Path,Function CFG Path,Function Clone Hash,Function Fingerprint,Function Referenced By,Path
044629c6,Scene,1,1,PARAM,0,026c030c,0x26c030c,"add x2,x2,#0x9c6",,,,,,,,0,0,0,,,,,,044629c6 -> 026c030c
044629c6,Scene,1,1,PARAM,0,026c03c0,0x26c03c0,"add x2,x2,#0x9c6",,,,,,,,0,0,0,,,,,,044629c6 -> 026c03c0
044629c6,Scene,1,1,PARAM,0,026c0478,0x26c0478,"add x2,x2,#0x9c6",,,,,,,,0,0,0,,,,,,044629c6 -> 026c0478
044629c6,Scene,1,0,BRUTE_PTR,-1,03d4b3d0,0x3d4b3d0,?? C6h,,,,,,,,0,0,0,,,,,,044629c6 -> 03d4b3d0
04326ec9,Scene,1,0,DATA,0,03d413b0,0x3d413b0,addr 04326ec9,,,,,,,,0,0,0,,,,,,04326ec9 -> 03d413b0
0441f19d,Scene,1,0,BRUTE_PTR,-1,03d40930,0x3d40930,?? 9Dh,,,,,,,,0,0,0,,,,,,0441f19d -> 03d40930
042d327a,Scene,1,0,DATA,0,03d3f658,0x3d3f658,addr 042d327a,,,,,,,,0,0,0,,,,,,042d327a -> 03d3f658
042d327a,Scene,1,0,DATA,0,03d40648,0x3d40648,addr 042d327a,,,,,,,,0,0,0,,,,,,042d327a -> 03d40648
043053dd,Scene,1,0,DATA,0,03d3f748,0x3d3f748,addr 043053dd,,,,,,,,0,0,0,,,,,,043053dd -> 03d3f748
043053dd,Scene,1,0,DATA,0,03d40738,0x3d40738,addr 043053dd,,,,,,,,0,0,0,,,,,,043053dd -> 03d40738
0438a3f1,SCENE,1,0,DATA,0,0407dd10,0x407dd10,addr 0438a3f1,,,,,,,,0,0,0,,,,,,0438a3f1 -> 0407dd10
042d3289,Scene,1,0,DATA,0,03d40ba0,0x3d40ba0,addr 042d3289,,,,,,,,0,0,0,,,,,,042d3289 -> 03d40ba0
04462990,Scene,1,0,DATA,0,03d41248,0x3d41248,addr 04462990,,,,,,,,0,0,0,,,,,,04462990 -> 03d41248
043bd000,Scene,1,1,DATA,1,00037008,0x37008,"adrp x1,0x43bd000",,,,,,,,0,0,0,,,,,,043bd000 -> 00037008
043bd000,Scene,1,1,DATA,1,0004308c,0x4308c,"adrp x23,0x43bd000",00043020,0x43020,FUN_00043020,,,Global,"ulong __cdecl FUN_00043020(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8, int * param_9, long param_10, int param_11)",560,30,1,decompiled/FUN_00043020__00043020.c,decompiled/FUN_00043020__00043020.mmd,0a050741a5754244,f90f1bf8f85f01a9f65702a9f44f03a9fd7b04a9fd0301910a0440f94a0d4079,,043bd000 -> 0004308c
043bd000,Scene,1,1,DATA,1,000f40d8,0xf40d8,"adrp x8,0x43bd000",,,,,,,,0,0,0,,,,,,043bd000 -> 000f40d8
043bd000,Scene,1,1,DATA,1,00184004,0x184004,"adrp x8,0x43bd000",,,,,,,,0,0,0,,,,,,043bd000 -> 00184004
043bd000,Scene,1,1,DATA,1,001d7024,0x1d7024,"adrp x0,0x43bd000",001d6e70,0x1d6e70,FUN_001d6e70,,,Global,"undefined __cdecl FUN_001d6e70(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8)",836,41,1,decompiled/FUN_001d6e70__001d6e70.c,decompiled/FUN_001d6e70__001d6e70.mmd,ed6780777a493900,ff0301d1f65701a9f44f02a9fd7b03a9fdc3009108004139f30300aa08020034,,043bd000 -> 001d7024
