Location,Match Value,Depth,Terminal,Ref Type,Operand Index,From Address,From Offset,From Code Unit,Function Address,Function Offset,Function Name,Function Symbol,Function Demangled,Function Namespace,Function Signature,Function Size,Function Basic Blocks,Function Incoming Refs,Function Decompile Path,Function CFG Path,Function Clone Hash,Function Fingerprint,Function Referenced By,Path
0426e566,Session,1,1,PARAM,0,002493e0,0x2493e0,"add x3,x3,#0x566",,,,,,,,0,0,0,,,,,,0426e566 -> 002493e0
0426e566,Session,1,1,PARAM,0,00249518,0x249518,"add x3,x3,#0x566",,,,,,,,0,0,0,,,,,,0426e566 -> 00249518
043ff822,Session,1,1,DATA,1,00183a90,0x183a90,"stp xzr,x9,[x20, #0x38]",00183a20,0x183a20,FUN_00183a20,,,Global,"undefined __cdecl FUN_00183a20(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8, undefined4 * param_9, byte param_10)",156,6,2,decompiled/FUN_00183a20__00183a20.c,decompiled/FUN_00183a20__00183a20.mmd,45b7bd56fadb2e6e,ff4301d1f65702a9f44f03a9fd7b04a9fd030191f30308aa084440f9087544b9,,043ff822 -> 00183a90
042e54b6,Session,1,1,DATA,0,00184b24,0x184b24,"str x8,[x19, #0x40]",,,,,,,,0,0,0,,,,,,042e54b6 -> 00184b24
0428ff15,Session,1,1,DATA,1,00141110,0x141110,"stp xzr,x9,[x20, #0x38]",00141000,0x141000,FUN_00141000,,,Global,"undefined __cdecl FUN_00141000(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long * param_8, undefined4 * param_9)",268,11,1,decompiled/FUN_00141000__00141000.c,decompiled/FUN_00141000__00141000.mmd,2c844dc3c2ee05a1,ff8301d1f85f02a9f65703a9f44f04a9fd7b05a9fd430191f30308aa082c40f9,,0428ff15 -> 00141110
043bc8cb,Session,1,1,PARAM,0,00134a98,0x134a98,"add x1,x1,#0x8cb",00133fe0,0x133fe0,FUN_00133fe0,,,Global,"undefined __cdecl FUN_00133fe0(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long * param_8, long param_9, uint param_10, undefined8 param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",3124,168,1,decompiled/FUN_00133fe0__00133fe0.c,decompiled/FUN_00133fe0__00133fe0.mmd,a2d46eb98b97f514,ff4304d1fc5b00f9fa670ca9f85f0da9f6570ea9f44f0fa9fd7b10a9fd030491,,043bc8cb -> 00134a98
043bc8cb,Session,1,1,PARAM,0,001349c0,0x1349c0,"add x1,x1,#0x8cb",00133fe0,0x133fe0,FUN_00133fe0,,,Global,"undefined __cdecl FUN_00133fe0(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long * param_8, long param_9, uint param_10, undefined8 param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",3124,168,1,decompiled/FUN_00133fe0__00133fe0.c,decompiled/FUN_00133fe0__00133fe0.mmd,a2d46eb98b97f514,ff4304d1fc5b00f9fa670ca9f85f0da9f6570ea9f44f0fa9fd7b10a9fd030491,,043bc8cb -> 001349c0
0424d82a,Session,1,1,DATA,1,0010cccc,0x10cccc,"stp xzr,x9,[x0, #0x38]",,,,,,,,0,0,0,,,,,,0424d82a -> 0010cccc
0430687c,Session,1,1,DATA,0,0011681c,0x11681c,"str x8,[sp, #0x8]",,,,,,,,0,0,0,,,,,,0430687c -> 0011681c
0435971a,Session,1,1,DATA,1,0010c874,0x10c874,"stp xzr,x9,[x20, #0x38]",,,,,,,,0,0,0,,,,,,0435971a -> 0010c874
043abb68,Session,1,1,DATA,0,0013e2ac,0x13e2ac,"str x9,[x19, #0x40]",0013e1c0,0x13e1c0,FUN_0013e1c0,,,Global,"undefined8 __cdecl FUN_0013e1c0(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long * param_8)",260,6,0,decompiled/FUN_0013e1c0__0013e1c0.c,decompiled/FUN_0013e1c0__0013e1c0.mmd,11cbc2f8f09827fc,ffc300d1f44f01a9fd7b02a9fd830091348b02d0944240f9f30300aa800240f9,,043abb68 -> 0013e2ac
